window,alpha
0,-0.02332108
0,-0.09150075
0,-0.06094966
0,-0.09615427
0,-0.01788661
0,0.04531255
0,-0.03200081
0,-0.03912914
0,-0.03975571
0,-0.05999187
0,-0.00062764
0,-0.12664472
0,-0.06796420
0,-0.06680826
0,-0.03067771
0,-0.07198393
0,-0.10723948
0,-0.05472070
0,-0.02285620
0,-0.09414652
0,-0.07411894
0,0.03498716
0,-0.07578760
0,-0.09754126
0,-0.02333486
0,-0.05262865
0,0.00684526
0,-0.03195002
0,-0.02120949
0,-0.06267866
0,-0.02827372
0,0.06139165
0,-0.00698955
0,-0.05055293
0,0.11362310
0,-0.03776214
0,-0.08424356
0,-0.04621118
0,-0.01412889
0,-0.04794902
0,-0.03844000
0,-0.01181763
0,-0.03215406
0,-0.07773758
0,-0.03425658
0,0.01020635
0,0.05584983
0,0.04275083
0,-0.03913754
0,-0.00964165
0,-0.06342842
0,0.06769887
0,-0.04793128
0,-0.05706758
0,-0.01445651
0,-0.10614767
0,-0.14820355
0,-0.09436623
0,0.03837472
0,-0.05458558
0,-0.03631214
0,-0.07433636
0,-0.03079151
0,-0.05222397
0,-0.02326131
0,-0.05400883
0,-0.07726868
0,-0.07008985
0,-0.04896808
0,0.05376439
0,-0.03641365
0,-0.03322112
0,-0.05776854
0,-0.05075995
0,-0.01443109
0,-0.04118975
0,-0.02693632
0,-0.01982615
0,-0.01499451
0,-0.00372162
0,-0.01816766
0,-0.03001536
0,-0.02725051
0,-0.06753587
0,-0.04482188
0,-0.01049353
0,-0.00682026
0,-0.01978294
0,-0.03769579
0,-0.00505798
0,0.00696601
0,-0.09984446
0,0.00379075
0,-0.08579540
0,0.00479171
0,-0.05272071
0,-0.06563807
0,-0.05017553
0,-0.10003515
0,-0.03116611
0,-0.03621385
0,-0.01634592
0,-0.04217336
0,-0.07508114
0,-0.07414963
0,-0.10753443
0,-0.02595146
0,0.05886799
0,0.00994510
0,-0.13028759
0,-0.09079627
0,-0.08569762
0,-0.10052245
0,-0.08128824
0,-0.06708197
0,-0.05283713
0,0.00212902
0,0.02402328
0,-0.02650871
0,-0.03362425
0,0.00136295
0,-0.09220348
0,-0.08849671
0,0.00238327
0,0.03784899
0,-0.01623516
0,-0.04415522
0,-0.02744066
0,0.02575194
0,-0.10668427
0,-0.02752081
0,-0.04703766
0,-0.07163341
0,0.04583890
0,-0.06196660
0,-0.08076897
0,-0.02831492
0,-0.06449523
0,0.00178572
0,-0.07408302
0,-0.02855225
0,-0.00751753
0,-0.07419982
0,-0.04827994
0,-0.01316200
0,-0.04323300
0,-0.01494137
0,-0.08790866
0,-0.00843970
0,0.05173049
0,0.00638377
0,-0.01463791
0,-0.06995607
0,0.01253921
0,0.00012067
0,-0.04489358
0,0.00129855
0,-0.06619123
0,-0.10659169
0,-0.00850685
0,-0.12794392
0,-0.06980411
0,-0.01390822
0,-0.00616069
0,-0.05829004
0,-0.01889192
0,-0.10318863
0,0.02247261
0,-0.03002142
0,0.00390899
0,-0.04979870
0,-0.00176468
0,-0.05214192
0,-0.07502576
0,-0.09526169
0,-0.08376259
0,-0.05295061
0,-0.05615175
0,-0.06774016
0,-0.03572354
0,-0.01989863
1,0.01287215
1,-0.02019910
1,0.02847990
1,0.02663582
1,0.00020183
1,0.04137867
1,-0.01632771
1,-0.05428560
1,-0.02964549
1,-0.02572623
1,0.02155761
1,0.04715471
1,0.07238664
1,-0.03583452
1,-0.00958333
1,-0.01639878
1,-0.00567676
1,0.03645187
1,-0.00298672
1,-0.02443692
1,-0.00822830
1,0.07884751
1,0.05820750
1,0.02788449
1,-0.00061672
1,0.01922608
1,0.08556420
1,0.01418259
1,-0.01479107
1,-0.00387987
1,-0.01879918
1,0.02281063
1,-0.00373124
1,0.00707779
1,-0.02366910
1,0.01571173
1,-0.00127779
1,0.00106182
1,-0.03480217
1,-0.00360970
1,0.04528435
1,0.04680999
1,0.01079833
1,-0.02419377
1,0.04037635
1,0.02174274
1,0.02184827
1,-0.00842877
1,0.02629706
1,0.00953173
1,0.01175385
1,-0.00041855
1,-0.00661778
1,-0.00956333
1,-0.02954465
1,-0.00590346
1,-0.01526734
1,-0.04232401
1,-0.03343886
1,0.01286059
1,0.03198671
1,0.01709466
1,0.00793073
1,0.01363783
1,-0.04792097
1,-0.00108886
1,-0.04385686
1,0.02816652
1,-0.02466289
1,-0.02253422
1,-0.03413984
1,-0.05157951
1,-0.02560570
1,-0.03675829
1,-0.03201591
1,-0.06055204
1,-0.06156771
1,-0.08850851
1,-0.04120418
1,0.00411388
1,-0.00698581
1,-0.05835425
1,-0.01328069
1,-0.00781706
1,-0.02616104
1,-0.01604098
1,-0.02659805
1,-0.06524741
1,-0.07185271
1,-0.07810729
1,0.01600687
1,-0.02675547
1,-0.02579358
1,0.00319136
1,0.01131998
1,-0.00640046
1,-0.02769873
1,-0.05136197
1,0.00444120
1,-0.02709194
1,-0.05433363
1,-0.03465322
1,-0.00969731
1,-0.03877221
1,0.02079668
1,0.01600359
1,-0.01684627
1,-0.01396447
1,-0.02815435
1,-0.00111804
1,0.03872276
1,-0.05829050
1,0.00515219
1,-0.03879475
1,0.07098138
1,-0.02680937
1,-0.03825370
1,-0.01300591
1,0.01090883
1,0.02185846
1,-0.02534303
1,0.00131891
1,-0.00523182
1,-0.00847352
1,-0.03387742
