window,L_plus,L_minus,rel_gap
0,2.20859656e-04,9.25684872e-04,3.191281
1,5.11692837e-04,2.06588209e-03,3.037348
2,1.04209385e-03,1.16509735e-03,0.118035
3,2.39101821e-04,2.62192683e-03,9.965733
4,2.30705555e-04,3.10166646e-03,12.444264
5,4.51140746e-04,4.49794374e-04,0.002993
6,1.97105721e-04,3.07949551e-04,0.562357
7,2.95026752e-04,5.14706550e-03,16.446098
8,5.43521298e-03,5.29489527e-03,0.026501
9,3.58105870e-03,3.45687801e-03,0.035923
10,4.44267906e-04,1.17106633e-02,25.359463
11,1.54249649e-03,1.48253329e-03,0.040446
