window,L_plus,L_minus,rel_gap
0,2.40009467e-04,8.51437508e-04,2.547516
1,5.12439816e-04,2.06962018e-03,3.038758
2,1.10779121e-03,1.09714433e-03,0.009704
3,2.40737179e-04,2.55057658e-03,9.594859
4,2.33302126e-04,3.02282721e-03,11.956707
5,4.44911740e-04,4.56086389e-04,0.025117
6,1.98177528e-04,3.06462374e-04,0.546403
7,2.96066195e-04,5.13274968e-03,16.336494
8,5.20427572e-03,5.52793266e-03,0.062191
9,3.76725150e-03,3.27966525e-03,0.148670
10,4.48442588e-04,1.17115593e-02,25.116073
11,1.47632591e-03,1.54888106e-03,0.049146
