market,spec,seed,sharpe,d_Market,ci_Market,zeroex_Market,d_FF5,ci_FF5,zeroex_FF5,d_q-factor,ci_q-factor,zeroex_q-factor,d_PCA(5),ci_PCA(5),zeroex_PCA(5),d_LASSO,ci_LASSO,zeroex_LASSO,sym_median_gap
IR,E2,42,0.016,-0.3215,"[-1.074,0.446]",0,-0.4575,"[-1.207,0.305]",0,-0.8722,"[-1.738,0.002]",0,-0.4034,"[-1.141,0.402]",0,-0.6159,"[-1.467,0.175]",0,1.655
IR,E2,43,0.0972,-0.2404,"[-0.925,0.452]",0,-0.3763,"[-1.023,0.256]",0,-0.791,"[-1.599,0.021]",0,-0.3222,"[-0.928,0.295]",0,-0.5348,"[-1.234,-0.009]",1,
IR,E2,44,0.3996,0.062,"[-0.601,0.697]",0,-0.074,"[-0.677,0.469]",0,-0.4886,"[-1.220,0.205]",0,-0.0199,"[-0.568,0.519]",0,-0.2324,"[-0.822,0.130]",0,
IR,E8,42,0.6078,0.2703,"[-0.235,0.882]",0,0.1343,"[-0.179,0.526]",0,-0.2804,"[-0.784,0.279]",0,0.1884,"[-0.042,0.585]",0,-0.0241,"[-0.092,0.025]",0,1.547
IR,E8,43,0.5663,0.2288,"[-0.390,0.811]",0,0.0928,"[-0.451,0.533]",0,-0.3219,"[-0.994,0.242]",0,0.1469,"[-0.366,0.627]",0,-0.0656,"[-0.633,0.254]",0,
IR,E8,44,0.4225,0.0849,"[-0.519,0.735]",0,-0.051,"[-0.600,0.477]",0,-0.4657,"[-1.126,0.180]",0,0.0031,"[-0.484,0.532]",0,-0.2095,"[-0.721,0.123]",0,
TR,E2,42,0.2323,-0.7859,"[-1.676,0.059]",0,-0.4797,"[-2.107,-0.130]",1,-1.3824,"[-2.512,0.003]",0,-0.3071,"[-1.300,0.912]",0,-0.0783,"[-1.075,1.189]",0,6.79
TR,E2,43,0.7465,-0.2717,"[-0.816,0.056]",0,0.0346,"[-1.970,0.619]",0,-0.8682,"[-1.795,-0.142]",1,0.2072,"[-0.080,0.584]",0,-0.2086,"[-1.172,1.191]",0,
TR,E2,44,0.7434,-0.2748,"[-0.788,0.071]",0,0.0314,"[-1.907,0.639]",0,-0.8713,"[-1.832,0.015]",0,0.204,"[-0.015,0.578]",0,-0.251,"[-1.190,1.152]",0,
TR,E8,42,0.2133,-0.805,"[-1.690,0.056]",0,-0.4987,"[-2.114,-0.130]",1,-1.4015,"[-2.517,-0.016]",1,-0.3261,"[-1.284,0.911]",0,-0.1606,"[-1.171,1.148]",0,6.141
TR,E8,43,0.714,-0.3042,"[-0.836,0.030]",0,0.0021,"[-1.919,0.583]",0,-0.9007,"[-1.773,-0.186]",1,0.1747,"[-0.060,0.542]",0,-0.2235,"[-1.211,1.186]",0,
TR,E8,44,0.7897,-0.2285,"[-0.666,0.042]",0,0.0777,"[-1.841,0.676]",0,-0.825,"[-1.692,0.021]",0,0.2503,"[0.008,0.660]",1,-0.1653,"[-1.174,1.245]",0,
PK,E2,42,0.694,0.5673,"[-0.460,1.298]",0,1.1956,"[-0.667,2.499]",0,1.0231,"[-0.778,2.412]",0,0.2274,"[-1.017,1.175]",0,0.1854,"[-0.834,1.481]",0,0.212
PK,E2,43,-0.1424,-0.2692,"[-1.453,0.505]",0,0.5485,"[-1.509,2.403]",0,0.376,"[-1.588,2.226]",0,-0.6091,"[-1.792,0.122]",0,-0.6511,"[-1.719,0.464]",0,
PK,E2,44,0.4732,0.3464,"[-0.687,0.974]",0,1.1824,"[-0.628,2.493]",0,1.0099,"[-0.734,2.377]",0,0.0065,"[-1.118,0.712]",0,-0.0355,"[-0.921,0.962]",0,
PK,E8,42,1.1856,1.0588,"[-0.093,2.129]",0,1.8104,"[0.226,3.276]",1,1.6379,"[0.287,2.912]",1,0.7189,"[-0.268,1.653]",0,0.6769,"[0.126,1.823]",1,0.078
PK,E8,43,-0.3226,-0.4494,"[-1.808,0.379]",0,0.5761,"[-1.440,2.472]",0,0.4037,"[-1.503,2.236]",0,-0.7893,"[-2.064,-0.127]",1,-0.8313,"[-1.859,0.105]",0,
PK,E8,44,0.4429,0.3162,"[-0.706,0.960]",0,1.0655,"[-0.608,2.273]",0,0.893,"[-0.870,2.189]",0,-0.0237,"[-1.291,0.836]",0,-0.0657,"[-1.104,1.143]",0,
