spec,seed,sharpe,ev,rms_alpha_pct
E2,42,0.0160,0.4252,6.1126
E2,43,0.0972,0.4246,6.0194
E2,44,0.3996,0.4178,5.8876
E3,42,0.4792,0.4246,5.7667
E3,43,0.6397,0.4185,5.9153
E3,44,0.0465,0.4147,6.1429
E4A,42,0.1822,0.4229,6.0441
E4A,43,0.2438,0.4095,6.0379
E4A,44,0.6682,0.4196,6.0156
E4B,42,0.1865,0.4159,6.0331
E4B,43,0.0205,0.4190,6.0590
E4B,44,0.3694,0.4114,5.9723
E5A,42,-0.0221,0.4227,6.0121
E5A,43,0.6326,0.4125,5.9455
E5A,44,0.6198,0.4105,5.9701
E5B,42,0.0349,0.4062,6.1080
E5B,43,0.1985,0.4157,6.0102
E5B,44,0.3724,0.4235,5.9838
E8,42,0.6078,0.4233,6.0756
E8,43,0.5663,0.3964,5.8957
E8,44,0.4225,0.4240,5.9522
E8B,42,0.7861,0.4109,5.5915
E8B,43,0.1720,0.3916,6.0583
E8B,44,-0.0608,0.4204,6.0913
loadings_max|mean|,42,0.1172,0.0505,
loadings_max|mean|,43,0.0891,0.0350,
loadings_max|mean|,44,0.1293,0.0558,
