country,spec,seed,sharpe,ev,rms
IR,E2,42,0.016,0.4252,6.1126
IR,E2,43,0.0972,0.4246,6.0194
IR,E2,44,0.3996,0.4178,5.8876
IR,E2,100,0.3652,0.4013,5.9044
IR,E2,101,0.4141,0.3974,6.1021
IR,E2,102,0.0888,0.4194,6.0497
IR,E2,103,0.0995,0.3941,6.0309
IR,E2,104,0.5581,0.4234,5.8135
IR,E2,105,0.7144,0.4192,5.9435
IR,E2,106,0.6287,0.3996,5.9624
IR,E2,107,0.7089,0.4186,5.9234
IR,E2,108,0.0497,0.3934,6.1327
IR,E2,109,-0.101,0.4235,6.021
IR,E8,42,0.6078,0.4233,6.0756
IR,E8,43,0.5663,0.3964,5.8957
IR,E8,44,0.4225,0.424,5.9522
IR,E8,100,0.6305,0.418,5.8763
IR,E8,101,0.2387,0.416,6.0484
IR,E8,102,0.7148,0.4231,5.9153
IR,E8,103,0.174,0.3666,6.0418
IR,E8,104,0.4531,0.4222,6.1011
IR,E8,105,0.6246,0.4183,6.0466
IR,E8,106,0.5347,0.4089,5.8574
IR,E8,107,0.1112,0.4217,6.1947
IR,E8,108,-0.0016,0.4238,6.14
IR,E8,109,0.7751,0.4222,5.8642
TR,E2,42,0.2323,0.2804,6.0616
TR,E2,43,0.7465,0.3044,6.0039
TR,E2,44,0.7434,0.2788,5.9267
TR,E2,100,0.2559,0.2806,5.9751
TR,E2,101,0.1545,0.2754,5.9451
TR,E2,102,0.6126,0.2616,5.954
TR,E2,103,0.2224,0.2742,6.0274
TR,E2,104,0.5575,0.2314,5.934
TR,E2,105,0.7136,0.287,6.0613
TR,E2,106,0.3243,0.2781,6.0571
TR,E2,107,0.2939,0.2847,6.0528
TR,E2,108,0.5322,0.3364,6.001
TR,E2,109,0.664,0.2747,5.9757
TR,E8,42,0.2133,0.2756,6.1188
TR,E8,43,0.714,0.2937,5.9067
TR,E8,44,0.7897,0.2351,5.9708
TR,E8,100,0.5937,0.1553,5.9999
TR,E8,101,0.2443,0.2574,5.9335
TR,E8,102,0.6076,0.2478,5.9175
TR,E8,103,0.3078,0.2512,5.9951
TR,E8,104,0.6182,0.258,6.0049
TR,E8,105,0.6974,0.2883,5.9287
TR,E8,106,0.3596,0.2761,5.8626
TR,E8,107,0.328,0.2704,5.8755
TR,E8,108,0.5913,0.3472,6.043
TR,E8,109,0.6892,0.272,5.883
PK,E2,42,-0.0972,0.2525,5.1463
PK,E2,43,0.1427,0.2543,5.0109
PK,E2,44,-0.5404,0.2628,4.7693
PK,E2,100,0.1421,0.2582,5.0666
PK,E2,101,-0.1226,0.2501,4.776
PK,E2,102,0.4938,0.2458,4.7215
PK,E2,103,0.3413,0.2627,5.4199
PK,E2,104,0.3379,0.2586,5.0778
PK,E2,105,0.0329,0.2615,5.1082
PK,E2,106,0.5883,0.2404,4.8248
PK,E2,107,0.405,0.2632,4.7204
PK,E2,108,0.644,0.2579,4.7088
PK,E2,109,-0.3955,0.2534,5.2147
PK,E8,42,0.025,0.2639,4.6941
PK,E8,43,-0.5408,0.2557,5.0723
PK,E8,44,-0.6008,0.2596,5.0173
PK,E8,100,0.4327,0.2589,4.9725
PK,E8,101,-0.1029,0.2619,5.1852
PK,E8,102,0.5384,0.2491,4.7396
PK,E8,103,0.0838,0.2558,4.6666
PK,E8,104,0.2396,0.2641,4.6742
PK,E8,105,0.1877,0.2463,4.6567
PK,E8,106,0.4694,0.2601,4.6788
PK,E8,107,0.8961,0.2536,5.0055
PK,E8,108,0.5249,0.2482,4.657
PK,E8,109,-0.3646,0.2557,5.0658
