category,item,stat,value
panel,months_full,n,303
panel,stocks,n,357
panel,stock_months,n,74147
panel,stocks_per_month_full,min,71
panel,stocks_per_month_full,mean,244.7
panel,stocks_per_month_full,max,343
panel,stocks_per_month_common,min,183
panel,stocks_per_month_common,mean,276.7
panel,stocks_per_month_common,max,343
panel,frac_missing_return_cells,n,0.3145
macro,cbirate,mean,17.000000
macro,cbirate,std,3.841485
macro,cbirate,n_obs,214
macro,cpi,mean,863.166680
macro,cpi,std,1082.866148
macro,cpi,n_obs,210
macro,usd_official,mean,28128.882584
macro,usd_official,std,13068.209098
macro,usd_official,n_obs,186
macro,brent,mean,77.492732
macro,brent,std,23.042091
macro,brent,n_obs,183
macro,gold_coin,mean,175480590.673575
macro,gold_coin,std,355207462.852718
macro,gold_coin,n_obs,193
macro,usd_market,mean,269597.045977
macro,usd_market,std,356029.481079
macro,usd_market,n_obs,174
char,size,mean,26.069428
char,size,std,3.897784
char,size,pct_missing,0.0000
char,st_rev,mean,0.036095
char,st_rev,std,0.199525
char,st_rev,pct_missing,3.8842
char,turnover,mean,0.612769
char,turnover,std,157.773649
char,turnover,pct_missing,0.0000
char,vol,mean,0.143699
char,vol,std,0.117847
char,vol,pct_missing,2.8686
char,bm,mean,46.116992
char,bm,std,191.490649
char,bm,pct_missing,0.0701
char,mom,mean,0.499239
char,mom,std,1.118522
char,mom,pct_missing,12.0153
char,roe,mean,0.360218
char,roe,std,0.326582
char,roe,pct_missing,1.2448
char,ag,mean,0.292525
char,ag,std,0.393041
char,ag,pct_missing,0.4289
char,ac,mean,0.160676
char,ac,std,0.288398
char,ac,pct_missing,0.4559
char,noa,mean,0.552727
char,noa,std,0.213750
char,noa,pct_missing,0.1591
char,nsi,mean,0.493872
char,nsi,std,1.567688
char,nsi,pct_missing,0.3655
char,gp,mean,0.229639
char,gp,std,0.145186
char,gp,pct_missing,14.7356
char,cei,mean,0.157309
char,cei,std,0.272196
char,cei,pct_missing,0.4289
char,ita,mean,0.062176
char,ita,std,0.175297
char,ita,pct_missing,0.6109
char,ig,mean,5.305648
char,ig,std,35.164293
char,ig,pct_missing,7.7185
char,dist,mean,0.175593
char,dist,std,0.162882
char,dist,pct_missing,0.1443
char,oscore,mean,-4.786904
char,oscore,std,2.304700
char,oscore,pct_missing,0.1443
char,investment,mean,0.313946
char,investment,std,0.689674
char,investment,pct_missing,1.5645
char,cbop,mean,0.256927
char,cbop,std,16.129873
char,cbop,pct_missing,1.5564
char,dy,mean,21.289074
char,dy,std,106.479352
char,dy,pct_missing,3.4513
