char,mean_w,std_w,t_stat,mean_abs_w,n_months
size,-0.06985,0.41401,-2.025,0.25633,144
st_rev,0.07330,0.25879,3.399,0.13027,144
turnover,0.07293,0.44854,1.951,0.28240,144
vol,-0.00133,0.25135,-0.064,0.16530,144
bm,0.00510,0.33946,0.180,0.23669,144
mom,-0.04244,0.21147,-2.408,0.12556,144
roe,-0.05606,0.47787,-1.408,0.29062,144
ag,-0.13657,0.42745,-3.834,0.28989,144
ac,-0.13716,0.43228,-3.808,0.27890,144
noa,-0.04642,0.21346,-2.610,0.12190,144
nsi,-0.03199,0.26468,-1.450,0.17357,144
gp,-0.00501,0.29285,-0.205,0.18952,144
cei,-0.12159,0.43431,-3.360,0.29576,144
ita,-0.08995,0.34383,-3.139,0.26080,144
ig,-0.04704,0.23049,-2.449,0.15500,144
dist,0.10356,0.54344,2.287,0.32154,144
oscore,0.13180,0.62539,2.529,0.37625,144
investment,-0.13550,0.42892,-3.791,0.28697,144
cbop,-0.01697,0.31371,-0.649,0.16926,144
dy,0.02085,0.30885,0.810,0.22965,144
