char,mean_w,std_w,t_stat,mean_abs_w,n_months
size,0.02301,0.28732,0.961,0.18230,144
st_rev,-0.04550,0.16683,-3.272,0.10197,144
turnover,0.03089,0.26618,1.393,0.17866,144
vol,0.04699,0.23757,2.374,0.16025,144
bm,-0.05700,0.37680,-1.815,0.25495,144
mom,0.01170,0.22132,0.634,0.13307,144
roe,-0.02671,0.31520,-1.017,0.22154,144
ag,0.02462,0.41315,0.715,0.27603,144
ac,0.03986,0.36504,1.310,0.25422,144
noa,0.00681,0.19264,0.424,0.10962,144
nsi,0.04566,0.26549,2.064,0.16782,144
gp,0.00613,0.36366,0.202,0.25037,144
cei,0.06313,0.43163,1.755,0.29274,144
ita,0.02009,0.39550,0.610,0.25461,144
ig,-0.01645,0.30438,-0.649,0.20848,144
dist,-0.02177,0.36951,-0.707,0.24122,144
oscore,-0.01697,0.41276,-0.493,0.25983,144
investment,0.02466,0.41423,0.714,0.27932,144
cbop,-0.04269,0.17952,-2.853,0.12647,144
dy,-0.02369,0.52892,-0.537,0.32163,144
