char,mean_w,naive_t,boot_t,boot_ci_lo,boot_ci_hi,signif_boot
mom,-0.13080,-5.366,-2.347,-0.23781,-0.01923,1
ag,-0.11146,-2.892,-1.321,-0.26701,0.06347,0
ac,-0.10411,-2.444,-1.130,-0.27182,0.08711,0
noa,-0.07731,-2.161,-1.052,-0.21347,0.07140,0
nsi,-0.05671,-1.925,-0.901,-0.16952,0.07472,0
gp,-0.10189,-2.725,-1.303,-0.24583,0.05785,0
cei,-0.12319,-2.976,-1.375,-0.28639,0.06282,0
ita,-0.01587,-0.448,-0.204,-0.16977,0.13333,0
ig,-0.02309,-0.624,-0.294,-0.18886,0.12029,0
dist,0.08565,1.907,0.918,-0.10209,0.25678,0
oscore,0.08934,1.948,0.936,-0.10994,0.26384,0
