month,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,nsi,gp,cei,ita,ig,dist,oscore,investment,cbop,dy
2013-07,-1.18914,0.75820,1.07057,0.88560,1.18114,-0.24294,-0.63216,0.10260,-0.05234,-0.79187,0.42393,-0.17245,-0.36358,0.22102,0.86695,1.01698,1.20003,0.13260,0.06274,1.21376
2013-08,-1.13799,0.31215,0.91807,0.30588,1.12728,-0.29543,-0.83208,-0.45392,-0.56111,-0.90609,0.01771,-0.23293,-0.43662,-0.34040,0.95762,1.20247,1.29065,-0.44605,-1.13160,1.08267
2013-09,-1.12911,0.77218,1.12233,0.67361,1.06944,-0.31685,-0.73536,-0.28786,-0.52472,-1.06353,0.07231,-0.27294,-0.40939,-0.31553,0.87405,1.15473,1.28572,-0.28307,-1.03023,1.06149
2013-10,-1.11302,0.85706,0.94616,0.20533,1.02341,-0.23329,-0.80437,-0.33766,-0.41661,-1.04791,0.19399,-0.33820,-0.24588,-0.18701,0.89634,1.10383,1.25845,-0.33190,-1.10663,0.99507
2013-11,-1.18972,0.40981,1.03984,0.04743,1.08773,-0.20909,-0.67996,-0.42586,-0.46698,-0.95645,0.12001,-0.30004,-0.36006,-0.32331,0.88803,1.08236,1.23020,-0.41916,-1.06038,0.99698
2013-12,-1.21258,0.38732,1.08326,-0.04455,1.04308,-0.21911,-0.69602,-0.36690,-0.48299,-1.08217,0.21183,-0.18634,-0.24593,-0.28715,0.84496,1.01895,1.19875,-0.36143,-1.04570,1.00652
2014-01,-0.94342,0.62271,1.19460,0.34303,0.99188,-0.41791,-0.90150,-0.60700,-0.63111,-0.83552,0.34963,-0.33398,-0.43678,-0.38185,0.96378,1.18226,1.28564,-0.59497,-1.14409,0.87220
2014-02,-0.96278,0.46318,1.43507,0.30755,1.00765,-0.33347,-0.90447,-0.40654,-0.52589,-1.00031,0.34537,-0.39021,-0.28763,-0.27594,0.96416,1.27259,1.35328,-0.39968,-1.16874,0.86304
2014-03,-1.07337,0.74942,1.48584,0.42432,1.15000,-0.35208,-0.91590,-0.44126,-0.55115,-0.96943,0.32371,-0.32748,-0.37961,-0.37245,1.01050,1.22554,1.28989,-0.43907,-1.19746,0.94323
2014-04,-1.02044,-0.37494,1.12458,0.42639,1.04187,-0.28975,-0.82054,-0.47450,-0.63432,-0.98544,0.39611,-0.33719,-0.27122,-0.28888,0.92243,1.08835,1.12699,-0.46545,-1.18257,0.87145
2014-05,-1.06798,0.66431,1.45529,0.43674,0.98682,-0.41437,-1.09570,-0.61566,-0.72488,-0.88482,0.35296,-0.37029,-0.37029,-0.41248,0.95188,1.13684,1.25336,-0.60488,-1.34664,0.86894
2014-06,-1.00679,0.40466,1.71037,0.44375,1.01620,-0.38195,-1.15693,-0.58988,-0.64515,-0.84816,0.35209,-0.38791,-0.35776,-0.42443,1.05408,1.17134,1.24271,-0.57108,-1.36729,0.81950
2014-07,-0.11671,-0.29062,-0.16012,-0.15578,-0.24097,-0.28310,-0.06320,-0.25533,-0.38959,-0.25959,-0.05238,-0.31991,-0.45418,-0.25578,-0.34315,0.25509,0.28272,-0.24208,0.07055,-0.39629
2014-08,0.02250,-0.12350,0.02122,-0.19078,-0.20904,-0.17088,-0.19848,-0.28344,-0.24067,-0.16840,-0.09040,-0.35173,-0.36022,-0.03962,-0.37260,0.26864,0.20837,-0.27246,-0.16801,-0.37815
2014-09,0.04738,-0.13894,-0.08868,-0.14637,-0.22648,-0.19322,-0.18211,-0.33124,-0.30119,-0.12707,-0.07787,-0.36012,-0.41322,-0.09982,-0.34323,0.23781,0.18793,-0.31809,-0.09753,-0.36471
2014-10,0.07924,-0.13032,-0.08345,-0.07472,-0.15953,-0.14339,-0.13172,-0.28514,-0.28727,-0.13471,-0.05305,-0.30399,-0.38266,-0.05191,-0.35122,0.16762,0.10181,-0.27354,-0.01266,-0.32061
2014-11,0.07114,-0.07979,-0.07583,-0.08699,-0.11015,-0.15121,-0.13924,-0.24091,-0.26174,-0.11966,-0.04476,-0.33873,-0.37327,-0.01434,-0.36953,0.17996,0.09712,-0.23019,-0.04751,-0.29858
2014-12,0.05226,-0.16999,-0.19699,-0.11885,-0.18727,-0.13246,-0.12392,-0.21037,-0.21689,-0.08358,-0.09517,-0.30286,-0.36060,-0.04165,-0.38427,0.21655,0.15710,-0.20031,-0.02968,-0.36422
2015-01,0.06006,-0.18481,-0.17677,-0.19481,-0.19675,-0.12850,-0.15454,-0.20947,-0.23410,-0.10261,-0.08301,-0.30872,-0.32805,-0.01425,-0.42061,0.19229,0.14559,-0.20596,-0.02534,-0.38184
2015-02,0.03353,-0.06316,-0.11603,-0.10424,-0.19505,-0.09954,-0.16319,-0.23328,-0.25757,-0.08877,-0.11633,-0.32087,-0.33565,-0.02607,-0.41184,0.22164,0.16302,-0.22367,-0.06314,-0.34804
2015-03,0.08935,-0.01300,-0.13629,-0.08128,-0.27115,-0.11424,-0.18451,-0.28574,-0.29827,-0.12262,-0.10434,-0.34971,-0.34797,-0.09545,-0.43292,0.18152,0.11928,-0.27429,-0.12067,-0.40450
2015-04,0.07789,-0.19229,-0.25391,-0.19921,-0.29139,-0.11801,-0.14319,-0.21891,-0.26634,-0.09821,-0.06718,-0.29339,-0.26951,-0.06355,-0.43352,0.13160,0.05825,-0.20895,-0.08080,-0.42915
2015-05,0.07066,-0.04074,-0.23427,-0.11964,-0.32615,-0.11411,-0.19729,-0.28828,-0.33395,-0.12117,-0.10718,-0.28761,-0.32141,-0.07768,-0.44066,0.17620,0.13190,-0.27614,-0.08785,-0.45691
2015-06,0.09423,-0.03962,-0.20438,-0.09841,-0.27911,-0.09656,-0.23782,-0.28874,-0.32133,-0.09281,-0.10633,-0.31167,-0.35093,-0.08733,-0.40977,0.18641,0.11789,-0.27684,-0.06539,-0.40957
2015-07,-0.00535,0.00139,0.02902,-0.00074,0.00247,-0.00777,-0.01579,-0.02473,-0.02894,-0.01045,0.00287,-0.01433,-0.03887,-0.00568,-0.02682,0.02636,0.03002,-0.02422,-0.01004,0.00652
