metric,tail,kept
limit-hit freq (frac of days),0.2250,0.1978
"Amihud (|ret|/value, x1e+09)",11.9484,5.1295
median trades/day,289.3,382.1
trading days/month,17.05,18.25
frac months <=3 trading days,0.0416,0.0092
monthly ret vol,0.1809,0.1873
AR(1) monthly rets,0.129,0.093
max monthly ret,1.0256,0.9698
|omega| share on group,0.0494,
positive-omega share on group,0.0474,
share of count-weighted alpha^2 loss,4.55,
RMS alpha of group (%),4.711,
RMS alpha of group (%),,5.294
EW portfolio Sharpe (ann.),0.300,
EW portfolio Sharpe (ann.),,0.598
EW portfolio monthly vol (%),8.143,
EW portfolio monthly vol (%),,9.062
