model,oos_return
LASSO-lagged,0.177790
LASSO-lagged,0.048842
LASSO-lagged,0.050252
LASSO-lagged,0.057820
LASSO-lagged,0.173587
LASSO-lagged,0.188076
LASSO-lagged,-0.094459
LASSO-lagged,-0.067954
LASSO-lagged,0.001116
LASSO-lagged,-0.042444
LASSO-lagged,-0.026535
LASSO-lagged,-0.076686
LASSO-lagged,0.049387
LASSO-lagged,0.000937
LASSO-lagged,0.026103
LASSO-lagged,0.047474
LASSO-lagged,0.012823
LASSO-lagged,-0.064861
LASSO-lagged,-0.097324
LASSO-lagged,-0.024189
LASSO-lagged,0.002980
LASSO-lagged,-0.013618
LASSO-lagged,-0.031611
LASSO-lagged,-0.015479
LASSO-lagged,0.013626
LASSO-lagged,-0.047782
LASSO-lagged,-0.039168
LASSO-lagged,-0.008217
LASSO-lagged,-0.000040
LASSO-lagged,-0.022399
LASSO-lagged,0.159341
LASSO-lagged,0.103285
LASSO-lagged,0.020960
LASSO-lagged,0.002468
LASSO-lagged,-0.003312
LASSO-lagged,-0.014412
LASSO-lagged,0.017446
LASSO-lagged,0.009673
LASSO-lagged,0.047531
LASSO-lagged,0.047488
LASSO-lagged,0.029263
LASSO-lagged,-0.042188
LASSO-lagged,0.011169
LASSO-lagged,-0.003956
LASSO-lagged,0.005552
LASSO-lagged,0.100270
LASSO-lagged,-0.013809
LASSO-lagged,-0.031364
LASSO-lagged,0.039362
LASSO-lagged,-0.015997
LASSO-lagged,-0.015265
LASSO-lagged,-0.045218
LASSO-lagged,-0.008704
LASSO-lagged,-0.048036
LASSO-lagged,0.004392
LASSO-lagged,-0.009806
LASSO-lagged,-0.022243
LASSO-lagged,-0.054254
LASSO-lagged,0.034743
LASSO-lagged,0.078514
LASSO-lagged,-0.004039
LASSO-lagged,0.123984
LASSO-lagged,0.602166
LASSO-lagged,-0.185443
LASSO-lagged,-0.041703
LASSO-lagged,0.009708
LASSO-lagged,0.080430
LASSO-lagged,0.011879
LASSO-lagged,0.174239
LASSO-lagged,0.244918
LASSO-lagged,0.176846
LASSO-lagged,0.126516
LASSO-lagged,0.028666
LASSO-lagged,0.273095
LASSO-lagged,0.221977
LASSO-lagged,-0.147829
LASSO-lagged,0.115366
LASSO-lagged,0.273073
LASSO-lagged,0.156032
LASSO-lagged,0.205397
LASSO-lagged,0.127446
LASSO-lagged,0.390403
LASSO-lagged,0.074559
LASSO-lagged,0.371928
LASSO-lagged,0.062296
LASSO-lagged,-0.118997
LASSO-lagged,-0.148529
LASSO-lagged,-0.054583
LASSO-lagged,0.088314
LASSO-lagged,0.127707
LASSO-lagged,-0.070886
LASSO-lagged,-0.003648
LASSO-lagged,0.010204
LASSO-lagged,-0.048453
LASSO-lagged,-0.136826
LASSO-lagged,-0.019977
LASSO-lagged,0.034551
LASSO-lagged,0.097667
LASSO-lagged,-0.078235
LASSO-lagged,-0.184146
LASSO-lagged,0.022681
LASSO-lagged,-0.037370
LASSO-lagged,-0.130237
LASSO-lagged,-0.001271
LASSO-lagged,0.092811
LASSO-lagged,0.147469
LASSO-lagged,0.022661
LASSO-lagged,-0.030343
LASSO-lagged,-0.122550
LASSO-lagged,0.064735
LASSO-lagged,-0.072118
LASSO-lagged,-0.104357
LASSO-lagged,0.146589
LASSO-lagged,0.131089
LASSO-lagged,0.025953
LASSO-lagged,0.111994
LASSO-lagged,0.150841
LASSO-lagged,0.322785
LASSO-lagged,-0.079409
LASSO-lagged,-0.040634
LASSO-lagged,-0.084303
LASSO-lagged,-0.003768
LASSO-lagged,-0.005599
LASSO-lagged,-0.084735
LASSO-lagged,0.071669
LASSO-lagged,0.037229
LASSO-lagged,-0.051503
LASSO-lagged,-0.039562
LASSO-lagged,0.069988
LASSO-lagged,-0.048585
LASSO-lagged,-0.115236
LASSO-lagged,-0.044654
LASSO-lagged,-0.033222
LASSO-lagged,-0.028911
LASSO-lagged,0.060139
LASSO-lagged,-0.070964
LASSO-lagged,0.139187
LASSO-lagged,0.087117
LASSO-lagged,0.021551
LASSO-lagged,-0.062599
LASSO-lagged,-0.073063
LASSO-lagged,0.162046
LASSO-lagged,0.003708
LASSO-lagged,-0.125336
