model,13-14,14-15,15-16,16-17,17-18,18-19,19-20,20-21,21-22,22-23,23-24,24-25,full
Market,0.7053,0.0948,0.0320,-1.2365,-0.4080,1.7677,2.9679,-1.2087,-0.0302,0.5616,-1.3238,0.3793,0.3273
FF5,1.6782,0.0629,0.8540,1.2918,-0.8490,1.4103,0.6893,0.3389,0.5192,2.0178,0.1477,1.4969,0.8158
q-factor,1.9810,1.1034,1.1121,1.3237,-0.7184,1.6058,3.0732,-1.9996,-0.0189,1.6825,-0.9223,0.5413,0.8848
PCA(5),0.8771,-1.1222,0.8276,1.3935,-0.5105,1.8298,4.0579,-0.9366,-0.0489,1.2247,-1.6497,0.1630,0.6071
LASSO,1.1500,-0.7528,0.8297,1.3826,-0.4796,2.0527,4.1850,-1.0714,-0.1359,1.2017,-1.4906,0.2680,0.8352
E2,1.2179,-0.5653,0.6404,1.2989,-0.5905,-1.8377,4.0436,-1.2430,-0.1697,1.2401,-1.5252,-0.1955,0.3628
E3,1.2832,-0.6340,0.7353,1.4200,-0.5632,2.1111,4.2883,-1.1768,-0.0996,-1.1204,-1.5405,0.5032,0.6491
E4B,1.2141,-0.6906,0.9373,1.3541,-0.5885,-2.0854,4.2527,-1.2415,-0.1978,-1.0734,-1.5253,0.2824,0.0496
E5A,1.1323,-0.5178,-0.9863,1.4980,-0.6820,-2.1601,4.2201,-1.2233,-0.1976,-1.1726,-1.5012,0.2818,-0.0254
E8,1.1617,-0.5071,0.8497,1.2713,-0.5400,2.0879,4.2025,-1.2498,0.0392,1.2132,-1.4699,-0.0074,0.8187
E8B,1.2376,-0.6836,1.5963,1.3287,-0.4811,2.0700,4.2705,-1.0890,-0.1002,1.2538,-1.4987,-0.6289,0.8183
