spec,seed,sharpe,ev,rms_alpha_pct
E2,42,0.3628,0.4647,5.8188
E2,43,0.2906,0.4641,5.6990
E2,44,0.7502,0.4614,5.6626
E3,42,0.6491,0.4662,5.5587
E3,43,0.3737,0.4562,5.6743
E3,44,0.6342,0.4523,5.6895
E4A,42,0.7119,0.4622,5.6544
E4B,42,0.0496,0.4663,5.8600
E4B,43,0.8379,0.4637,5.6242
E4B,44,0.7388,0.3925,5.5710
E5A,42,-0.0254,0.4656,5.8229
E5A,43,0.8013,0.4647,5.6804
E5A,44,0.6380,0.4656,5.7001
E5B,42,0.6927,0.4608,5.6659
E5B,43,0.2132,0.4365,5.7781
E5B,44,0.1695,0.4651,5.6749
E8,42,0.8187,0.4648,5.7201
E8,43,0.7481,0.4623,5.7468
E8,44,0.8089,0.4674,5.6632
E8B,42,0.8183,0.4629,5.5260
loadings_max|mean|,42,0.1372,0.0673,
loadings_max|mean|,43,0.0631,0.0297,
loadings_max|mean|,44,0.1274,0.0646,
