month,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,nsi,gp,cei,ita,dist,oscore,investment,cbop,dy
2019-10,0.00465,0.01414,0.00589,-0.00736,-0.00708,0.00543,-0.00490,0.01053,0.17253,-0.02607,0.00000,0.00610,-0.00776,-0.00039,0.01007,0.00115,0.01053,-0.01148,0.00000
2019-11,0.00348,0.01660,-0.02784,-0.01997,-0.01131,0.01847,0.01713,0.02165,0.02237,-0.03325,0.00000,0.00646,0.01080,0.00239,-0.00135,0.00115,0.02165,-0.01765,0.00000
2019-12,0.00237,0.00176,-0.00003,-0.01874,-0.00623,0.01100,0.00361,0.02586,0.02237,-0.01801,0.00000,0.00439,0.01807,0.00450,0.01595,0.00067,0.02586,-0.01757,0.00000
2020-01,0.00008,0.00325,-0.00096,0.00030,0.00314,0.00331,0.00299,0.01932,0.02322,-0.01217,0.00000,0.00459,0.01168,0.00304,-0.00606,-0.00755,0.01932,-0.02216,0.00000
2020-02,0.01423,0.01243,-0.00429,-0.02884,-0.01543,0.02035,0.02098,0.03885,0.03196,-0.03504,0.00000,0.01120,0.02772,0.01001,0.00491,0.00309,0.03885,-0.01742,0.00000
2020-03,-0.00562,0.01598,0.02043,-0.00930,-0.00322,0.00158,-0.00174,0.01894,0.02345,-0.01195,0.00000,0.00024,0.00876,0.00263,0.00603,0.00165,0.01894,-0.02146,0.00000
2020-04,0.00531,0.01360,-0.03805,-0.02688,-0.01137,0.01741,0.02054,0.03295,0.02688,-0.02811,0.00000,0.00827,0.02017,0.00647,0.01353,0.00416,0.03295,-0.01910,0.00000
2020-05,0.00316,0.01433,-0.05407,-0.02095,-0.00879,0.01809,0.01889,0.03322,0.02855,-0.03259,0.00000,0.00646,0.02154,0.00772,0.00916,0.00647,0.03322,-0.02096,0.00000
2020-06,0.00619,0.00033,0.00259,-0.01408,-0.00491,0.01252,0.00532,0.02587,0.02775,-0.02449,0.00000,0.00676,0.02518,0.00544,-0.00407,-0.00579,0.02587,-0.01359,0.00000
2020-07,0.00625,0.01204,0.01182,-0.02014,-0.01343,0.01237,0.00365,0.01498,0.01387,-0.02302,0.00000,0.00789,0.01013,0.00111,-0.00120,0.00287,0.01498,-0.00631,0.00000
2020-08,0.00710,0.01805,0.00109,-0.02787,-0.01449,0.01863,0.01434,0.03307,0.02766,-0.02862,0.00000,0.01202,0.02033,0.00747,-0.00811,0.00765,0.03307,-0.01409,0.00000
2020-09,0.00390,-0.00687,-0.04223,-0.01187,-0.00381,0.01259,0.02064,0.02179,0.02665,-0.02038,0.00000,0.01024,0.01486,0.00275,-0.00567,-0.00375,0.02179,-0.02211,0.00000
2020-10,-0.01351,0.00234,-0.00426,0.01058,0.01450,-0.00442,-0.02550,-0.00993,-0.01932,-0.02526,0.00000,-0.01887,-0.00754,0.00445,0.02847,0.00292,-0.00993,0.01233,0.00000
