month,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,nsi,gp,cei,ita,dist,oscore,investment,cbop,dy
2019-10,0.01832,-0.00613,0.02271,-0.02502,-0.01658,0.00181,0.02542,0.01242,0.22161,0.04686,0.00000,0.03888,0.03074,-0.00425,-0.01529,-0.06819,0.01242,0.00714,0.00000
2019-11,0.01623,-0.02159,-0.02568,-0.01149,0.00667,0.01778,0.03656,0.01057,0.02220,0.03533,0.00000,0.01135,0.02093,-0.00452,-0.00326,-0.04940,0.01057,-0.02329,0.00000
2019-12,0.01849,-0.00601,-0.04627,-0.01206,0.00658,0.02216,0.04304,0.01986,0.02606,0.02855,0.00000,0.01253,0.03044,-0.00038,0.01030,-0.05067,0.01986,-0.02752,0.00000
2020-01,0.02507,-0.02301,-0.04547,-0.02218,-0.00349,0.02590,0.04843,0.02292,0.02447,0.02355,0.00000,0.01595,0.02985,-0.00111,0.00705,-0.04488,0.02292,-0.02065,0.00000
2020-02,0.01635,-0.00825,-0.04098,-0.01400,0.00969,0.02413,0.05311,0.02858,0.02885,0.02318,0.00000,0.01458,0.02847,-0.00173,0.01040,-0.05274,0.02858,-0.03085,0.00000
2020-03,0.02460,-0.02313,-0.10306,-0.02015,0.00307,0.02656,0.05021,0.02679,0.02295,0.01943,0.00000,0.01628,0.03204,-0.00029,0.00457,-0.04649,0.02679,-0.02017,0.00000
2020-04,0.01698,-0.00090,-0.06655,-0.00727,0.00619,0.01714,0.03388,0.01419,0.01795,0.02548,0.00000,0.01009,0.02004,-0.00312,0.00255,-0.04626,0.01419,-0.02150,0.00000
2020-05,0.01249,0.00192,-0.04535,-0.00446,0.00963,0.01094,0.02729,0.01278,0.01635,0.02513,0.00000,0.00763,0.02022,-0.00181,0.00781,-0.04227,0.01278,-0.02217,0.00000
2020-06,0.01570,-0.01230,-0.03897,-0.00879,0.00974,0.02203,0.03299,0.01119,0.01781,0.03451,0.00000,0.00966,0.02107,-0.00396,0.00718,-0.05031,0.01119,-0.01908,0.00000
2020-07,0.01772,-0.02519,-0.02825,-0.00843,0.00780,0.02158,0.04638,0.01305,0.02090,0.03202,0.00000,0.01292,0.02468,-0.00358,-0.00266,-0.04951,0.01305,-0.02648,0.00000
2020-08,0.01231,0.00740,-0.04009,-0.00567,0.01135,0.01445,0.03483,0.01156,0.01357,0.03509,0.00000,0.00797,0.01618,-0.00398,0.00993,-0.04291,0.01156,-0.02359,0.00000
2020-09,0.01374,-0.02190,-0.05890,-0.01670,0.00523,0.01862,0.03425,0.01988,0.01809,0.02910,0.00000,0.01070,0.02012,-0.00252,0.00091,-0.04249,0.01988,-0.02372,0.00000
2020-10,-0.04102,-0.01178,0.00843,0.01300,0.01767,-0.02700,-0.05508,0.00609,-0.01370,-0.02822,0.00000,-0.02620,-0.00001,0.01305,0.06524,0.03087,0.00609,0.00833,0.00000
2020-11,-0.03591,-0.01300,-0.00082,0.00211,0.00528,-0.00785,-0.01195,0.00786,-0.00071,-0.02326,-0.00885,-0.02581,0.00982,0.00975,0.02257,0.02401,0.00786,0.01869,0.00000
2020-12,-0.03464,-0.00452,-0.00368,0.00649,-0.00003,-0.01015,-0.00288,0.00590,0.00197,-0.01681,-0.01172,-0.02473,0.00743,0.00924,0.02053,0.02683,0.00590,0.02032,0.00000
2021-01,-0.04128,0.00404,-0.00907,0.01242,0.00260,-0.00916,-0.01689,-0.00269,-0.00569,-0.01870,-0.00493,-0.02922,0.00350,0.00452,0.02242,0.02539,-0.00269,0.01798,0.00000
