spec,seed,sharpe,ev,rms_alpha_pct
E2,42,-0.2801,0.2034,4.7915
E2,43,0.2227,0.2299,4.7905
E2,44,-0.0275,0.2301,4.7712
E3,42,0.9246,0.1740,4.7396
E3,43,1.1815,0.1533,4.6849
E3,44,0.2409,0.2354,4.7173
E4A,42,0.7322,0.2222,4.6726
E4A,43,-0.1290,0.2318,4.7066
E4A,44,0.5325,0.2389,4.6919
E4B,42,0.7301,0.2234,4.6729
E4B,43,0.1335,0.2002,4.6705
E4B,44,0.3048,0.1969,4.6717
E5A,42,-0.3218,0.2315,5.1834
E5A,43,-0.8975,0.2332,5.2183
E5A,44,-0.3792,0.2386,5.2000
E5B,42,0.5959,0.1771,5.1301
E5B,43,0.7096,0.1618,5.1760
E5B,44,1.1264,0.2260,5.1629
E8,42,0.0306,0.2397,4.7066
E8,43,0.0241,0.2237,4.6588
E8,44,0.0526,0.2275,4.6384
E8B,42,0.1293,0.1780,4.6432
E8B,43,0.4394,0.1600,4.6140
E8B,44,0.8289,0.2158,4.6178
loadings_max|mean|,42,7.8050,0.5956,
loadings_max|mean|,43,6.7215,0.5123,
loadings_max|mean|,44,1.8038,0.1726,
