model,window,alpha
AE(1),1,0.06672769
AE(1),1,0.14015687
AE(1),1,0.11669762
AE(1),1,0.09244213
AE(1),1,-0.00928106
AE(1),1,0.11439740
AE(1),1,0.13501630
AE(1),1,0.07714943
AE(1),1,0.16286254
AE(1),1,0.06968605
AE(1),1,0.10551496
AE(1),1,0.10392597
AE(1),1,0.08496314
AE(1),1,0.03158456
AE(1),1,0.10848771
AE(1),1,0.16328035
AE(1),1,0.02248155
AE(1),1,0.02160142
AE(1),1,0.10560163
AE(1),1,0.12314569
AE(1),1,0.00249984
AE(1),1,0.04538353
AE(1),1,0.03588119
AE(1),1,0.15704268
AE(1),1,0.15316663
AE(1),1,0.12246751
AE(1),1,0.14051521
AE(1),1,0.02127480
AE(1),1,0.23958481
AE(1),1,0.05207941
AE(1),1,0.13816207
AE(1),1,0.15255407
AE(1),1,-0.01400601
AE(1),1,0.16846113
AE(1),1,0.06029268
AE(1),1,0.17849619
AE(1),1,0.10320140
AE(1),1,0.07734337
AE(1),1,0.13043836
AE(1),1,0.03097265
AE(1),1,0.03923382
AE(1),1,0.00593914
AE(1),1,0.05307388
AE(1),1,0.23814959
AE(1),1,0.11587193
AE(1),1,-0.00017502
AE(1),1,0.03151893
AE(1),1,0.10423861
AE(1),1,0.04930162
AE(1),1,0.11015935
AE(1),1,-0.02545281
AE(1),1,0.20012351
AE(1),1,-0.01956497
AE(1),1,0.10949172
AE(1),1,0.22382866
AE(1),1,0.15578458
AE(1),1,0.05609927
AE(1),1,0.21586882
AE(1),1,0.00323932
AE(1),1,0.08721036
AE(1),1,0.05469140
AE(1),1,0.10981447
AE(1),1,0.03748985
AE(1),1,0.02752385
AE(1),1,0.10158169
AE(1),1,0.14612706
AE(1),1,0.11655522
AE(1),1,0.12936567
AE(1),1,0.06308467
AE(1),1,0.19051003
AE(1),1,0.03880660
AE(1),1,0.18624921
AE(1),1,0.09660460
AE(1),1,0.10581758
AE(1),1,0.12028084
AE(1),1,0.11551401
AE(1),1,0.18140168
AE(1),1,0.10490613
AE(1),1,0.10430948
AE(1),1,-0.00682254
AE(1),1,0.06410321
AE(1),1,0.01277034
AE(1),1,0.06980045
AE(1),1,0.03350684
AE(1),1,0.08479425
AE(1),1,0.01283310
AE(1),1,0.25830293
AE(1),1,0.00811599
AE(1),1,0.02163399
AE(1),1,0.05404139
AE(1),1,0.06728705
AE(1),1,0.14681825
AE(1),1,0.17856989
AE(1),1,0.08234877
AE(1),1,0.02833712
AE(1),1,0.08633643
AE(1),1,0.01574872
AE(1),1,0.02455890
AE(1),1,0.02389466
AE(1),1,0.05826556
AE(1),1,-0.02219696
AE(1),1,0.09179726
AE(1),1,0.14688302
AE(1),1,0.14240222
AE(1),1,0.04628641
AE(1),1,0.03962375
AE(1),1,0.09267745
AE(1),1,0.24120378
AE(1),1,0.14504739
AE(1),1,0.06525601
AE(1),1,0.24211334
AE(1),1,0.18184323
AE(1),1,0.10519306
AE(1),1,0.09868878
AE(1),1,-0.00516535
AE(1),1,0.06139805
AE(1),1,0.02238627
AE(1),1,0.18519320
AE(1),1,0.04169319
AE(1),1,0.01121768
AE(1),1,0.07551528
AE(1),1,0.18856236
AE(1),1,0.10095336
AE(1),1,0.03681139
AE(1),1,0.01073226
AE(1),1,0.01290980
AE(1),1,0.10087109
AE(1),1,0.05419071
AE(1),1,0.12689994
AE(1),1,-0.01198319
AE(1),1,0.21374544
AE(1),1,0.08195595
AE(1),1,0.08384989
AE(1),1,0.03074472
AE(1),1,0.12274613
AE(1),1,0.05778532
AE(1),1,0.08640756
AE(1),1,-0.11536340
AE(1),1,0.01620848
AE(1),1,0.09681221
AE(1),1,0.13898403
AE(1),1,0.03238791
AE(1),1,0.03094728
AE(1),1,0.14376466
AE(1),1,0.18097339
AE(1),1,0.18796796
AE(1),1,0.04176548
AE(1),1,-0.03592530
AE(1),1,0.06448282
AE(1),1,0.00788847
AE(1),1,0.15167503
AE(1),1,0.11907867
AE(1),1,-0.00699960
AE(1),1,0.02096468
AE(1),1,0.05495245
AE(1),1,0.04763883
AE(1),1,0.13282417
AE(1),1,0.00271566
AE(1),1,0.19731831
AE(1),1,0.01687493
AE(1),1,0.19196825
AE(1),1,-0.03101132
AE(1),1,0.09501473
AE(1),1,0.20667974
AE(1),1,0.22989833
AE(1),1,0.20426173
AE(1),1,0.17066600
AE(1),1,0.07620215
AE(1),1,0.07495664
AE(1),1,0.12637252
AE(1),1,0.00772518
AE(1),1,-0.04169319
AE(1),1,0.03723006
AE(1),1,0.10165614
AE(1),1,0.12192826
AE(1),1,0.08577607
AE(1),1,0.10787890
AE(1),1,0.02846131
AE(1),1,0.08513209
AE(1),1,0.07984234
AE(1),1,0.03905471
AE(1),1,0.09422612
AE(1),1,0.14576045
AE(1),1,-0.03669414
AE(1),1,0.04970529
AE(1),1,0.06779295
AE(1),1,0.00726626
AE(1),1,0.26037547
AE(1),1,0.06431351
AE(1),1,0.15094606
AE(1),1,-0.02428735
AE(1),1,0.00655653
AE(1),1,0.09623477
AE(1),1,0.07014881
AE(1),1,0.05111542
AE(1),1,0.00956242
AE(1),1,0.01428132
AE(1),1,0.09995567
AE(1),1,0.06068682
AE(1),1,0.08613837
AE(1),1,0.06009566
AE(1),1,0.01125299
AE(1),1,0.11259225
AE(1),1,0.09049890
AE(1),1,-0.01524918
AE(1),1,0.03285802
AE(1),1,0.01324414
AE(1),1,0.07795652
AE(1),1,0.18473244
AE(1),1,0.14089230
AE(1),1,0.04136798
AE(1),1,0.03082931
AE(1),1,-0.02160599
AE(1),1,0.08100799
AE(1),1,0.06080000
AE(1),1,-0.03316335
AE(1),1,0.04453027
AE(1),1,0.08712897
AE(1),1,0.04363803
AE(1),1,0.20980966
AE(1),1,0.10025997
AE(1),1,0.11844276
AE(1),1,-0.05952679
AE(1),1,0.10142895
AE(1),1,0.04920392
AE(1),1,-0.02519465
AE(1),1,0.01364047
AE(1),1,-0.00473659
AE(1),1,0.10651364
AE(1),1,0.05646467
AE(1),1,0.00643861
AE(1),1,0.13211933
AE(1),1,-0.00620764
AE(1),1,-0.02583485
AE(1),1,0.11374356
AE(1),1,0.07139206
AE(1),1,-0.03180802
AE(1),1,0.05428713
AE(1),1,0.03014632
AE(1),1,0.09973199
AE(1),1,0.10153399
AE(1),1,-0.02771769
AE(1),1,0.18535921
AE(1),1,0.00516108
AE(1),1,0.02574889
AE(1),1,0.17459450
AE(1),1,0.11904498
AE(1),1,-0.02147386
AE(1),1,0.04787059
AE(1),1,0.04738250
AE(1),1,-0.04938733
AE(1),1,0.08180572
AE(1),1,-0.03595887
AE(1),1,0.06644599
AE(1),1,0.00367773
AE(1),1,0.04139023
AE(1),1,0.04407959
AE(1),1,0.08657960
AE(1),1,-0.02537309
AE(1),1,0.12083331
AE(1),1,0.14579600
AE(1),1,0.12425148
AE(1),1,0.02528604
AE(1),1,0.10093439
AE(1),1,0.04635705
AE(1),1,0.13561116
AE(1),1,0.00183371
AE(1),1,0.02946872
AE(1),1,0.12829698
AE(1),1,0.06317177
AE(1),1,0.01774798
AE(1),1,0.03406507
AE(1),1,0.22621115
AE(1),1,0.10161469
AE(1),1,0.10884187
AE(1),1,0.08325701
AE(1),1,0.00674816
AE(1),1,0.17922735
AE(1),1,0.01298785
AE(1),1,0.07187532
AE(1),1,0.17148730
AE(1),1,0.08103051
AE(1),1,0.02949563
AE(1),1,0.06571427
AE(1),1,0.04538878
AE(1),1,0.01876278
AE(1),1,0.12558682
AE(1),1,0.10203616
AE(1),1,0.11189304
AE(1),1,0.00069638
AE(1),1,0.08619278
AE(1),1,0.03698539
AE(1),1,0.01572840
AE(1),1,0.15397379
AE(1),1,0.02528181
AE(1),1,0.07208380
AE(1),1,0.06195729
AE(1),1,0.10980434
AE(1),1,0.11240364
AE(1),1,0.16594660
AE(1),1,0.06895727
AE(1),1,-0.03298127
AE(1),1,0.13320615
AE(1),1,0.03392008
AE(1),1,0.13195745
AE(1),1,0.25741497
AE(1),1,0.18796887
AE(1),1,0.10475589
AE(1),1,0.24836299
AE(1),1,0.13271379
AE(1),1,0.18897381
AE(1),1,0.09242452
AE(1),1,0.11022518
AE(1),1,0.11670239
AE(1),1,0.02907543
AE(1),1,0.08049874
AE(1),1,0.04629570
AE(1),1,0.06788996
AE(1),1,0.09483250
AE(1),1,0.07486244
AE(1),1,0.02868442
AE(1),1,0.07650738
AE(1),2,-0.01279739
AE(1),2,-0.00546114
AE(1),2,-0.00958894
AE(1),2,0.02571272
AE(1),2,0.04934855
AE(1),2,-0.02044640
AE(1),2,0.05465962
AE(1),2,-0.01756423
AE(1),2,-0.00891357
AE(1),2,0.00080828
AE(1),2,0.00098886
AE(1),2,0.13078573
AE(1),2,-0.00878917
AE(1),2,-0.02019307
AE(1),2,0.01780944
AE(1),2,0.00138865
AE(1),2,0.04704464
AE(1),2,0.00041786
AE(1),2,0.02359721
AE(1),2,0.01272167
AE(1),2,-0.01927431
AE(1),2,0.00240615
AE(1),2,0.01129439
AE(1),2,0.04648197
AE(1),2,0.02671149
AE(1),2,-0.01128775
AE(1),2,-0.01381617
AE(1),2,0.01566136
AE(1),2,-0.00731578
AE(1),2,0.02290250
AE(1),2,0.05232858
AE(1),2,0.05964673
AE(1),2,-0.05695372
AE(1),2,0.00109529
AE(1),2,0.06523587
AE(1),2,-0.00218015
AE(1),2,0.00960486
AE(1),2,0.05216187
AE(1),2,0.01818943
AE(1),2,-0.03783629
AE(1),2,0.11815804
AE(1),2,-0.00483895
AE(1),2,-0.00061172
AE(1),2,-0.02315525
