model,oos_return
AE(1),-0.26512129
AE(1),-0.80263966
AE(1),-0.03353234
AE(1),0.07487974
AE(1),0.33866071
AE(1),0.59326535
AE(1),-0.56685574
AE(1),-0.12253142
AE(1),-0.08033105
AE(1),-0.43159155
AE(1),-0.24594356
AE(1),-0.00106203
AE(1),0.00047514
AE(1),0.00079405
AE(1),0.00329364
AE(1),0.00163506
AE(1),-0.00033193
AE(1),-0.00220248
AE(1),-0.00104250
AE(1),0.00258287
AE(1),0.00194464
AE(1),0.00035828
AE(1),0.00005227
AE(1),-0.00371103
AE(1),-0.00048236
AE(1),-0.00191862
AE(1),-0.00064128
AE(1),0.00022143
AE(1),-0.00195050
AE(1),-0.00106540
AE(1),-0.00124853
AE(1),-0.00190640
AE(1),-0.00077395
AE(1),-0.00132133
AE(1),0.00130186
AE(1),-0.00218008
AE(1),0.05153596
AE(1),-0.00624059
AE(1),0.07979010
AE(1),0.03934045
AE(1),0.04042432
AE(1),-0.00822429
AE(1),0.01321905
AE(1),-0.00841864
AE(1),0.04758351
AE(1),-0.09836622
AE(1),0.11408922
AE(1),-0.03157180
AE(1),-0.10859457
AE(1),-0.17960045
AE(1),0.01288806
AE(1),0.06789989
AE(1),0.01179519
AE(1),-0.00473147
AE(1),-0.05395265
AE(1),-0.05762947
AE(1),0.01163221
AE(1),0.02266041
AE(1),-0.06153734
AE(1),0.05461480
AE(1),0.02935135
AE(1),0.12051978
AE(1),0.16615143
AE(1),-0.02238835
AE(1),-0.04051616
AE(1),0.00633031
AE(1),-0.06905068
AE(1),0.11684593
AE(1),0.08072348
AE(1),0.09127314
AE(1),0.03765418
AE(1),0.07795934
AE(3),0.07096004
AE(3),0.30028303
AE(3),-0.08687411
AE(3),-0.01073344
AE(3),0.07077475
AE(3),0.16635896
AE(3),-0.15246368
AE(3),0.09812726
AE(3),-0.03034413
AE(3),-0.14418811
AE(3),-0.01436064
AE(3),0.04189412
AE(3),0.18731673
AE(3),0.07062552
AE(3),0.29882949
AE(3),0.06619689
AE(3),0.11289661
AE(3),-0.08561850
AE(3),0.08452183
AE(3),0.09751471
AE(3),0.25057837
AE(3),0.02964791
AE(3),0.10831895
AE(3),-0.02325281
AE(3),-0.24769258
AE(3),-0.35685912
AE(3),0.06227384
AE(3),0.14161149
AE(3),0.05533004
AE(3),0.01835538
AE(3),-0.11600858
AE(3),0.51840446
AE(3),0.22287928
AE(3),0.42156418
AE(3),-0.52767218
AE(3),0.03536432
AE(3),0.00479566
AE(3),0.13101223
AE(3),0.08829281
AE(3),0.30665999
AE(3),-0.16037206
AE(3),0.21473850
AE(3),-0.11889264
AE(3),-0.04389977
AE(3),0.36258964
AE(3),-0.09377998
AE(3),0.20362186
AE(3),0.26059010
AE(3),0.15796290
AE(3),-0.21747310
AE(3),0.03049983
AE(3),0.31504110
AE(3),-0.02696252
AE(3),-0.11007982
AE(3),-0.16867658
AE(3),-0.01452474
AE(3),-0.08921484
AE(3),0.10265640
AE(3),0.35033256
AE(3),0.03412479
AE(3),-0.52127438
AE(3),0.19414930
AE(3),0.37231733
AE(3),0.03914808
AE(3),-0.18971091
AE(3),-0.37490408
AE(3),0.37779867
AE(3),0.80557640
AE(3),0.28538958
AE(3),0.21018149
AE(3),0.05172126
AE(3),0.08143331
AE(5),0.23402504
AE(5),0.15015024
AE(5),0.02734942
AE(5),0.03127804
AE(5),0.12975866
AE(5),0.20064675
AE(5),-0.31367607
AE(5),-0.00875069
AE(5),0.12935814
AE(5),-0.07072965
AE(5),-0.22294968
AE(5),0.24401359
AE(5),0.29652185
AE(5),0.03452768
AE(5),0.17099436
AE(5),0.06137756
AE(5),0.13644008
AE(5),-0.02418819
AE(5),0.05558721
AE(5),0.08888047
AE(5),0.23301639
AE(5),0.05083202
AE(5),0.04713262
AE(5),0.02562604
AE(5),-0.13867877
AE(5),-0.19310267
AE(5),0.16793879
AE(5),-0.06230784
AE(5),0.16215372
AE(5),-0.07742363
AE(5),0.05700322
AE(5),0.35208490
AE(5),0.10397843
AE(5),0.28039193
AE(5),-0.38570900
AE(5),0.12413594
AE(5),-0.03187586
AE(5),0.21930006
AE(5),0.09185306
AE(5),0.24757843
AE(5),-0.10003036
AE(5),0.34451610
AE(5),-0.16060376
AE(5),-0.02597192
AE(5),0.27234396
AE(5),-0.08157866
AE(5),0.14579884
AE(5),0.25757771
AE(5),0.58018788
AE(5),0.00909353
AE(5),-0.15353472
AE(5),0.25291019
AE(5),0.08324466
AE(5),0.08692935
AE(5),0.19427347
AE(5),-0.12025370
AE(5),-0.08185550
AE(5),0.34838566
AE(5),0.78823644
AE(5),0.13370173
AE(5),-0.12649043
AE(5),0.01273369
AE(5),-0.56296831
AE(5),0.11405134
AE(5),-0.18654259
AE(5),-0.48871458
AE(5),0.60505927
AE(5),0.89933505
AE(5),0.29333079
AE(5),0.07150758
AE(5),-0.17844972
AE(5),-0.23711957
