model,window,alpha
Market,1,0.03685353
Market,1,0.08029455
Market,1,0.07106937
Market,1,0.03939720
Market,1,-0.01658905
Market,1,0.05082868
Market,1,0.11935360
Market,1,0.03843751
Market,1,0.08482221
Market,1,0.04260638
Market,1,0.04832372
Market,1,0.04299113
Market,1,0.06039483
Market,1,0.02133132
Market,1,0.06541314
Market,1,0.10342365
Market,1,0.00200937
Market,1,0.00253086
Market,1,0.02148856
Market,1,0.07453024
Market,1,0.01858007
Market,1,0.00998566
Market,1,0.01359653
Market,1,0.09297116
Market,1,0.09416195
Market,1,0.06722291
Market,1,0.07466121
Market,1,0.00260813
Market,1,0.12312396
Market,1,0.02844445
Market,1,0.06761120
Market,1,0.07976775
Market,1,-0.01219158
Market,1,0.09542100
Market,1,0.02814634
Market,1,0.09427367
Market,1,0.09179487
Market,1,0.02615790
Market,1,0.07725451
Market,1,0.01233001
Market,1,0.00464821
Market,1,-0.00093176
Market,1,0.03394397
Market,1,0.17497031
Market,1,0.04585608
Market,1,-0.00624139
Market,1,0.00364761
Market,1,0.05725442
Market,1,0.03795275
Market,1,0.06506743
Market,1,-0.00536246
Market,1,0.13116242
Market,1,-0.01566575
Market,1,0.07334809
Market,1,0.14355098
Market,1,0.06565277
Market,1,0.03728005
Market,1,0.11826384
Market,1,-0.01707240
Market,1,0.04892311
Market,1,0.02793409
Market,1,0.04236762
Market,1,0.02059105
Market,1,0.01643223
Market,1,0.05388638
Market,1,0.06921595
Market,1,0.05841639
Market,1,0.07242479
Market,1,0.00640415
Market,1,0.13333598
Market,1,-0.00353799
Market,1,0.11627178
Market,1,0.04091949
Market,1,0.05242318
Market,1,0.09386556
Market,1,0.04744983
Market,1,0.12397076
Market,1,0.07987377
Market,1,0.05692905
Market,1,-0.01585051
Market,1,0.04224225
Market,1,0.01162570
Market,1,0.05054524
Market,1,0.00667715
Market,1,0.04397775
Market,1,-0.00587323
Market,1,0.13277932
Market,1,-0.00094710
Market,1,0.00362525
Market,1,0.03051641
Market,1,0.02667249
Market,1,0.07441415
Market,1,0.11532205
Market,1,0.03203375
Market,1,0.00759561
Market,1,0.04174820
Market,1,-0.01399621
Market,1,0.00671138
Market,1,0.00422838
Market,1,0.03358382
Market,1,-0.01843769
Market,1,0.04682498
Market,1,0.07440403
Market,1,0.07696088
Market,1,0.02546318
Market,1,-0.00365068
Market,1,0.05644053
Market,1,0.13360990
Market,1,0.07671312
Market,1,0.02328496
Market,1,0.13076895
Market,1,0.08294121
Market,1,0.06095154
Market,1,0.07624972
Market,1,-0.01053836
Market,1,0.02718211
Market,1,0.00289867
Market,1,0.11075938
Market,1,0.01470797
Market,1,-0.00549283
Market,1,0.02944618
Market,1,0.10488575
Market,1,0.05760535
Market,1,-0.00694221
Market,1,0.00332542
Market,1,-0.00311304
Market,1,0.04900899
Market,1,0.01177532
Market,1,0.06191544
Market,1,-0.00447049
Market,1,0.13351689
Market,1,0.03686151
Market,1,0.03995161
Market,1,0.02153331
Market,1,0.09391184
Market,1,0.03185076
Market,1,0.04100834
Market,1,-0.08453447
Market,1,-0.00524289
Market,1,0.03634054
Market,1,0.07381537
Market,1,0.02614928
Market,1,0.02695113
Market,1,0.07187823
Market,1,0.10475641
Market,1,0.12211000
Market,1,0.03040738
Market,1,-0.03704908
Market,1,0.06103935
Market,1,-0.00806291
Market,1,0.08338581
Market,1,0.05207331
Market,1,-0.01754049
Market,1,-0.01457438
Market,1,0.02526894
Market,1,0.01435332
Market,1,0.05716475
Market,1,-0.00571566
Market,1,0.12772755
Market,1,-0.01174831
Market,1,0.08855565
Market,1,-0.02049392
Market,1,0.05296099
Market,1,0.10073468
Market,1,0.22899799
Market,1,0.13331401
Market,1,0.09267880
Market,1,0.02435507
Market,1,0.05876293
Market,1,0.05776916
Market,1,-0.01012803
Market,1,-0.02805356
Market,1,0.00986219
Market,1,0.05746843
Market,1,0.07408555
Market,1,0.04021857
Market,1,0.04397767
Market,1,0.02933746
Market,1,0.03425641
Market,1,0.04858730
Market,1,-0.00204083
Market,1,0.03684271
Market,1,0.08435037
Market,1,-0.01087154
Market,1,0.02164824
Market,1,0.02621592
Market,1,-0.01482731
Market,1,0.18843260
Market,1,0.02211547
Market,1,0.08425405
Market,1,-0.02173530
Market,1,-0.01676691
Market,1,0.04631315
Market,1,0.02312832
Market,1,0.03266660
Market,1,-0.01637650
Market,1,0.01205487
Market,1,0.02999133
Market,1,0.03149043
Market,1,0.02973669
Market,1,0.03245557
Market,1,-0.00434961
Market,1,0.05222871
Market,1,0.05233103
Market,1,-0.00312101
Market,1,-0.00643181
Market,1,0.00596304
Market,1,0.03619030
Market,1,0.09944656
Market,1,0.07048023
Market,1,0.03662428
Market,1,0.01531472
Market,1,-0.03347993
Market,1,0.03093758
Market,1,0.04165163
Market,1,-0.04341656
Market,1,0.00534288
Market,1,0.04306359
Market,1,0.01844237
Market,1,0.13061763
Market,1,0.04759327
Market,1,0.05672653
Market,1,-0.05508559
Market,1,0.08522117
Market,1,0.01151610
Market,1,-0.02485015
Market,1,-0.02256617
Market,1,-0.00898262
Market,1,0.04229023
Market,1,0.02416024
Market,1,-0.00235504
Market,1,0.06177907
Market,1,-0.00941888
Market,1,-0.02094904
Market,1,0.03866470
Market,1,0.02561096
Market,1,-0.03141369
Market,1,0.03401465
Market,1,0.02277016
Market,1,0.06125295
Market,1,0.05926198
Market,1,-0.02096086
Market,1,0.11696246
Market,1,-0.01236381
Market,1,0.02158978
Market,1,0.10921409
Market,1,0.10701400
Market,1,-0.02168627
Market,1,0.02609880
Market,1,0.04082524
Market,1,-0.04079453
Market,1,0.04781671
Market,1,-0.03007592
Market,1,0.04384445
Market,1,-0.00022380
Market,1,0.00760138
Market,1,0.02199757
Market,1,0.05218769
Market,1,-0.02405340
Market,1,0.08751291
Market,1,0.11837406
Market,1,0.06512849
Market,1,0.00855905
Market,1,0.10973673
Market,1,-0.00000035
Market,1,0.06928107
Market,1,-0.02063535
Market,1,0.00006805
Market,1,0.07727590
Market,1,0.02539970
Market,1,-0.00836510
Market,1,0.01542649
Market,1,0.19511671
Market,1,0.03849722
Market,1,0.08056933
Market,1,0.03337433
Market,1,0.01434450
Market,1,0.07487338
Market,1,0.00969498
Market,1,0.01677982
Market,1,0.09784240
Market,1,0.03206982
Market,1,0.00412929
Market,1,0.03721914
Market,1,0.00378547
Market,1,-0.00475493
Market,1,0.08498613
Market,1,0.04876471
Market,1,0.05094526
Market,1,-0.00042797
Market,1,0.03890362
Market,1,0.03523437
Market,1,0.02885755
Market,1,0.10595716
Market,1,0.01950350
Market,1,0.04239178
Market,1,0.02529668
Market,1,0.04234849
Market,1,0.05598670
Market,1,0.11235889
Market,1,0.02634566
Market,1,-0.01400520
Market,1,0.07115752
Market,1,0.01125069
Market,1,0.06211572
Market,1,0.15925988
Market,1,0.11952284
Market,1,0.03901343
Market,1,0.20207624
Market,1,0.06273039
Market,1,0.13627573
Market,1,0.04347626
Market,1,0.06262082
Market,1,0.08774553
Market,1,-0.00417815
Market,1,0.02798958
Market,1,0.00437809
Market,1,0.03223796
Market,1,0.05544266
Market,1,0.04008170
Market,1,0.01066916
Market,1,0.02752626
Market,2,-0.01342095
Market,2,-0.00591182
Market,2,-0.01185434
Market,2,0.02323886
Market,2,0.04601714
Market,2,-0.02237827
Market,2,0.05623666
Market,2,-0.02121734
Market,2,-0.00984370
Market,2,-0.00392225
Market,2,-0.00038098
Market,2,0.12525951
Market,2,-0.01038477
Market,2,-0.02161844
Market,2,0.01798395
Market,2,0.00181271
Market,2,0.04558603
Market,2,0.00061518
Market,2,0.02157690
Market,2,0.01355087
Market,2,-0.02067121
Market,2,0.00202102
Market,2,0.01194639
Market,2,0.04399195
Market,2,0.02222586
Market,2,-0.01450589
Market,2,-0.01432208
Market,2,0.01374213
Market,2,-0.00756258
Market,2,0.01986987
Market,2,0.04963200
Market,2,0.06014042
Market,2,-0.05974833
Market,2,0.00098818
Market,2,0.06254279
Market,2,0.00117449
Market,2,0.00777576
Market,2,0.05032868
Market,2,0.01926271
Market,2,-0.04003076
Market,2,0.11218107
Market,2,-0.01048677
Market,2,-0.00292692
Market,2,-0.02594767
Market,2,0.04203313
Market,2,0.07470338
Market,2,-0.01328755
Market,2,-0.00727870
Market,2,-0.02188244
Market,2,0.06098070
Market,2,-0.03402094
Market,2,0.03384320
Market,2,-0.01883662
Market,2,0.01318493
Market,2,-0.06914658
Market,2,-0.03102916
Market,2,-0.00415466
Market,2,0.02338534
Market,2,-0.02485992
Market,2,0.02949915
Market,2,0.03920352
Market,2,0.07275420
Market,2,0.09837109
Market,2,-0.00867925
Market,2,0.01177660
Market,2,0.08285773
Market,2,-0.01693002
Market,2,0.08396239
Market,2,0.03981747
Market,2,-0.06115329
Market,2,0.08112110
Market,2,-0.00760431
Market,2,0.05507249
Market,2,0.01788103
Market,2,0.08054705
Market,2,0.01930223
Market,2,0.07520856
Market,2,0.00601491
Market,2,0.02777901
Market,2,0.05166982
Market,2,0.02464498
Market,2,-0.01265081
Market,2,0.02275981
Market,2,-0.01885656
Market,2,0.00150999
Market,2,0.03179665
Market,2,-0.00604696
Market,2,-0.01429852
Market,2,0.02018110
Market,2,-0.02333530
Market,2,-0.01177044
Market,2,0.00675054
Market,2,-0.01187116
Market,2,-0.00608077
Market,2,0.03138917
Market,2,-0.01803529
Market,2,0.05100996
Market,2,-0.02081501
Market,2,0.07204440
Market,2,0.02688060
Market,2,0.02535146
Market,2,-0.01030139
Market,2,-0.03361732
Market,2,0.02945666
Market,2,0.09418421
Market,2,0.02164463
Market,2,0.09260815
Market,2,-0.00635080
Market,2,-0.01851833
Market,2,0.00482852
Market,2,-0.02390686
Market,2,0.00095852
Market,2,0.01779862
Market,2,-0.01507146
Market,2,0.01823306
Market,2,0.01706908
Market,2,-0.02181647
Market,2,0.08241385
Market,2,-0.08115486
Market,2,-0.01520725
Market,2,-0.00544416
