model,window,alpha
IPCA(1),1,0.07173217
IPCA(1),1,0.14926191
IPCA(1),1,0.12456676
IPCA(1),1,0.10138563
IPCA(1),1,-0.00817440
IPCA(1),1,0.12475096
IPCA(1),1,0.13794943
IPCA(1),1,0.08277042
IPCA(1),1,0.17634189
IPCA(1),1,0.07442398
IPCA(1),1,0.11602245
IPCA(1),1,0.11420976
IPCA(1),1,0.08911550
IPCA(1),1,0.03380804
IPCA(1),1,0.11576184
IPCA(1),1,0.17297437
IPCA(1),1,0.02599712
IPCA(1),1,0.02393804
IPCA(1),1,0.12017627
IPCA(1),1,0.13127670
IPCA(1),1,0.00015804
IPCA(1),1,0.05085920
IPCA(1),1,0.03966104
IPCA(1),1,0.16746977
IPCA(1),1,0.16346771
IPCA(1),1,0.13185751
IPCA(1),1,0.15266657
IPCA(1),1,0.02408087
IPCA(1),1,0.25903460
IPCA(1),1,0.05614972
IPCA(1),1,0.15032448
IPCA(1),1,0.16483945
IPCA(1),1,-0.01371857
IPCA(1),1,0.17984281
IPCA(1),1,0.06598511
IPCA(1),1,0.19381669
IPCA(1),1,0.10933245
IPCA(1),1,0.08568689
IPCA(1),1,0.14007715
IPCA(1),1,0.03426446
IPCA(1),1,0.04438906
IPCA(1),1,0.00697572
IPCA(1),1,0.05639107
IPCA(1),1,0.24889671
IPCA(1),1,0.12745517
IPCA(1),1,0.00089679
IPCA(1),1,0.03588125
IPCA(1),1,0.11210895
IPCA(1),1,0.05139986
IPCA(1),1,0.11829176
IPCA(1),1,-0.02894865
IPCA(1),1,0.21204804
IPCA(1),1,-0.02049559
IPCA(1),1,0.11625766
IPCA(1),1,0.23815598
IPCA(1),1,0.16957771
IPCA(1),1,0.05895028
IPCA(1),1,0.23191610
IPCA(1),1,0.00674878
IPCA(1),1,0.09354728
IPCA(1),1,0.05874965
IPCA(1),1,0.12076536
IPCA(1),1,0.04044864
IPCA(1),1,0.02880029
IPCA(1),1,0.11027416
IPCA(1),1,0.15831405
IPCA(1),1,0.12708292
IPCA(1),1,0.13928272
IPCA(1),1,0.07256606
IPCA(1),1,0.20056280
IPCA(1),1,0.04469872
IPCA(1),1,0.19759741
IPCA(1),1,0.10621892
IPCA(1),1,0.11613832
IPCA(1),1,0.12702467
IPCA(1),1,0.12695635
IPCA(1),1,0.19305058
IPCA(1),1,0.10975012
IPCA(1),1,0.11152060
IPCA(1),1,-0.00541324
IPCA(1),1,0.06728429
IPCA(1),1,0.01307143
IPCA(1),1,0.07486295
IPCA(1),1,0.03792841
IPCA(1),1,0.09194226
IPCA(1),1,0.01604776
IPCA(1),1,0.27958294
IPCA(1),1,0.00959874
IPCA(1),1,0.02461446
IPCA(1),1,0.05845093
IPCA(1),1,0.07390132
IPCA(1),1,0.15937895
IPCA(1),1,0.19048649
IPCA(1),1,0.09109362
IPCA(1),1,0.03164239
IPCA(1),1,0.09391430
IPCA(1),1,0.02053875
IPCA(1),1,0.02729061
IPCA(1),1,0.02653110
IPCA(1),1,0.06315469
IPCA(1),1,-0.02334745
IPCA(1),1,0.09972093
IPCA(1),1,0.15931100
IPCA(1),1,0.15322782
IPCA(1),1,0.04940160
IPCA(1),1,0.04584909
IPCA(1),1,0.09959993
IPCA(1),1,0.26086178
IPCA(1),1,0.15583290
IPCA(1),1,0.07191857
IPCA(1),1,0.26052158
IPCA(1),1,0.19840853
IPCA(1),1,0.11324083
IPCA(1),1,0.10371610
IPCA(1),1,-0.00469931
IPCA(1),1,0.06738882
IPCA(1),1,0.02631489
IPCA(1),1,0.19817615
IPCA(1),1,0.04629068
IPCA(1),1,0.01420641
IPCA(1),1,0.08441563
IPCA(1),1,0.20251288
IPCA(1),1,0.10884844
IPCA(1),1,0.04403458
IPCA(1),1,0.01204489
IPCA(1),1,0.01515358
IPCA(1),1,0.10970096
IPCA(1),1,0.06103506
IPCA(1),1,0.13729842
IPCA(1),1,-0.01322720
IPCA(1),1,0.22788963
IPCA(1),1,0.08939910
IPCA(1),1,0.09115789
IPCA(1),1,0.03202364
IPCA(1),1,0.12899235
IPCA(1),1,0.06183734
IPCA(1),1,0.09371666
IPCA(1),1,-0.12095593
IPCA(1),1,0.01913247
IPCA(1),1,0.10668414
IPCA(1),1,0.15007700
IPCA(1),1,0.03308939
IPCA(1),1,0.03117272
IPCA(1),1,0.15580387
IPCA(1),1,0.19390565
IPCA(1),1,0.19911511
IPCA(1),1,0.04407099
IPCA(1),1,-0.03605291
IPCA(1),1,0.06533395
IPCA(1),1,0.01013689
IPCA(1),1,0.16370477
IPCA(1),1,0.12983082
IPCA(1),1,-0.00548768
IPCA(1),1,0.02665816
IPCA(1),1,0.05965120
IPCA(1),1,0.05308746
IPCA(1),1,0.14589372
IPCA(1),1,0.00347840
IPCA(1),1,0.20967110
IPCA(1),1,0.02117935
IPCA(1),1,0.20877666
IPCA(1),1,-0.03271074
IPCA(1),1,0.10212860
IPCA(1),1,0.22490983
IPCA(1),1,0.23044904
IPCA(1),1,0.21578834
IPCA(1),1,0.18374426
IPCA(1),1,0.08480363
IPCA(1),1,0.07774757
IPCA(1),1,0.13803871
IPCA(1),1,0.01105697
IPCA(1),1,-0.04396291
IPCA(1),1,0.04157574
IPCA(1),1,0.10905038
IPCA(1),1,0.12989356
IPCA(1),1,0.09362910
IPCA(1),1,0.11835171
IPCA(1),1,0.02773731
IPCA(1),1,0.09367977
IPCA(1),1,0.08443709
IPCA(1),1,0.04564433
IPCA(1),1,0.10411582
