model,oos_return
IPCA(1),-0.33456330
IPCA(1),-0.92347681
IPCA(1),-0.02849338
IPCA(1),0.08768610
IPCA(1),0.38034267
IPCA(1),0.67706489
IPCA(1),-0.64988196
IPCA(1),-0.14914552
IPCA(1),-0.07709777
IPCA(1),-0.50377298
IPCA(1),-0.28162889
IPCA(1),0.00320481
IPCA(1),-0.00054210
IPCA(1),-0.00099644
IPCA(1),-0.00403183
IPCA(1),-0.00193265
IPCA(1),0.00047740
IPCA(1),0.00270209
IPCA(1),0.00125663
IPCA(1),-0.00313488
IPCA(1),-0.00232344
IPCA(1),-0.00044467
IPCA(1),-0.00008474
IPCA(1),0.00463053
IPCA(1),0.00041461
IPCA(1),0.00161698
IPCA(1),0.00058575
IPCA(1),-0.00022220
IPCA(1),0.00162610
IPCA(1),0.00075169
IPCA(1),0.00109566
IPCA(1),0.00163101
IPCA(1),0.00057216
IPCA(1),0.00108640
IPCA(1),-0.00108107
IPCA(1),0.00181695
IPCA(1),0.05577549
IPCA(1),-0.00824391
IPCA(1),0.08403706
IPCA(1),0.04287126
IPCA(1),0.04209489
IPCA(1),-0.00814136
IPCA(1),0.01674501
IPCA(1),-0.00988007
IPCA(1),0.05000819
IPCA(1),-0.09715932
IPCA(1),0.11858018
IPCA(1),-0.03053145
IPCA(1),-0.13070673
IPCA(1),-0.21710936
IPCA(1),0.01383477
IPCA(1),0.07790333
IPCA(1),0.01435441
IPCA(1),-0.00089940
IPCA(1),-0.06567362
IPCA(1),-0.07243911
IPCA(1),0.01193633
IPCA(1),0.03468363
IPCA(1),-0.06543094
IPCA(1),0.06335442
IPCA(1),0.03067888
IPCA(1),0.11464930
IPCA(1),0.15561693
IPCA(1),-0.02223107
IPCA(1),-0.03861396
IPCA(1),-0.00044851
IPCA(1),-0.06511001
IPCA(1),0.11634660
IPCA(1),0.08348984
IPCA(1),0.09373221
IPCA(1),0.03123494
IPCA(1),0.07228514
IPCA(3),-0.20595355
IPCA(3),-0.52551845
IPCA(3),-0.17593750
IPCA(3),-0.10938099
IPCA(3),0.41350796
IPCA(3),0.62044193
IPCA(3),-0.40150577
IPCA(3),0.18984447
IPCA(3),-0.06274628
IPCA(3),-0.21425329
IPCA(3),-0.09649661
IPCA(3),-0.04500911
IPCA(3),0.00058249
IPCA(3),0.02339931
IPCA(3),0.13052852
IPCA(3),0.00036898
IPCA(3),0.12789715
IPCA(3),-0.04528265
IPCA(3),0.03171051
IPCA(3),0.13480002
IPCA(3),0.14542767
IPCA(3),0.00355131
IPCA(3),-0.05535052
IPCA(3),-0.06470951
IPCA(3),-0.27335334
IPCA(3),-0.02103276
IPCA(3),0.25518648
IPCA(3),-0.02659551
IPCA(3),0.16052306
IPCA(3),0.06155394
IPCA(3),0.13701724
IPCA(3),0.43482987
IPCA(3),-0.02509484
IPCA(3),0.22709095
IPCA(3),-0.24994151
IPCA(3),0.15452562
IPCA(3),0.19975182
IPCA(3),0.13792960
IPCA(3),-0.01427188
IPCA(3),-0.08732092
IPCA(3),-0.02074249
IPCA(3),0.49020828
IPCA(3),0.11778396
IPCA(3),-0.01980548
IPCA(3),-0.07414983
IPCA(3),0.43716009
IPCA(3),-0.06534105
IPCA(3),0.25136820
IPCA(3),0.40337098
IPCA(3),-0.53780559
IPCA(3),0.29321882
IPCA(3),0.10784940
IPCA(3),0.16499589
IPCA(3),0.14532580
IPCA(3),0.02854048
IPCA(3),-0.17894761
IPCA(3),0.05507802
IPCA(3),-0.31432075
IPCA(3),-0.13478806
IPCA(3),0.35987418
IPCA(3),0.39646246
IPCA(3),-0.48466406
IPCA(3),-0.87563751
IPCA(3),-0.01118913
IPCA(3),0.10057665
IPCA(3),-0.09673978
IPCA(3),0.19686301
IPCA(3),-0.34741771
IPCA(3),-0.32639278
IPCA(3),-0.28966119
IPCA(3),-0.33706365
IPCA(3),-0.00313086
IPCA(5),-0.39777278
IPCA(5),-1.30000339
IPCA(5),0.16501153
IPCA(5),-0.02065031
IPCA(5),0.50702575
IPCA(5),0.85931022
IPCA(5),-0.83648615
IPCA(5),-0.20794298
IPCA(5),-0.30274773
IPCA(5),-0.52692666
IPCA(5),-0.37579260
IPCA(5),0.06526780
IPCA(5),-0.52099512
IPCA(5),0.00046727
IPCA(5),0.23621054
IPCA(5),0.60527166
IPCA(5),0.02211143
IPCA(5),-0.15186359
IPCA(5),-0.05572439
IPCA(5),0.37979291
IPCA(5),0.36373672
IPCA(5),0.19531072
IPCA(5),-0.22265612
IPCA(5),-0.24624655
IPCA(5),-0.24900430
IPCA(5),-0.17998601
IPCA(5),0.13452491
IPCA(5),-0.11331399
IPCA(5),-0.59554414
IPCA(5),-0.01893912
IPCA(5),0.19344752
IPCA(5),0.20839852
IPCA(5),0.10287636
IPCA(5),-0.18312223
IPCA(5),-0.41534927
IPCA(5),-0.27891980
IPCA(5),0.02759077
IPCA(5),0.27831369
IPCA(5),0.94193650
IPCA(5),-0.11571056
IPCA(5),-0.37721295
IPCA(5),-0.16933157
IPCA(5),-0.38832263
IPCA(5),0.14098842
IPCA(5),0.69753250
IPCA(5),-0.76474794
IPCA(5),1.35227276
IPCA(5),-0.13933110
IPCA(5),-0.18979134
IPCA(5),-1.99198255
IPCA(5),-0.32095350
IPCA(5),0.59079783
IPCA(5),0.26644358
IPCA(5),-0.43105995
IPCA(5),0.40989636
IPCA(5),-0.40137834
IPCA(5),0.67320225
IPCA(5),0.35945820
IPCA(5),0.32354706
IPCA(5),0.22230722
IPCA(5),0.43223793
IPCA(5),-0.28138406
IPCA(5),-1.42216553
IPCA(5),0.30827967
IPCA(5),0.76671946
IPCA(5),-0.27717318
IPCA(5),-0.17168657
IPCA(5),-0.05695179
IPCA(5),-0.88213708
IPCA(5),-0.38315654
IPCA(5),-0.23793298
IPCA(5),-0.14726500
