model,oos_return
e2lag,-0.068954
e2lag,-0.195666
e2lag,0.003969
e2lag,-0.029017
e2lag,0.093304
e2lag,0.175074
e2lag,-0.141606
e2lag,-0.039278
e2lag,-0.016827
e2lag,-0.139826
e2lag,-0.068057
e2lag,-0.006984
e2lag,-0.009059
e2lag,0.034328
e2lag,0.018235
e2lag,-0.007849
e2lag,0.004834
e2lag,-0.022739
e2lag,-0.029598
e2lag,0.049394
e2lag,0.031214
e2lag,-0.006731
e2lag,0.015814
e2lag,-0.030509
e2lag,-0.003363
e2lag,0.022634
e2lag,0.023702
e2lag,-0.009469
e2lag,0.034031
e2lag,0.033374
e2lag,0.011610
e2lag,0.054396
e2lag,0.029188
e2lag,0.025525
e2lag,-0.032362
e2lag,0.062784
e2lag,-0.046537
e2lag,0.005006
e2lag,-0.061194
e2lag,-0.028537
e2lag,-0.022820
e2lag,-0.001074
e2lag,-0.004785
e2lag,-0.010326
e2lag,-0.048134
e2lag,0.075043
e2lag,-0.091082
e2lag,0.022155
e2lag,-0.044878
e2lag,-0.114954
e2lag,-0.009066
e2lag,0.042114
e2lag,0.014732
e2lag,0.007378
e2lag,-0.004044
e2lag,-0.038263
e2lag,0.006759
e2lag,-0.009351
e2lag,-0.036024
e2lag,0.058217
e2lag,0.025746
e2lag,0.122391
e2lag,0.099281
e2lag,-0.027013
e2lag,-0.026923
e2lag,0.001233
e2lag,-0.055600
e2lag,0.134172
e2lag,0.107352
e2lag,0.071549
e2lag,0.030252
e2lag,0.072495
