window,alpha
0,0.03379877
0,0.07448695
0,0.06612172
0,0.03375302
0,-0.01769416
0,0.11708328
0,0.05659791
0,0.07754619
0,0.03718583
0,0.05753190
0,0.06907679
0,-0.00096136
0,0.02063364
0,0.01400255
0,0.07010000
0,0.00637507
0,0.01183072
0,0.06182393
0,0.06827412
0,0.00021357
0,0.11223307
0,0.06009759
0,0.07167649
0,0.11298393
0,0.02521062
0,0.08635309
0,0.02098985
0,0.07265864
0,0.00998771
0,0.00105814
0,-0.00228076
0,0.03482198
0,0.03940686
0,-0.00714527
0,0.00048180
0,0.05245547
0,0.03714462
0,0.06040429
0,-0.00295737
0,0.12461411
0,0.05078696
0,0.07003380
0,0.10947546
0,-0.01921588
0,0.02528840
0,0.01894295
0,0.04312629
0,0.04892823
0,0.06092015
0,0.05309479
0,0.06671223
0,-0.00676463
0,0.00627107
0,0.10933130
0,0.03101575
0,0.02882940
0,0.01908270
0,0.07771816
0,0.05216203
0,-0.01704419
0,0.06133820
0,0.01134436
0,0.04892446
0,0.03981468
0,-0.00776290
0,0.00166517
0,0.02804489
0,0.06786171
0,0.10903312
0,0.01389433
0,0.00551249
0,0.03534950
0,0.00478437
0,0.00434239
0,-0.01797952
0,0.04213938
0,0.06776632
0,0.08111200
0,0.03343820
0,-0.00894493
0,0.05371755
0,0.12440267
0,0.02428480
0,0.11940169
0,0.08152619
0,0.05768560
0,-0.01112931
0,0.01005392
0,0.00105546
0,0.10436968
0,0.01217902
0,-0.00710698
0,-0.03493040
0,0.05401440
0,-0.01149115
0,-0.00518718
0,0.00729458
0,0.05580689
0,-0.00362648
0,0.12597997
0,0.03213476
0,0.04071147
0,0.01848810
0,0.03585612
0,0.03015338
0,0.06710936
0,0.02553970
0,0.11461081
0,0.03134590
0,0.08165021
0,0.07744309
0,0.04642992
0,-0.01882634
0,0.00757544
0,0.01067852
0,0.04978669
0,-0.00667086
0,0.12119392
0,-0.01531224
0,0.07918363
0,0.04896868
0,0.09082127
0,0.13689874
0,0.08459404
0,0.06317654
0,0.05072679
0,-0.01226442
0,-0.02891295
0,0.00930375
0,0.05283190
0,0.06974610
0,0.03533983
0,0.03765582
0,0.02925006
0,0.05012003
0,0.03078287
0,0.07851972
0,-0.01735462
0,-0.00101726
0,-0.01509094
0,0.01750356
0,0.06483380
0,-0.02128685
0,-0.01915819
0,0.01757002
0,0.05000791
0,-0.01911037
0,0.01173171
0,0.02866960
0,0.02343830
0,0.03122517
0,-0.00566553
0,0.04545281
0,0.04870452
0,0.00812727
0,-0.01118292
0,0.02732605
0,0.08012179
0,0.03626361
0,-0.03203240
0,0.02609839
0,0.06031631
0,-0.04525889
0,0.03872968
0,0.01586441
0,0.11582699
0,0.04240027
0,0.05012645
0,-0.05539331
0,0.00722649
0,-0.02486095
0,-0.02740223
0,-0.00985067
0,0.03474665
0,0.05449143
0,0.00194100
0,0.03111283
0,0.02045435
0,-0.03179834
0,0.03199158
0,0.04960785
0,0.05160559
0,-0.01444693
0,0.00475590
0,0.10259939
0,0.10591042
0,-0.02076272
0,-0.04044520
0,0.04523414
0,-0.03029624
0,-0.00048040
0,0.00326621
0,0.01120280
0,0.04866582
0,0.08460630
0,0.05849773
0,0.00609718
0,-0.00550876
0,0.05788577
0,-0.02350657
0,0.07294320
0,-0.01164252
0,-0.01910641
0,0.01327928
0,0.03280881
0,0.02787639
0,0.00545838
0,-0.01804738
0,0.00452011
0,0.09118358
