char,mean_w,std_w,t_stat,mean_abs_w,n_months
size,-1.13138,2.47793,-3.874,1.15571,72
st_rev,0.27962,0.73070,3.247,0.29849,72
turnover,-0.24136,0.58970,-3.473,0.27554,72
vol,0.59603,1.31140,3.857,0.62670,72
bm,-0.15168,0.70955,-1.814,0.40832,72
mom,-0.49940,1.12602,-3.763,0.51856,72
roe,-0.98006,2.49410,-3.334,1.20943,72
ag,-0.49279,1.37401,-3.043,0.69159,72
ac,-0.44645,1.22561,-3.091,0.61441,72
noa,0.23598,0.99601,2.010,0.50062,72
gp,-0.94253,2.39802,-3.335,1.15083,72
cei,-0.60315,1.67186,-3.061,0.85152,72
ita,-0.55797,1.62722,-2.910,0.83224,72
dist,0.00142,0.65872,0.018,0.33541,72
oscore,0.34759,1.00265,2.942,0.52199,72
cbop,0.22648,0.92696,2.073,0.41380,72
dy,0.13581,0.55668,2.070,0.27964,72
