char,mean_w,std_w,t_stat,mean_abs_w,n_months
size,-0.03857,0.27043,-1.210,0.16656,72
st_rev,0.01200,0.09340,1.090,0.05388,72
turnover,-0.02495,0.11298,-1.874,0.07397,72
vol,0.04962,0.35002,1.203,0.20411,72
bm,-0.00495,0.19685,-0.213,0.10594,72
mom,0.01222,0.18137,0.572,0.11306,72
roe,0.03743,0.14638,2.169,0.08973,72
ag,-0.15660,0.48183,-2.758,0.24485,72
ac,-0.15563,0.51202,-2.579,0.25185,72
noa,-0.16240,0.45067,-3.058,0.22279,72
nsi,-6.72146,60.41466,-0.944,7.59512,72
gp,-0.08427,0.37621,-1.901,0.20990,72
cei,-0.02931,0.25715,-0.967,0.14067,72
ita,-0.02183,0.24154,-0.767,0.13003,72
dist,0.12836,0.22132,4.921,0.13539,72
oscore,0.12185,0.63895,1.618,0.32544,72
investment,-0.15660,0.48183,-2.758,0.24485,72
cbop,-1.81546,4.33704,-3.552,1.86004,72
dy,0.00000,0.00000,nan,0.00000,72
