char,mean_w,naive_t,boot_t,boot_ci_lo,boot_ci_hi,signif_boot
size,-1.44397,-3.733,-1.658,-3.41735,0.00775,0
st_rev,0.31226,3.595,1.886,0.03510,0.68576,0
turnover,-0.13970,-2.907,-1.471,-0.36530,0.00141,0
vol,0.81879,3.873,1.713,0.03876,1.91441,0
bm,-0.37302,-3.047,-1.383,-1.00334,0.03587,0
mom,-0.50862,-3.830,-1.678,-1.22226,-0.01759,0
roe,-1.34037,-3.576,-1.606,-3.25268,0.02491,0
ag,-0.29128,-2.755,-1.262,-0.83300,0.06032,0
ac,-0.25461,-2.770,-1.270,-0.72426,0.05008,0
noa,0.30469,2.378,1.353,-0.04015,0.83133,0
nsi,-0.23691,-3.626,-1.698,-0.55566,-0.01635,0
gp,-1.29566,-3.545,-1.575,-3.17786,0.03981,0
cei,-0.52409,-3.165,-1.410,-1.40346,0.03303,0
ita,-0.53809,-2.995,-1.433,-1.40664,0.04397,0
dist,-0.21730,-2.084,-1.149,-0.65472,0.07989,0
oscore,0.37177,2.289,1.415,-0.05502,0.95119,0
cbop,0.08797,0.646,0.595,-0.22128,0.35945,0
dy,0.07819,1.484,1.111,-0.06973,0.20726,0
