char,mean_w,naive_t,boot_t,boot_ci_lo,boot_ci_hi,signif_boot
mom,-0.02351,-0.903,-0.412,-0.15231,0.06978,0
ag,0.01672,0.751,0.471,-0.04173,0.09506,0
ac,-0.07209,-2.235,-1.423,-0.16572,0.02866,0
noa,-0.18911,-4.068,-1.990,-0.36988,-0.01264,0
nsi,-17.94887,-1.421,-1.115,-53.92158,0.04220,0
gp,-0.02641,-0.831,-0.382,-0.14973,0.12133,0
cei,0.00497,0.214,0.197,-0.03238,0.06515,0
ita,0.00010,0.003,0.002,-0.08664,0.08595,0
dist,0.07743,2.786,1.505,-0.02106,0.17786,0
oscore,0.03136,0.517,0.262,-0.21126,0.25817,0
