month,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,gp,cei,ita,dist,oscore,cbop,dy
2019-10,-0.02923,0.05534,0.00323,0.02606,0.08865,0.01358,-0.01990,0.00688,0.03553,-0.08422,0.08507,0.07941,0.06599,0.09855,0.10331,-0.03389,0.08853
2019-11,-0.02804,0.03396,0.01161,0.02862,0.07977,0.00307,-0.02282,0.02659,0.00928,-0.09377,-0.00635,0.05383,0.07082,0.08351,0.07864,0.00601,0.03310
2019-12,-0.03118,0.03899,0.00793,0.01973,0.08380,-0.00108,-0.02566,0.02919,0.00570,-0.10129,-0.00599,0.05500,0.07448,0.08901,0.08695,0.00680,0.02956
2020-01,-0.03420,0.02296,0.01098,0.04182,0.08302,-0.00737,-0.03151,0.02827,0.00651,-0.09551,-0.01021,0.05639,0.07362,0.08701,0.08279,0.00865,0.03263
2020-02,-0.02393,0.02631,0.00405,0.01185,0.07518,0.00817,-0.02157,0.02866,0.00740,-0.09195,0.00003,0.04899,0.06640,0.08061,0.06204,0.00986,0.02612
2020-03,-0.03704,0.05945,0.00150,0.01797,0.08930,0.00611,-0.02625,0.03008,-0.00035,-0.09960,-0.01020,0.05852,0.07898,0.09592,0.09801,0.00836,0.02721
2020-04,-0.03269,0.04029,-0.00083,0.00587,0.08508,0.01127,-0.02118,0.02640,0.00575,-0.10128,-0.00272,0.05825,0.07586,0.09080,0.09348,0.00701,0.02879
2020-05,-0.03661,0.02457,0.01340,-0.00316,0.10025,0.01375,-0.01900,0.03388,0.01454,-0.09737,0.00048,0.06887,0.08936,0.10513,0.09638,0.00629,0.02974
2020-06,-0.02873,0.03047,0.02451,0.03173,0.09970,-0.00263,-0.02323,0.03863,0.01984,-0.10116,-0.00625,0.07795,0.08953,0.10523,0.10185,-0.00231,0.03151
2020-07,-0.03547,0.05167,0.03925,0.02287,0.10443,0.00641,-0.02432,0.03855,0.06629,-0.10308,-0.00403,0.09128,0.09371,0.10810,0.09538,0.00129,0.02861
2020-08,-0.03094,0.04353,-0.00099,0.00725,0.09177,0.01128,-0.01621,0.03638,0.00605,-0.10425,-0.00035,0.06056,0.08152,0.09696,0.09410,0.00755,0.02709
2020-09,-0.03173,0.03608,0.01349,0.01611,0.08318,-0.00100,-0.02340,0.02471,0.00190,-0.10215,-0.00861,0.05540,0.07357,0.08987,0.09577,0.00584,0.03250
2020-10,0.00249,-0.00510,-0.01507,-0.01781,0.02482,0.01537,0.01651,0.01984,0.02459,-0.02331,0.00315,0.02092,0.02218,0.02510,0.01966,-0.03654,-0.02654
2020-11,0.00255,-0.00590,-0.00593,-0.02171,0.01000,0.01284,0.04277,0.01022,0.03550,-0.01518,-0.00063,0.01717,-0.01618,0.01571,0.03651,-0.02574,0.00604
2020-12,0.00451,-0.00508,-0.00170,-0.01949,0.00950,0.01166,0.04121,0.00832,0.03535,-0.01613,-0.00105,0.01693,-0.01360,0.01540,0.03748,-0.02286,0.00917
2021-01,0.00528,-0.00319,-0.01005,-0.01800,0.00812,0.01617,0.04006,0.00977,0.03388,-0.01454,-0.00022,0.01630,-0.01419,0.01300,0.03606,-0.02901,0.00195
2021-02,0.00324,-0.00332,-0.01563,-0.01625,0.00824,0.01793,0.03660,0.00753,0.03557,-0.01684,-0.00161,0.01573,-0.01183,0.01755,0.03717,-0.02347,0.00717
2021-03,0.00730,-0.00042,-0.01045,-0.01927,0.00723,0.01504,0.03912,0.01070,0.03720,-0.02052,0.00160,0.01727,-0.01153,0.01463,0.03704,-0.02257,0.01247
2021-04,0.00508,0.00339,-0.00840,-0.01674,0.01223,0.01549,0.03708,0.01039,0.03435,-0.01440,-0.00188,0.01586,-0.01266,0.01788,0.03468,-0.02773,0.00242
2021-05,0.00626,-0.00139,-0.01083,-0.01860,0.00867,0.01586,0.03861,0.00970,0.03571,-0.02066,-0.00264,0.01720,-0.01132,0.01808,0.03877,-0.02566,0.00845
2021-06,0.00587,0.00724,-0.00706,-0.01337,0.00747,0.01640,0.03992,0.01091,0.03649,-0.01605,0.00002,0.01701,-0.01016,0.01697,0.03708,-0.02479,0.01163
2021-07,0.00588,-0.00683,-0.00918,-0.01238,0.00799,0.01527,0.03723,0.01186,0.03388,-0.01313,-0.00167,0.01717,-0.00980,0.01809,0.03255,-0.02912,-0.00025
2021-08,0.00630,0.00232,-0.01267,-0.01378,0.00190,0.01643,0.03531,0.01050,0.03430,-0.01639,-0.00099,0.01556,-0.01043,0.01565,0.03579,-0.02349,0.00717
2021-09,0.00890,0.00902,-0.01865,-0.01292,0.00232,0.01619,0.03920,0.01112,0.03436,-0.01542,0.00184,0.01526,-0.00904,0.01284,0.03282,-0.02430,0.01344
2021-10,0.05375,-0.07426,-0.06872,-0.09592,-0.02544,0.05066,0.05926,0.04387,-0.01837,-0.02059,0.02917,-0.01525,0.01658,-0.03676,-0.02486,-0.06392,-0.04313
2021-11,0.06130,-0.02922,-0.01832,-0.05043,-0.01574,0.01199,0.04407,-0.02452,-0.02165,0.01518,0.02389,-0.08024,-0.06614,-0.06360,-0.05899,-0.02069,-0.11395
2021-12,0.05405,-0.00377,-0.01086,-0.04774,-0.02544,0.01021,0.04199,-0.01973,-0.01409,0.01728,0.02359,-0.05165,-0.05995,-0.04999,-0.05138,-0.02158,-0.11435
2022-01,0.05584,-0.01941,-0.02360,-0.05979,-0.02356,-0.00473,0.04742,-0.01928,-0.01430,0.01485,0.02887,-0.05148,-0.06181,-0.05368,-0.05843,-0.01930,-0.11806
2022-02,0.05916,-0.03065,-0.02643,-0.06147,-0.02095,0.01290,0.03938,-0.02138,-0.01581,0.02119,0.01851,-0.05082,-0.06001,-0.05458,-0.06130,-0.02308,-0.11669
2022-03,0.06774,-0.07000,-0.03577,-0.08485,-0.03150,0.01627,0.04180,-0.01993,-0.01711,0.02237,0.02516,-0.05241,-0.06096,-0.05781,-0.05953,-0.02356,-0.12246
2022-04,0.05879,-0.03100,-0.01769,-0.06958,-0.04169,0.01998,0.05096,-0.02326,-0.01815,0.01581,0.02183,-0.05677,-0.06379,-0.05705,-0.05659,-0.02213,-0.11905
2022-05,0.05922,-0.01110,-0.02867,-0.07196,-0.04445,0.01003,0.04249,-0.02386,-0.01924,0.01583,0.01878,-0.06283,-0.06471,-0.05574,-0.05386,-0.01825,-0.12220
2022-06,0.05987,-0.04372,-0.03173,-0.07706,-0.04642,0.00852,0.03431,-0.02609,-0.02083,0.01551,0.01896,-0.06676,-0.06621,-0.05649,-0.06004,-0.01388,-0.12218
2022-07,0.06290,-0.04380,-0.02082,-0.07720,-0.04281,0.01049,0.04317,-0.02341,-0.01956,0.01687,0.01889,-0.05604,-0.06414,-0.05276,-0.06241,-0.01998,-0.12113
2022-08,0.05871,-0.05340,-0.03228,-0.07497,-0.05121,0.02145,0.04509,-0.02915,-0.02071,0.01311,0.01164,-0.07576,-0.06988,-0.05783,-0.05454,-0.02085,-0.12568
2022-09,0.06701,-0.06470,-0.02644,-0.07875,-0.03909,0.01809,0.04332,-0.02547,-0.01761,0.01362,0.01985,-0.06490,-0.06292,-0.05654,-0.06630,-0.01732,-0.11694
2022-10,0.01047,0.00067,0.02630,-0.00986,0.03204,0.02176,0.03022,0.04186,0.03186,-0.02470,0.01214,0.03937,0.02671,0.03091,0.00685,-0.00499,0.04613
2022-11,0.00774,-0.00775,0.02462,-0.00701,0.04987,0.01920,0.01138,0.04299,0.04294,-0.01399,0.00888,0.05033,0.04998,0.04905,0.01394,0.00791,0.05603
2022-12,0.00733,-0.00013,0.02076,-0.00317,0.05064,0.01990,0.01218,0.04461,0.04464,-0.01316,0.00901,0.05160,0.05088,0.04965,0.01332,0.00802,0.05477
2023-01,0.00331,-0.00077,0.01731,-0.00451,0.05186,0.02115,0.00989,0.04489,0.04489,-0.01213,0.00666,0.05223,0.05121,0.04968,0.01204,0.00558,0.05641
