month,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,gp,cei,ita,dist,oscore,cbop,dy
2019-10,0.00458,-0.01324,-0.00316,-0.02192,-0.01686,0.00842,-0.01423,-0.01627,0.00243,0.02816,-0.01577,-0.01022,-0.01964,-0.02440,-0.00911,-0.01162,-0.03031
2019-11,-0.00052,-0.00178,0.00111,-0.00930,-0.00017,0.01490,-0.00274,-0.01407,0.00518,-0.00667,-0.00277,0.01067,0.00080,-0.00082,0.00073,-0.02181,-0.00967
2019-12,0.00055,-0.01052,0.00198,-0.01510,-0.00079,0.01576,-0.00170,-0.01410,0.00491,-0.00678,-0.00296,0.01040,0.00028,-0.00147,0.00063,-0.02358,-0.01045
2020-01,0.00015,-0.01387,0.00214,-0.01677,-0.00081,0.01514,-0.00249,-0.01405,0.00458,-0.00640,-0.00321,0.00976,0.00015,-0.00132,0.00032,-0.02145,-0.01028
2020-02,0.00234,0.00012,0.00366,-0.01745,-0.00478,0.01265,0.00010,-0.01404,0.00449,-0.00118,-0.00088,0.00684,-0.00332,-0.00571,-0.00783,-0.02084,-0.01046
2020-03,0.00073,-0.01286,0.00488,-0.01385,-0.00037,0.01409,-0.00100,-0.01417,0.00754,-0.00768,-0.00155,0.01125,0.00029,-0.00018,0.00611,-0.02275,-0.00992
2020-04,0.00193,-0.00120,0.00368,-0.01159,0.00111,0.01234,0.00090,-0.01500,0.00535,-0.00902,0.00007,0.01175,0.00173,0.00127,0.00763,-0.02204,-0.00901
2020-05,0.00470,-0.00243,-0.00310,-0.01095,0.00182,0.01177,0.00123,-0.01369,0.00357,-0.01022,0.00370,0.01180,0.00218,0.00210,0.00927,-0.01910,-0.01293
2020-06,-0.00441,-0.01032,-0.00737,-0.01456,-0.00092,0.01309,-0.00682,-0.01038,-0.00613,-0.00857,-0.00520,0.00505,-0.00063,0.00089,0.00858,-0.01443,-0.01216
2020-07,-0.00263,-0.01966,-0.01016,-0.01534,0.00303,0.01359,0.00190,-0.00451,-0.00325,-0.01198,-0.00227,0.00281,0.00277,0.00434,0.01124,-0.01884,-0.01117
2020-08,0.00061,-0.01467,0.00524,-0.01379,0.00291,0.00981,0.00066,-0.01654,0.00273,-0.01233,0.00042,0.01343,0.00337,0.00308,0.01023,-0.01854,-0.01076
2020-09,-0.00111,-0.00891,-0.00123,-0.01938,0.00204,0.01426,0.00158,-0.01452,0.00382,-0.01191,0.00112,0.01174,0.00263,0.00229,0.01022,-0.02158,-0.01374
