month,size,st_rev,turnover,vol,bm,mom,roe,ag,ac,noa,nsi,gp,cei,ita,dist,oscore,investment,cbop,dy
2019-10,-0.03020,0.03049,-0.00952,0.01342,0.00497,0.00921,-0.01368,0.03440,0.29877,-0.05922,0.00000,-0.01860,0.03256,0.05287,0.01273,0.09154,0.03440,-0.01915,0.00000
2019-11,-0.01680,0.01533,0.01114,0.00956,0.01042,-0.01290,-0.04189,0.02195,-0.00048,-0.00124,0.00000,-0.01028,0.00684,0.01535,0.03324,0.04020,0.02195,0.00217,0.00000
2019-12,-0.02153,0.03491,0.03504,0.02053,0.01979,-0.01906,-0.05013,0.01858,-0.00103,-0.00893,0.00000,-0.01290,0.01478,0.01897,0.03691,0.04278,0.01858,0.00902,0.00000
2020-01,-0.03312,0.04133,0.02545,0.04067,0.03463,-0.02367,-0.06288,0.00640,-0.00385,-0.00362,0.00000,-0.02126,0.01193,0.01815,0.03919,0.03255,0.00640,0.00203,0.00000
2020-02,-0.01648,0.01845,0.01660,0.01068,0.01140,-0.01527,-0.04724,0.02179,0.00217,-0.00345,0.00000,-0.01049,0.01900,0.02205,0.03089,0.04401,0.02179,0.01327,0.00000
2020-03,-0.03532,0.03195,0.05202,0.02593,0.02560,-0.02340,-0.05910,0.01293,0.01216,0.01266,0.00000,-0.01776,0.01189,0.01538,0.02582,0.03296,0.01293,-0.01896,0.00000
2020-04,-0.02728,0.00926,-0.01428,0.00896,0.01722,-0.01100,-0.03589,0.02928,0.01629,0.00312,0.00000,-0.00927,0.02640,0.01773,0.03404,0.03273,0.02928,-0.01069,0.00000
2020-05,-0.02198,0.00582,-0.03062,0.00561,0.01629,-0.01002,-0.03509,0.01467,-0.00172,0.00042,0.00000,-0.00921,0.01850,0.01581,0.02142,0.02421,0.01467,0.00246,0.00000
2020-06,-0.02569,0.03694,0.03509,0.02940,0.02550,-0.01967,-0.04778,0.04342,0.02527,-0.00785,0.00000,-0.01666,0.02881,0.02775,0.03455,0.04011,0.04342,-0.00884,0.00000
2020-07,-0.02350,0.04724,0.02955,0.02240,0.01384,-0.02126,-0.06948,0.01796,-0.00810,-0.00577,0.00000,-0.01789,-0.00053,0.01853,0.03408,0.05218,0.01796,0.01169,0.00000
2020-08,-0.02209,0.01502,0.02702,0.01222,0.01514,-0.00746,-0.04611,0.02422,0.01054,-0.01174,0.00000,-0.01203,0.02679,0.01860,0.02632,0.02542,0.02422,-0.00025,0.00000
2020-09,-0.02822,0.03380,0.07822,0.03792,0.02598,-0.02281,-0.06042,0.00796,-0.00480,-0.00094,0.00000,-0.02451,0.00766,0.01730,0.04530,0.03846,0.00796,0.00288,0.00000
2020-10,0.00364,0.00260,0.01379,-0.00489,0.00935,-0.00272,-0.00210,0.04505,0.04675,-0.00101,0.00000,-0.00063,0.04919,0.02762,-0.00367,-0.00265,0.04505,-0.03283,0.00000
2020-11,0.00253,0.01943,0.03423,-0.01963,-0.00033,0.01258,0.06626,0.05409,0.07524,0.02079,-0.00585,0.00112,0.02543,0.01257,-0.01065,0.02328,0.05409,0.01996,0.00000
2020-12,-0.00320,0.03848,0.02734,-0.01363,-0.00141,0.01813,0.04804,0.05048,0.07039,0.00107,-0.00467,-0.00604,0.02772,0.01247,-0.00827,0.02338,0.05048,0.02391,0.00000
2021-01,0.00087,0.02094,0.01243,-0.01547,0.00146,0.01542,0.05926,0.04231,0.06319,0.00271,-0.00719,-0.00479,0.02551,0.01190,-0.00771,0.02416,0.04231,0.02810,0.00000
