month,mom,ag,ac,noa,gp,cei,ita,dist,oscore
2019-10,0.00605,0.03568,0.03289,-0.00241,0.00699,0.03242,0.02242,0.02677,0.01354
2019-11,0.00569,0.03007,0.00803,0.00959,0.01042,-0.00200,0.00249,0.00353,-0.00370
2019-12,0.00741,0.03010,0.00805,0.00917,0.01063,-0.00188,0.00267,0.00372,-0.00363
2020-01,0.00728,0.03015,0.00731,0.00913,0.01048,-0.00184,0.00280,0.00369,-0.00351
2020-02,0.00703,0.02973,0.00841,0.01472,0.00763,-0.00621,-0.00194,-0.00092,0.00440
2020-03,0.00842,0.03028,0.00514,0.00604,0.01312,0.00166,0.00620,0.00553,-0.00639
2020-04,0.00647,0.02998,0.00585,0.00613,0.01249,0.00151,0.00597,0.00576,-0.00629
2020-05,0.00926,0.03000,0.00768,0.00562,0.01350,0.00211,0.00694,0.00587,-0.00623
2020-06,0.01064,0.03473,0.01352,0.00548,0.01536,0.00533,0.00731,0.00560,-0.00650
2020-07,0.01085,0.03148,0.02179,0.00053,0.01577,0.01136,0.01102,0.01037,-0.00270
2020-08,0.00928,0.03042,0.00515,0.00504,0.01214,0.00151,0.00629,0.00629,-0.00549
2020-09,0.00761,0.02996,0.00576,0.00547,0.01182,0.00142,0.00597,0.00592,-0.00602
2020-10,-0.00042,0.08017,0.02573,-0.11418,0.01180,0.07691,0.10748,0.12472,0.10005
2020-11,-0.00764,0.05112,0.06935,-0.01183,0.01182,0.05324,0.04034,0.02960,0.03047
2020-12,-0.00769,0.05116,0.06963,-0.01438,0.01145,0.05332,0.04112,0.02995,0.03112
2021-01,-0.00775,0.05158,0.06923,-0.01284,0.01109,0.05299,0.03971,0.02913,0.03028
2021-02,-0.00877,0.05101,0.06952,-0.01478,0.01120,0.05265,0.03998,0.02947,0.03082
2021-03,-0.00890,0.05147,0.06939,-0.01721,0.01052,0.05232,0.04254,0.03071,0.03122
2021-04,-0.00802,0.05239,0.06982,-0.01563,0.01023,0.05314,0.04168,0.03003,0.03063
2021-05,-0.00980,0.05165,0.06926,-0.01915,0.01020,0.05216,0.04465,0.03173,0.03157
2021-06,-0.00968,0.05225,0.06941,-0.01791,0.01031,0.05246,0.04429,0.03130,0.03107
2021-07,-0.00903,0.05375,0.06959,-0.01372,0.00959,0.05359,0.04127,0.02942,0.02971
2021-08,-0.00909,0.05290,0.06969,-0.01670,0.00979,0.05295,0.04203,0.03029,0.03068
2021-09,-0.01066,0.05207,0.06913,-0.01725,0.01017,0.05195,0.04147,0.03015,0.03054
2021-10,-3.74630,-6.50472,-8.07512,-1.53453,-5.03970,-3.83765,-2.30643,-2.79160,0.55297
2021-11,-2.05311,-9.62257,-9.62679,-1.71276,-2.81762,-4.61358,-2.82999,-4.83010,4.43976
2021-12,-1.96236,-9.01462,-9.57878,-1.38376,-2.70489,-2.27480,-2.64143,-4.22137,4.21766
2022-01,-1.99266,-9.02236,-9.57484,-1.43513,-2.79790,-2.45511,-2.61989,-4.20142,4.36017
2022-02,-2.01656,-9.03543,-9.57872,-1.45323,-2.81901,-2.46659,-2.62542,-4.18963,4.39251
2022-03,-1.97428,-9.03992,-9.57477,-1.51274,-2.85101,-2.45309,-2.59404,-4.40235,4.39073
2022-04,-2.00190,-9.10630,-9.60882,-1.51643,-2.80583,-2.67069,-2.64886,-4.36650,4.32909
2022-05,-1.97880,-9.16031,-9.63060,-1.56894,-2.82113,-2.95060,-2.68062,-4.47230,4.36192
