month,mom,ag,ac,noa,nsi,gp,cei,ita,dist,oscore
2019-10,-0.00438,0.03118,0.22163,-0.03103,0.00000,0.00720,0.03610,0.03409,0.00192,0.01184
2019-11,-0.00014,0.06108,0.05058,-0.00694,0.00000,0.00626,0.06015,0.02889,0.02175,-0.00426
2019-12,0.00092,0.06083,0.05022,-0.00736,0.00000,0.00515,0.06121,0.02922,0.02450,-0.00196
2020-01,0.00084,0.06176,0.05038,-0.00756,0.00000,0.00467,0.06176,0.02968,0.02530,-0.00193
2020-02,0.00062,0.06109,0.05017,-0.00716,0.00000,0.00412,0.06073,0.02997,0.02740,-0.00209
2020-03,0.00014,0.06139,0.04869,-0.00670,0.00000,0.00367,0.06326,0.02973,0.02217,-0.00190
2020-04,0.00078,0.06268,0.05468,-0.00417,0.00000,0.00621,0.06263,0.02806,0.02186,-0.00525
2020-05,0.00103,0.06507,0.06278,0.00025,0.00000,0.00832,0.06576,0.02711,0.01749,-0.00773
2020-06,0.00108,0.06619,0.06411,-0.00011,0.00000,0.00899,0.06741,0.02733,0.01761,-0.00766
2020-07,0.00033,0.06308,0.06258,-0.00041,0.00000,0.01020,0.06623,0.02814,0.01750,-0.00699
2020-08,0.00005,0.06373,0.06355,-0.00001,0.00000,0.01061,0.06627,0.02790,0.01691,-0.00727
2020-09,-0.00032,0.06338,0.06323,-0.00025,0.00000,0.01123,0.06711,0.02808,0.01624,-0.00732
2020-10,-0.01692,0.01117,0.01422,0.03428,0.00000,0.01113,0.00709,-0.00241,-0.02240,-0.02085
2020-11,-0.02187,0.02933,0.02713,0.06574,-0.06256,0.01798,-0.00610,0.00229,-0.00049,-0.00805
2020-12,-0.02274,0.03061,0.02834,0.06702,-0.06223,0.01769,-0.00594,0.00256,-0.00090,-0.00793
2021-01,-0.02227,0.03149,0.02865,0.06738,-0.06212,0.01793,-0.00518,0.00323,-0.00135,-0.00783
2021-02,-0.02176,0.03250,0.02904,0.06607,-0.06244,0.02044,-0.00364,0.00435,-0.00168,-0.00857
2021-03,-0.02159,0.03267,0.02913,0.06693,-0.06256,0.01584,-0.00473,0.00444,-0.00166,-0.00767
2021-04,-0.02376,0.03330,0.03023,0.07034,-0.06148,0.01676,-0.00516,0.00358,-0.00191,-0.00765
2021-05,-0.02290,0.03230,0.02945,0.06835,-0.06278,0.01176,-0.00662,0.00334,-0.00125,-0.00661
2021-06,-0.02342,0.03379,0.03113,0.07406,-0.06050,0.01582,-0.00550,0.00347,-0.00251,-0.00716
2021-07,-0.02467,0.03472,0.03184,0.07424,-0.06024,0.01923,-0.00429,0.00409,-0.00305,-0.00783
2021-08,-0.02444,0.03585,0.03237,0.07331,-0.06043,0.02095,-0.00298,0.00488,-0.00327,-0.00814
2021-09,-0.02341,0.03630,0.03269,0.07353,-0.06042,0.02093,-0.00252,0.00538,-0.00351,-0.00807
2021-10,-0.14574,-0.15509,-0.38895,0.58011,0.44489,0.10957,-0.27134,-0.36290,-0.21325,-0.60014
2021-11,-0.38211,-0.13104,-0.01372,-0.22881,0.00000,0.23586,0.06038,-1.25397,-0.21139,-0.68732
2021-12,-0.40224,-0.51808,-0.47589,0.01247,0.00000,0.27681,-0.41527,-0.65955,-0.15118,-0.72536
2022-01,-0.39805,-0.51864,-0.47901,0.01433,0.00000,0.27860,-0.42165,-0.66436,-0.15359,-0.72273
2022-02,-0.39928,-0.52494,-0.48116,0.02405,0.00000,0.27762,-0.42388,-0.66624,-0.15292,-0.72304
2022-03,-0.39809,-0.52604,-0.48241,0.02479,0.00000,0.28003,-0.42261,-0.66723,-0.15217,-0.72266
2022-04,-0.39421,-0.54926,-0.49604,0.07989,0.00000,0.26235,-0.47784,-0.66840,-0.11161,-0.72790
2022-05,-0.39632,-0.54418,-0.49146,0.07879,0.00000,0.26371,-0.47418,-0.66778,-0.14030,-0.73179
2022-06,-0.39906,-0.52452,-0.47795,0.05763,-458.37946,0.28032,-0.41913,-0.66655,-0.13892,-0.73586
2022-07,-0.36970,-0.57925,-0.43129,0.31080,0.00000,0.18845,-0.55449,-0.71605,-0.06408,-0.77988
2022-08,-0.36976,-0.58357,-0.52777,0.28583,-373.13485,0.18971,-0.53393,-0.71279,-0.09785,-0.74174
2022-09,-0.36505,-0.58508,-0.53214,0.28264,0.00000,0.17194,-0.55090,-0.70886,-0.05609,-0.74551
2022-10,0.00612,-0.00568,-0.00587,0.01245,0.01815,-0.03892,-0.00507,-0.00058,-0.00828,-0.01962
2022-11,0.01100,-0.02146,-0.02142,-0.04680,-0.01908,-0.04092,-0.03053,-0.02869,-0.02002,-0.03543
2022-12,0.01573,-0.02170,-0.02166,-0.04583,-0.01955,-0.04780,-0.03054,-0.02902,-0.02015,-0.04107
2023-01,0.01422,-0.02099,-0.02095,-0.04659,-0.02019,-0.04761,-0.02967,-0.02849,-0.01951,-0.04056
2023-02,0.01125,-0.02183,-0.02180,-0.04538,-0.02003,-0.04165,-0.03087,-0.02941,-0.02023,-0.03703
2023-03,0.01063,-0.02141,-0.02137,-0.04630,-0.02045,-0.04172,-0.03020,-0.02882,-0.01976,-0.03646
2023-04,0.01046,-0.02135,-0.02132,-0.04560,-0.01977,-0.04101,-0.03070,-0.02875,-0.01947,-0.03541
2023-05,0.00916,-0.02135,-0.02132,-0.04521,-0.02092,-0.03865,-0.03116,-0.02867,-0.01957,-0.03472
2023-06,0.00920,-0.02130,-0.02126,-0.04571,-0.01928,-0.04011,-0.03037,-0.02858,-0.01963,-0.03473
2023-07,0.01056,-0.02183,-0.02179,-0.04625,-0.01966,-0.04198,-0.03080,-0.02912,-0.02010,-0.03593
2023-08,0.01087,-0.02116,-0.02113,-0.04648,-0.01956,-0.04214,-0.03030,-0.02877,-0.01954,-0.03687
2023-09,0.01157,-0.02189,-0.02185,-0.04601,-0.01965,-0.04161,-0.03114,-0.02911,-0.01982,-0.03669
2023-10,0.01602,-0.01602,-0.01603,0.03316,-0.00299,0.01439,-0.02336,-0.02145,-0.01388,0.02474
2023-11,-0.00192,-0.01888,-0.01891,0.00340,-0.00324,-0.00489,-0.02120,-0.02410,-0.01151,0.01910
2023-12,-0.00165,-0.01888,-0.01891,0.00381,-0.00284,-0.00498,-0.02116,-0.02391,-0.01146,0.01978
2024-01,-0.00163,-0.01886,-0.01890,0.00309,-0.00309,-0.00503,-0.02124,-0.02398,-0.01137,0.01965
2024-02,-0.00093,-0.01951,-0.01954,0.00200,-0.00321,-0.00477,-0.02188,-0.02482,-0.01149,0.01989
2024-03,-0.00186,-0.01903,-0.01906,0.00383,-0.00282,-0.00419,-0.02130,-0.02394,-0.01146,0.01941
2024-04,-0.00194,-0.01906,-0.01909,0.00407,-0.00282,-0.00415,-0.02129,-0.02412,-0.01153,0.01928
2024-05,-0.00177,-0.01881,-0.01884,0.00261,-0.00343,-0.00424,-0.02115,-0.02384,-0.01129,0.01875
2024-06,-0.00269,-0.01840,-0.01843,0.00277,-0.00452,-0.00353,-0.02064,-0.02333,-0.01105,0.01674
2024-07,-0.00181,-0.01822,-0.01826,0.00168,-0.00442,-0.00382,-0.02062,-0.02328,-0.01103,0.01783
2024-08,-0.00196,-0.01805,-0.01808,0.00135,-0.00482,-0.00352,-0.02038,-0.02304,-0.01079,0.01708
2024-09,-0.00232,-0.01781,-0.01785,0.00161,-0.00522,-0.00333,-0.02018,-0.02278,-0.01062,0.01670
2024-10,0.75852,1.34411,1.34707,0.26468,-0.19411,-0.06492,1.52342,1.74581,1.37306,-0.57954
2024-11,0.18287,-0.14100,-0.03425,-0.51190,0.16636,-0.45185,-0.24919,-0.32625,0.64095,1.96311
2024-12,0.18860,-0.15336,-0.05152,-0.50488,0.16654,-0.45427,-0.25355,-0.32557,0.64233,1.98049
2025-01,0.19840,-0.17309,-0.07936,-0.50945,0.16649,-0.46008,-0.26223,-0.32369,0.64445,1.97690
2025-02,0.20328,-0.81201,-1.14866,-1.57031,0.11081,-0.80053,-0.45772,-0.40285,0.68792,1.07013
2025-03,0.22276,-0.84041,-1.17463,-1.57345,0.10879,-0.81414,-0.46770,-0.40304,0.69509,1.07760
2025-04,0.22576,-0.84821,-1.18374,-1.57389,0.10944,-0.81506,-0.47088,-0.40146,0.69520,1.07664
2025-05,0.22424,-0.84111,-1.17627,-1.57323,0.11021,-0.81288,-0.46732,-0.40290,0.69427,1.07620
2025-06,0.22323,-0.84281,-1.17681,-1.57438,0.10981,-0.81524,-0.46863,-0.40411,0.69534,1.07844
2025-07,0.22629,-0.86395,-1.20346,-1.57899,0.10965,-0.81905,-0.47665,-0.40341,0.69676,1.07930
2025-08,0.22860,-0.87556,-1.21646,-1.57929,0.10989,-0.82286,-0.48277,-0.40112,0.69789,1.07991
2025-09,0.22876,-0.87580,-1.21683,-1.57906,0.11056,-0.82270,-0.48263,-0.40124,0.69768,1.07967
