window,alpha
0,0.03521454
0,0.07740457
0,0.06833630
0,0.03647657
0,-0.01715152
0,0.11855033
0,0.05897817
0,0.08155195
0,0.04032200
0,0.05863732
0,0.07140020
0,0.00037020
0,0.02196810
0,0.01858214
0,0.07269604
0,0.00822387
0,0.01292131
0,0.06458155
0,0.07156300
0,0.00128001
0,0.11800697
0,0.06379667
0,0.07560643
0,0.11686471
0,0.02683159
0,0.09071382
0,0.02366655
0,0.07540607
0,0.00294020
0,-0.00182655
0,0.03629591
0,0.04301442
0,-0.00669752
0,0.00206233
0,0.03743907
0,0.06289316
0,-0.00407063
0,0.12809150
0,0.05255648
0,0.07499339
0,0.11427713
0,-0.01806358
0,0.02676550
0,0.02009483
0,0.04408467
0,0.05148172
0,0.06522550
0,0.05607707
0,0.06952775
0,-0.00339067
0,0.00873614
0,0.11268944
0,0.03411241
0,0.03254400
0,0.02143968
0,0.07888433
0,0.05467581
0,-0.01658081
0,0.06240056
0,0.01152009
0,0.04973693
0,0.04190199
0,-0.00675917
0,0.00267102
0,0.02927588
0,0.07135025
0,0.11219274
0,0.01659319
0,0.00659981
0,0.03774931
0,0.00581231
0,0.00505151
0,0.04475999
0,0.07169861
0,0.08447852
0,0.03482211
0,-0.00651769
0,0.05558340
0,0.12977420
0,0.02672468
0,0.12504052
0,0.08704028
0,0.05991143
0,-0.01062734
0,0.01175100
0,0.00209513
0,0.10788956
0,0.01354371
0,-0.00638297
0,-0.03304987
0,0.05617176
0,-0.00917276
0,-0.00411705
0,0.00951741
0,0.05909124
0,0.12982666
0,0.03447357
0,0.04311685
0,0.01914002
0,0.03729916
0,0.03327789
0,0.07037123
0,0.02594746
0,0.11838719
0,0.03199247
0,0.08186039
0,0.08068422
0,0.05001035
0,-0.01694408
0,0.00869638
0,0.01246460
0,0.05363519
0,-0.00606207
0,0.12460700
0,-0.01384854
0,0.08459910
0,0.05115922
0,0.09620162
0,0.14082170
0,0.08852366
0,0.06407594
0,0.05441078
0,-0.01121137
0,-0.02969947
0,0.01084546
0,0.05517008
0,0.07228645
0,0.03771043
0,0.04099719
0,0.03204782
0,0.05198290
0,0.03363602
0,0.08155572
0,-0.01890100
0,0.00026496
0,-0.01348868
0,0.01974669
0,0.06832254
0,-0.02134049
0,-0.01796923
0,0.02012239
0,0.05176255
0,-0.01775566
0,0.03029373
0,0.02645950
0,0.03290676
0,-0.00486138
0,0.04868122
0,0.05065928
