window,alpha
0,0.03396655
0,0.07476375
0,0.06623893
0,0.03397535
0,-0.01766796
0,0.11715642
0,0.05685624
0,0.07789597
0,0.03747752
0,0.05768082
0,0.06931731
0,-0.00089957
0,0.02080338
0,0.01433690
0,0.07029431
0,0.00658904
0,0.01191814
0,0.06206804
0,0.06847455
0,0.00034754
0,0.11278281
0,0.06041268
0,0.07202575
0,0.11352994
0,0.02537492
0,0.08674722
0,0.02128694
0,0.07288179
0,0.00124953
0,-0.00212930
0,0.03488080
0,0.03973396
0,-0.00712507
0,0.00065208
0,0.03725059
0,0.06055924
0,-0.00308130
0,0.12487429
0,0.05090003
0,0.07059454
0,0.10995897
0,-0.01911506
0,0.02540217
0,0.01898645
0,0.04327070
0,0.04904759
0,0.06137821
0,0.05337262
0,0.06688886
0,-0.00651674
0,0.00655799
0,0.10962795
0,0.03127721
0,0.02911022
0,0.01906122
0,0.07782387
0,0.05246133
0,-0.01699300
0,0.06145829
0,0.01135510
0,0.04899253
0,0.04000193
0,-0.00764797
0,0.00178619
0,0.02810735
0,0.06820256
0,0.10922748
0,0.01412868
0,0.00557812
0,0.03564522
0,0.00489246
0,0.00452747
0,0.04230678
0,0.06804422
0,0.08144784
0,0.03353203
0,-0.00869592
0,0.05390503
0,0.12479130
0,0.02451733
0,0.11999305
0,0.08207119
0,0.05785184
0,-0.01115005
0,0.01021171
0,0.00112120
0,0.10466682
0,0.01235373
0,-0.00701021
0,-0.03479356
0,0.05421744
0,-0.01122405
0,-0.00511369
0,0.00746748
0,0.05608563
0,0.12627669
0,0.03230893
0,0.04089886
0,0.01855879
0,0.03593130
0,0.03046044
0,0.06739074
0,0.02560997
0,0.11479682
0,0.03142245
0,0.08171818
0,0.07774108
0,0.04678665
0,-0.01864896
0,0.00776746
0,0.01087316
0,0.05008630
0,-0.00661973
0,0.12135924
0,-0.01521552
0,0.07967135
0,0.04913796
0,0.09129924
0,0.13738936
0,0.08487514
0,0.06327491
0,0.05101634
0,-0.01217897
0,-0.02901841
0,0.00947972
0,0.05301956
0,0.06998987
0,0.03549639
0,0.03789397
0,0.02950280
0,0.05035345
0,0.03099861
0,0.07876459
0,-0.01748773
0,-0.00085607
0,-0.01500874
0,0.01770997
0,0.06511588
0,-0.02128891
0,-0.01892783
0,0.01778255
0,0.05007417
0,-0.01895664
0,0.02879757
0,0.02369285
0,0.03141576
0,-0.00553809
0,0.04576798
0,0.04887900
0,0.00804555
0,-0.01103424
0,0.02761539
0,0.08051246
0,0.03632841
0,-0.03192556
0,0.02635558
0,0.06048008
0,-0.04522722
0,0.03889142
0,0.11611383
0,0.04270121
0,0.05042355
0,0.00741433
0,-0.02481301
0,-0.02722003
0,-0.00977870
0,0.03506997
0,0.05474631
0,0.00196005
0,0.03148685
0,0.02066217
0,-0.03174859
0,0.03211464
0,0.04967032
0,0.05177980
0,-0.01435005
0,0.10285363
0,0.10580122
0,-0.02066532
0,-0.04047517
0,0.04542792
0,-0.03023104
0,-0.00041460
0,0.00354002
0,0.01131059
0,0.04879206
0,0.08476153
0,0.05860806
0,0.00620029
0,-0.00525276
0,0.05829949
0,-0.02329720
0,0.07314900
0,-0.01146413
0,-0.01893126
0,0.01342665
0,0.03298622
0,0.02810048
0,0.00532195
0,-0.01804347
0,0.00474730
0,0.09146336
0,0.02715596
0,0.00148485
0,-0.00525897
0,-0.00075906
0,-0.00735477
0,0.04362574
0,0.04613570
0,-0.00035463
0,0.03471712
0,0.03544985
0,0.02980361
0,0.10453959
0,0.04944692
0,0.02200291
0,0.03474380
0,0.05096168
0,0.10744071
0,0.02249780
0,-0.00600947
0,0.10036140
0,0.03331587
0,0.04650844
0,-0.00828595
0,-0.00396620
0,0.00887446
1,-0.01275657
1,-0.00544023
1,-0.00935062
1,0.02605966
1,0.04991902
1,0.05464195
1,-0.00879747
1,0.00133350
1,0.00115001
1,0.13921380
1,-0.00864881
1,-0.02006350
1,0.03360869
1,0.04151612
1,0.00038009
1,0.02393794
1,-0.01915743
1,0.00243706
1,0.02722353
1,-0.01095584
1,-0.01369203
1,0.01602576
1,-0.02102656
1,0.05264970
1,-0.05678970
1,0.00109625
1,0.06559562
1,0.00983061
1,0.05241239
1,-0.03760781
1,0.11901911
1,-0.00033318
1,-0.02287293
1,0.04118087
1,0.07631951
1,-0.01177385
1,-0.00716904
1,-0.01921451
1,0.06137708
1,-0.02940056
1,-0.02007898
1,-0.06463514
1,-0.00319049
1,0.02858662
1,0.03479532
1,0.07466687
1,0.09986246
1,-0.00422385
1,0.01842942
1,0.08783416
1,-0.01393312
1,0.03982972
1,-0.05731878
1,0.08643565
1,0.01989466
1,0.08314767
1,0.02144724
1,0.07587612
1,0.00690302
1,0.02768167
1,0.02379391
1,-0.01732855
1,0.00071613
1,-0.00472776
1,-0.01233167
1,-0.00922187
1,0.00827993
1,-0.01099434
1,-0.00217813
1,-0.01679274
1,0.02806717
1,-0.02129298
1,0.07302363
1,0.02964751
1,-0.03370496
1,0.03178060
1,0.09695538
1,0.02655413
1,-0.00555008
1,-0.01520716
1,0.00934510
1,-0.02192364
1,0.01862436
1,-0.01345988
1,0.02140270
1,0.02054149
1,-0.02117123
1,-0.07754361
1,-0.00489890
1,0.03494540
1,-0.00566946
1,0.04928479
1,-0.01051953
1,-0.01308035
1,0.09346747
1,0.00263185
1,0.01083017
1,-0.01118695
1,-0.01157812
1,0.01614541
1,-0.02781120
1,0.00769379
1,0.07530769
1,0.00449815
1,0.04588139
1,0.09959655
1,0.02852181
1,-0.00727539
1,0.04372687
1,-0.02094845
1,-0.00181919
1,0.00081090
1,0.08557525
1,0.02417224
1,0.07003954
1,0.02249693
1,0.01594926
1,0.01548070
1,-0.00748081
1,0.01033591
1,0.03797146
1,0.01813824
1,0.00667956
1,-0.00098717
1,0.00547046
1,0.07251281
1,0.00131691
1,-0.00959201
1,0.05187580
1,0.04529683
1,0.01164104
1,-0.00317050
1,0.03639876
1,-0.04351927
1,0.06790552
1,-0.00263055
1,0.01497152
1,0.03856967
1,-0.01726676
1,0.05332842
1,0.01532697
1,0.06644592
1,-0.01300674
