model,oos_return
LASSO-lagged,0.006289
LASSO-lagged,0.016264
LASSO-lagged,0.091879
LASSO-lagged,0.047414
LASSO-lagged,-0.013371
LASSO-lagged,-0.058790
LASSO-lagged,-0.027789
LASSO-lagged,0.064182
LASSO-lagged,0.047799
LASSO-lagged,0.012424
LASSO-lagged,0.001797
LASSO-lagged,-0.101482
LASSO-lagged,-0.003713
LASSO-lagged,-0.040946
LASSO-lagged,-0.013933
LASSO-lagged,0.002663
LASSO-lagged,-0.040657
LASSO-lagged,-0.023611
LASSO-lagged,-0.022028
LASSO-lagged,-0.048383
LASSO-lagged,-0.020952
LASSO-lagged,-0.029309
LASSO-lagged,0.032213
LASSO-lagged,-0.050997
LASSO-lagged,-0.049492
LASSO-lagged,0.002079
LASSO-lagged,-0.072862
LASSO-lagged,-0.037629
LASSO-lagged,-0.037050
LASSO-lagged,0.002585
LASSO-lagged,-0.010349
LASSO-lagged,0.005290
LASSO-lagged,-0.053577
LASSO-lagged,0.079668
LASSO-lagged,-0.105945
LASSO-lagged,0.025307
LASSO-lagged,0.083018
LASSO-lagged,0.150170
LASSO-lagged,-0.006956
LASSO-lagged,-0.054153
LASSO-lagged,-0.017089
LASSO-lagged,-0.008151
LASSO-lagged,0.036195
LASSO-lagged,0.051555
LASSO-lagged,-0.011186
LASSO-lagged,-0.024182
LASSO-lagged,0.037554
LASSO-lagged,-0.053523
LASSO-lagged,0.024598
LASSO-lagged,0.090504
LASSO-lagged,0.129931
LASSO-lagged,-0.017963
LASSO-lagged,-0.032276
LASSO-lagged,0.000895
LASSO-lagged,-0.053110
LASSO-lagged,0.099341
LASSO-lagged,0.074375
LASSO-lagged,0.083464
LASSO-lagged,0.030910
LASSO-lagged,0.068209
