window,alpha
0,0.01163610
0,0.01192382
0,0.02246266
0,-0.02290460
0,-0.05017256
0,-0.04553852
0,-0.03159577
0,-0.03117559
0,-0.01316040
0,-0.04366923
0,-0.05019669
0,0.04479055
0,-0.00832980
0,-0.00480436
0,0.04318830
0,-0.05076853
0,-0.00798468
0,-0.10465943
0,0.01951916
0,-0.02490340
0,-0.00331560
0,-0.00966174
0,-0.07375939
0,-0.02525005
0,-0.01523188
0,-0.06360652
0,-0.03906623
0,-0.01609721
0,-0.07036118
0,-0.07681680
0,-0.00563695
0,0.06399488
0,-0.00315145
0,-0.05667345
0,0.08900256
0,-0.09457515
0,0.03325649
0,-0.04604739
0,-0.05723597
0,0.02024652
0,-0.10646716
0,0.08210069
0,-0.07164505
0,-0.03813837
0,-0.02966752
0,-0.02260406
0,0.05827962
0,-0.03314186
0,0.03462500
0,0.00916563
0,-0.02052249
0,-0.01572898
0,0.01551055
0,-0.03890697
0,-0.01357127
0,-0.05924012
0,-0.04719332
0,-0.02444555
0,-0.00185177
0,-0.05296660
0,-0.07434274
0,-0.02374768
0,-0.04033571
0,-0.03317787
0,-0.02883205
0,-0.00157582
0,-0.01797651
0,-0.01670251
0,-0.02554978
0,0.04530256
0,-0.08399654
0,-0.00215957
0,0.08856334
0,-0.05633479
0,-0.04085927
0,0.06300540
0,-0.01707543
0,-0.01326085
0,-0.03112391
0,0.00070163
0,0.05803073
0,-0.02001238
0,-0.01403987
0,-0.03862525
0,-0.04690400
0,-0.02629745
0,-0.02230717
0,-0.02221058
0,-0.03171002
0,0.01959721
0,-0.04806675
0,-0.02216733
0,-0.02358856
0,-0.04742274
0,-0.02939647
0,0.03385330
0,0.04458712
0,-0.05389687
0,-0.07621874
0,-0.07015743
0,-0.01235285
0,-0.01631177
0,-0.08468015
0,0.03273345
0,-0.03028364
0,-0.00801582
0,-0.05383001
0,-0.05599550
0,-0.08069829
0,-0.02473846
0,0.01179358
0,-0.02031479
0,-0.01192003
0,-0.00239049
0,-0.02540777
0,-0.00697114
0,0.01881148
0,0.00832830
0,-0.02623247
0,-0.01449010
0,-0.03133775
0,-0.07867753
0,-0.05719317
0,-0.05719864
0,-0.00047047
0,0.00472736
0,0.08105031
0,-0.02121158
0,-0.03674857
0,-0.00563186
0,0.05083167
0,0.05164638
0,-0.03815498
0,-0.07064442
0,-0.05664785
0,-0.02595408
0,0.02079483
0,0.02795562
0,-0.03136939
0,-0.02052538
0,-0.06612327
0,0.00373289
0,-0.04268968
0,0.06901877
0,-0.04496967
0,0.03009537
0,-0.08100892
0,-0.03262760
0,-0.08936822
0,0.04017995
0,-0.03401608
0,-0.04635868
0,-0.04373717
0,0.01961995
0,-0.03905088
0,-0.12888275
0,-0.00025398
0,0.00833347
0,-0.08587586
0,0.02178174
0,0.03642799
0,-0.01710509
0,-0.14904067
0,0.01006323
0,-0.08146081
0,-0.03904772
0,-0.03053015
0,-0.02701227
0,-0.02246145
0,-0.00600525
0,-0.01454886
0,-0.07374707
0,0.00656452
0,-0.05165124
0,0.02903245
0,-0.02496759
0,-0.00974453
0,0.05865311
0,0.00427409
0,-0.07426616
0,-0.02437469
0,-0.06482013
0,-0.03915904
0,-0.02350259
0,-0.04846753
0,-0.04429724
0,-0.05748662
0,-0.07688064
0,-0.03398935
0,0.03695277
0,-0.09157761
0,-0.01818592
0,-0.05800833
0,-0.02859396
0,-0.02237340
0,-0.07526151
0,0.01004839
0,-0.02694201
0,-0.04678245
0,-0.05230058
0,-0.03455041
0,-0.04805645
0,0.04183298
0,-0.05001192
0,-0.04395083
0,-0.03257827
0,-0.07510121
0,-0.02143160
0,-0.03280595
0,-0.01348539
0,0.01699749
0,-0.03719782
0,-0.02271227
0,-0.03509546
0,0.03522797
0,-0.02925042
0,-0.05885539
0,-0.08652415
0,-0.03169984
0,-0.09915206
0,-0.06001197
0,-0.04747730
0,-0.00886675
0,-0.01468126
0,-0.10059385
0,-0.05439353
0,-0.06247801
0,0.00979411
0,-0.00518418
0,0.04562826
0,-0.02539255
0,0.00270051
0,0.03622681
0,-0.04111430
0,0.02817003
0,0.04028783
0,-0.09202889
0,-0.03931421
0,0.00031059
0,-0.00048575
0,-0.01697154
0,0.02342479
0,-0.00178294
0,0.03483659
0,0.01253400
0,-0.04622183
0,0.01194639
0,0.00360061
0,-0.02688486
0,0.02071643
0,0.05437035
0,-0.00824877
0,0.04397123
0,-0.19109749
0,-0.09773379
0,-0.00316728
0,-0.02960511
0,-0.00467951
0,0.01960922
0,0.01594582
0,0.00504281
0,0.00056832
0,0.27080666
0,0.00039007
0,0.09378371
0,-0.07578943
0,0.02001563
0,-0.05455015
0,0.01582817
0,-0.05220926
0,-0.02045584
0,-0.03447381
0,-0.02907688
0,0.02378378
0,-0.05130964
0,-0.03710455
0,0.05671814
0,-0.03755681
0,-0.06774375
0,-0.00055089
0,-0.01413099
0,0.02400147
0,0.03506573
0,0.03978513
0,-0.00579154
0,0.01035994
0,-0.01602733
0,-0.06912165
0,-0.06236215
0,0.06546483
0,-0.00797247
0,-0.02341113
0,-0.04621313
0,-0.04696720
0,-0.02786395
0,-0.01337155
0,-0.07434196
0,0.05152534
0,-0.10419848
0,-0.09946972
0,-0.04874529
0,0.06678294
0,-0.05317551
0,-0.04667843
0,-0.00677281
0,-0.03537431
0,0.00273318
0,-0.01445740
0,-0.05843664
1,0.00911993
1,-0.00834189
1,-0.02758914
1,0.01788954
1,-0.01968617
1,-0.04081186
1,-0.03962015
1,-0.01140128
1,-0.10833017
1,0.03514372
1,-0.14907068
1,0.01625494
1,-0.02556795
1,0.05765692
1,0.04744595
1,-0.00351930
1,0.02885839
1,-0.10572778
1,-0.00474179
1,0.02312969
1,-0.03052277
1,-0.04824753
1,-0.05892370
1,-0.04007944
1,0.03059967
1,-0.00278094
1,-0.00995699
1,-0.10638588
1,0.07123954
1,0.00657559
1,0.03992621
1,-0.06310957
1,0.13656613
1,-0.07448238
1,0.04489736
1,-0.01283269
1,0.00931137
1,-0.02440803
1,-0.15905652
1,-0.01169075
1,-0.03144066
1,0.03261288
1,0.15864416
1,-0.02259425
1,0.01420863
1,-0.08258561
1,-0.04135777
1,-0.03687176
1,0.08422027
1,-0.01007804
1,-0.04219553
1,-0.09252135
1,0.05381689
1,-0.02068629
1,-0.06171501
1,-0.03859580
1,-0.06529346
1,-0.07050902
1,0.05840160
1,0.05725044
1,-0.07565212
1,-0.07737106
1,-0.08256870
1,-0.05606334
1,0.01042730
1,0.00894548
1,-0.04197703
1,-0.14850239
1,-0.03050436
1,-0.09064327
1,0.00436368
1,0.08828919
1,0.07383163
1,-0.10626425
1,0.02170292
1,0.03210706
1,0.08832340
1,-0.06207570
1,0.00915489
1,0.00553821
1,-0.03201307
1,0.04015824
1,-0.01207655
1,-0.03237105
1,-0.01580633
1,-0.00140506
1,0.02010948
1,-0.03670028
1,-0.00320588
1,0.01229175
1,-0.12226539
1,0.01776935
1,-0.04495366
1,0.04242073
1,0.02561992
1,0.08691803
1,-0.08979289
1,-0.05323226
1,0.00276148
1,-0.00347607
1,0.09050440
1,-0.08955445
1,-0.07091879
1,-0.00372540
1,-0.02090638
1,0.02117986
1,-0.01606654
1,0.00773846
1,0.09809627
1,-0.01090253
1,-0.01599944
1,-0.06886782
1,-0.01852852
1,0.05673528
1,-0.10234199
1,-0.09080029
1,-0.01351750
1,-0.00886243
1,0.06990269
1,-0.02396845
1,-0.02530180
1,-0.08051952
1,-0.02851317
1,0.02130306
1,0.01428427
1,-0.05214839
1,-0.03661563
1,-0.02954050
1,-0.00831453
1,0.02250623
1,-0.03684327
1,-0.02944990
1,-0.03595229
1,-0.03435647
1,-0.03971467
1,-0.06703102
1,0.01984002
1,-0.06118630
1,0.03695614
1,0.04624317
1,-0.04538900
1,0.02743388
1,0.05746109
1,-0.08638806
1,-0.03445517
1,0.01261913
1,-0.04618046
1,0.09454992
1,-0.01344361
1,-0.01112701
1,0.02206969
1,-0.13467891
1,-0.06409008
1,-0.03160880
1,-0.01657857
1,0.10854659
1,0.05490914
1,0.04040514
1,-0.03307011
1,0.01963421
1,-0.04691355
1,-0.02389392
1,0.07511315
1,-0.00478841
1,-0.00871953
1,0.09548687
1,-0.00061998
1,-0.09303152
1,0.04006238
1,-0.01174897
1,0.00429854
1,-0.13318455
1,0.02547380
1,-0.06168482
1,0.05789827
1,-0.01543300
1,-0.01155672
1,0.04984481
1,-0.08863486
1,-0.00400676
1,-0.05280809
1,-0.06036912
1,-0.00874686
1,-0.02808277
1,0.01044957
1,0.15831172
1,0.00741949
1,0.01365823
1,-0.09472911
1,-0.02628271
1,0.00484150
1,-0.01766237
1,0.01291555
1,-0.15168077
1,-0.09761822
1,-0.07380674
1,-0.01887132
1,0.06809373
1,0.03237497
1,-0.07101279
1,-0.05538172
1,-0.11608224
1,0.02530780
1,-0.05941798
1,-0.01301620
1,0.03064537
1,-0.04864239
1,-0.06371236
1,-0.02780837
1,-0.00121279
1,-0.04544082
1,0.00029602
1,-0.04298406
1,-0.04223840
1,-0.01267428
1,-0.00311549
1,-0.06105371
1,-0.02505360
1,0.00035977
1,-0.01594669
1,-0.01205114
1,0.00243533
1,-0.06140455
1,-0.02609563
1,-0.11402238
1,-0.01830202
1,0.02853132
1,-0.03626959
1,0.05085914
1,-0.08434408
1,0.04876546
1,0.03187469
1,0.02344609
1,-0.04531615
1,0.00659377
1,-0.04542605
1,-0.04400335
1,0.05166761
1,0.01173067
1,0.08532109
1,-0.04104364
1,-0.01975825
1,0.12193985
1,0.06091464
1,-0.01914966
1,-0.05243676
1,-0.02238032
1,-0.02703078
1,-0.03062041
1,-0.02400419
1,0.25012965
1,0.21775841
1,0.07635877
1,-0.05795606
1,0.01246685
1,-0.03929706
1,-0.01132658
1,-0.00887737
1,-0.01172671
1,-0.04566486
1,-0.03058674
1,-0.00393012
1,-0.05965241
1,0.00481983
1,-0.07629184
1,0.01471240
1,0.09861131
1,0.01557145
1,-0.04024346
1,-0.00125782
1,-0.01568798
1,-0.01570725
1,-0.08169487
1,-0.02734207
1,0.07551239
1,0.16751853
1,-0.02818739
1,-0.03213848
1,-0.05308782
1,-0.11049558
1,-0.00541642
1,-0.03748426
1,0.02488220
1,0.04144108
1,-0.00873476
1,-0.01728501
1,-0.03792748
1,-0.00289176
1,-0.03407125
1,0.00676617
1,-0.06549749
1,-0.00287863
1,-0.06588447
