model,sharpe,ev,rms_alpha_pct,max_alpha_pct,note
Market,0.12674521173992123,0.2381046494635356,5.2258165282643505,30.925435235925665,benchmark
FF5,-0.23596272998231677,0.15376915960425408,7.106954205490333,49.66766858670495,benchmark
q-factor,-0.06348610476082166,0.13443981864729626,5.936249119397912,28.507638509481225,benchmark
PCA(5),0.46666029043352864,0.20590438734831318,5.379212702217321,29.114297516120562,benchmark
LASSO,0.2753605269954597,0.20966208282819765,4.200531809037076,19.328621856122925,benchmark
Linear SDF (20ch),1.6357,0.1450,5.2988,38.8318,"linear SDF (common, omega=theta'x)"
Linear SDF (11ch),0.2806,0.1373,6.5739,52.2559,"linear SDF (common, omega=theta'x)"
E2,0.1117,0.2580,4.7552,21.6864,11ch LSTM (cpz common SDF)
E3,0.7052,0.2081,4.7139,21.4360,20ch LSTM (cpz common SDF)
E4A,0.6371,0.2627,4.6703,21.4430,20ch const (cpz common SDF)
E4B,0.3809,0.2428,4.7195,21.6263,11ch const (cpz common SDF)
E5A,-0.3129,0.2601,4.8471,23.0137,11ch LSTM critic (cpz common SDF)
E5B,0.4270,0.2060,4.8001,22.8093,20ch LSTM critic (cpz common SDF)
E8,0.0560,0.2571,4.7145,21.5115,11ch LSTM liq-filter (cpz common SDF)
E8B,0.2360,0.2101,4.6997,21.5593,20ch LSTM liq-filter (cpz common SDF)
