window,alpha
0,0.03380011
0,0.07449967
0,0.06611957
0,0.03375150
0,-0.01769824
0,0.11707384
0,0.05660227
0,0.07755611
0,0.03719928
0,0.05752231
0,0.06909420
0,-0.00096224
0,0.02062465
0,0.01401202
0,0.07009488
0,0.00637683
0,0.01183513
0,0.06183415
0,0.06827547
0,0.00021543
0,0.11225790
0,0.06009899
0,0.07168106
0,0.11300825
0,0.02520936
0,0.08636677
0,0.02100428
0,0.07265896
0,0.00998071
0,0.00106256
0,-0.00229729
0,0.03482507
0,0.03942528
0,-0.00714652
0,0.00047821
0,0.05246508
0,0.03714514
0,0.06040241
0,-0.00295643
0,0.12462022
0,0.05078987
0,0.07005790
0,0.10950780
0,-0.01921362
0,0.02528773
0,0.01894728
0,0.04313132
0,0.04892679
0,0.06093486
0,0.05309972
0,0.06671479
0,-0.00676697
0,0.00626763
0,0.10934070
0,0.03102639
0,0.02883704
0,0.01906286
0,0.07771102
0,0.05216969
0,-0.01704807
0,0.01134167
0,0.04891536
0,0.03981370
0,-0.00776198
0,0.00166900
0,0.02804436
0,0.06788274
0,0.10903525
0,0.01390459
0,0.00551703
0,0.03535480
0,0.00478417
0,0.00434014
0,-0.01796809
0,0.04213677
0,0.06778101
0,0.03343552
0,-0.00894656
0,0.05371935
0,0.12442583
0,0.02429445
0,0.11941306
0,0.08154381
0,0.05770342
0,-0.01113379
0,0.00105086
0,0.10439653
0,0.01217903
0,-0.00711203
0,-0.03494179
0,0.05402473
0,-0.01149325
0,-0.00518728
0,0.00729856
0,0.05583040
0,-0.00362578
0,0.12597464
0,0.03213624
0,0.04072356
0,0.01849602
0,0.03584224
0,0.03016304
0,0.06711234
0,0.02553491
0,0.11460965
0,0.03133564
0,0.08163948
0,0.07745147
0,0.04645936
0,-0.01882258
0,0.00759181
0,0.01067670
0,0.04979229
0,-0.00667147
0,0.12120458
0,-0.01531302
0,0.04897107
0,0.09084296
0,0.13691586
0,0.08459505
0,0.06317288
0,0.05073381
0,-0.01227247
0,-0.02891965
0,0.00930576
0,0.05283353
0,0.06975546
0,0.03533564
0,0.03767403
0,0.02925718
0,0.05010844
0,0.03077858
0,0.07853004
0,-0.01736121
0,-0.00101711
0,-0.01509172
0,0.01751261
0,0.06484046
0,-0.02128826
0,-0.01915289
0,0.01756522
0,0.04999858
0,-0.01910788
0,0.01172107
0,0.02867115
0,0.02343590
0,0.03123034
0,-0.00566071
0,0.04545179
0,0.04870376
0,-0.01118813
0,0.02735130
0,0.08013701
0,0.03626179
0,-0.03202908
0,0.02610612
0,0.06032453
0,-0.04526167
0,0.03872964
0,0.01586180
0,0.11584735
0,0.04240683
0,0.05012837
0,-0.05540173
0,0.00722230
0,-0.02485099
0,-0.02740704
0,-0.00984996
0,0.03474875
0,0.05448568
0,0.00194514
0,0.03112652
0,0.02045514
0,-0.03179704
0,0.03199017
0,0.04960324
0,0.05161135
0,-0.01444951
0,0.00475265
0,0.10259676
0,0.10590657
0,-0.02076332
0,-0.04045095
0,0.04524747
0,-0.03030296
0,-0.00048738
0,0.00325166
0,0.01119649
0,0.04866223
0,0.08461124
0,0.05848567
0,0.00608423
0,-0.00550149
0,0.05788070
0,-0.02351313
0,0.07295851
0,-0.01163353
0,-0.01910255
0,0.01327850
0,0.03280517
0,0.02787647
0,0.00546154
0,-0.01805029
0,0.00451709
0,0.09119821
0,0.02691199
0,0.00137620
0,-0.00531532
0,-0.00096680
0,-0.00748923
0,0.04340058
0,0.04575932
0,-0.00032624
0,0.03448463
0,0.03542436
0,0.02986871
0,0.10430638
0,0.04929968
0,0.02179936
0,0.03442320
0,0.05071406
0,0.10716132
0,0.02224318
0,-0.00591502
0,0.10008476
0,0.19747345
0,0.04626390
0,0.07583103
0,-0.00840633
0,-0.00423656
0,0.00883556
1,-0.01273069
1,-0.00541836
1,-0.00915636
1,0.02637265
1,0.05038224
1,0.05462020
1,-0.00868999
1,0.00172127
1,0.00128923
1,0.13999785
1,-0.00853122
1,-0.01996582
1,0.03368587
1,0.04171040
1,0.00034567
1,0.02420118
1,-0.01906136
1,0.00246542
1,0.02765507
1,-0.01069233
1,-0.01360776
1,0.01631391
1,-0.02096468
1,0.05294856
1,-0.05664169
1,0.00110173
1,0.06591004
1,0.01001835
1,0.05268976
1,-0.03743258
1,0.11973175
1,-0.00011123
