window,alpha
0,0.03470271
0,0.07626481
0,0.06755648
0,0.03552997
0,-0.01727854
0,0.11819166
0,0.05809093
0,0.08003128
0,0.03911716
0,0.05823302
0,0.07045576
0,-0.00010976
0,0.02148630
0,0.01687255
0,0.07175650
0,0.00753877
0,0.01248428
0,0.06358740
0,0.07039692
0,0.00091955
0,0.11580300
0,0.06251005
0,0.07425135
0,0.11521506
0,0.02622580
0,0.08915406
0,0.02271619
0,0.07436237
0,0.01084402
0,0.00226060
0,-0.00196901
0,0.03581053
0,0.04163875
0,-0.00682675
0,0.00151591
0,0.05389560
0,0.03731322
0,0.06204760
0,-0.00371022
0,0.12680462
0,0.05194195
0,0.07300813
0,0.11236659
0,-0.01848521
0,0.02623358
0,0.01971963
0,0.04371127
0,0.05059783
0,0.06361521
0,0.05494615
0,0.06852206
0,-0.00455393
0,0.00782128
0,0.11142191
0,0.03296640
0,0.03123120
0,0.02077803
0,0.07850503
0,0.05367576
0,-0.01672424
0,0.01146272
0,0.04945281
0,0.04117509
0,-0.00711278
0,0.00230069
0,0.02887410
0,0.07003363
0,0.11105317
0,0.01561316
0,0.00619856
0,0.03686400
0,0.00546585
0,0.00475697
0,-0.01818262
0,0.04387965
0,0.07021156
0,0.03436561
0,-0.00735558
0,0.05486758
0,0.12776975
0,0.02584139
0,0.12299448
0,0.08502784
0,0.05902876
0,-0.01077095
0,0.00175184
0,0.10653972
0,0.01304857
0,-0.00666668
0,-0.03365444
0,0.05535111
0,-0.01003101
0,-0.00445721
0,0.00871051
0,0.05774541
0,-0.00388426
0,0.12838687
0,0.03362418
0,0.04222023
0,0.01886957
0,0.03681161
0,0.03216511
0,0.06920462
0,0.02581342
0,0.11716237
0,0.03183587
0,0.08183834
0,0.07943197
0,0.04857752
0,-0.01760484
0,0.00812615
0,0.01183249
0,0.05224253
0,-0.00627223
0,0.12336197
0,-0.01436531
0,0.05036649
0,0.09419168
0,0.13931797
0,0.08712295
0,0.06376401
0,0.05310045
0,-0.01150849
0,-0.02935399
0,0.01024210
0,0.05435808
0,0.07126381
0,0.03687270
0,0.03971335
0,0.03102853
0,0.05132585
0,0.03263068
0,0.08043563
0,-0.01832093
0,-0.00018991
0,-0.01400779
0,0.01893653
0,0.06710832
0,-0.02131382
0,-0.01846507
0,0.01924743
0,0.05124789
0,-0.01827290
0,0.01181134
0,0.02971212
0,0.02540503
0,0.03224549
0,-0.00518270
0,0.04760323
0,0.04994743
0,-0.00980770
0,0.02860526
0,0.08287109
0,0.03639693
0,-0.03158747
0,0.02774336
0,0.06125993
0,-0.04481835
0,0.04024990
0,0.01666704
0,0.11827265
0,0.04399410
0,0.05213689
0,-0.05540581
0,0.00853094
0,-0.02487134
0,-0.02605178
0,-0.00961103
0,0.03711545
0,0.05688214
0,0.00198921
0,0.03359741
0,0.02204848
0,-0.03163917
0,0.03264377
0,0.04999324
0,0.05347315
0,-0.01376839
0,0.00472899
0,0.10467545
0,0.10691959
0,-0.02074913
0,-0.04071193
0,0.04609736
0,-0.03046437
0,-0.00031962
0,0.00457609
0,0.01194651
0,0.04982467
0,0.08572295
0,0.06059558
0,0.00658331
0,-0.00381472
0,0.06015458
0,-0.02265627
0,0.07430970
0,-0.01071122
0,-0.01836531
0,0.01385543
0,0.03481007
0,0.02968510
0,0.00513513
0,-0.01810460
0,0.00654088
0,0.09347645
0,0.02850729
0,0.00221109
0,-0.00456568
0,0.00041865
0,-0.00660336
0,0.04517120
0,0.04737696
0,-0.00028137
0,0.03595951
0,0.03534627
0,0.02949597
0,0.10599081
0,0.05034450
0,0.02300205
0,0.03674006
0,0.05256400
0,0.10889792
0,0.02347618
0,-0.00636894
0,0.10238974
0,0.19916689
0,0.04820094
0,0.07666269
0,-0.00718235
0,-0.00282574
0,0.00951224
1,-0.01284914
1,-0.00551024
1,-0.00996835
1,0.02513267
1,0.04853647
1,0.05468889
1,-0.00910179
1,0.00003500
1,0.00074254
1,0.13685845
1,-0.00901911
1,-0.02038629
1,0.03336665
1,0.04090521
1,0.00047162
1,0.02315121
1,-0.01945637
1,0.00234696
1,0.02591802
1,-0.01178739
1,-0.01395493
1,0.01514752
1,-0.02121282
1,0.05179265
1,-0.05723859
1,0.00107532
1,0.06468644
1,0.00925580
1,0.05165041
1,-0.03816748
1,0.11676553
1,-0.00101962
1,-0.02356685
1,0.04124153
1,0.07545495
1,-0.01217505
1,-0.00709620
1,-0.01975560
1,0.06111236
1,-0.03052998
1,-0.01969050
1,-0.06557095
1,-0.02549924
1,-0.00349903
1,0.02709953
1,0.03325685
1,0.07400982
1,0.09904598
1,-0.00540974
1,0.01652640
1,0.08599683
1,-0.01464944
1,0.03946462
1,-0.05797215
1,0.08464205
1,0.01916781
1,0.08218039
1,0.02071748
1,0.07512093
1,0.00659546
1,0.05587366
1,0.02670797
1,0.02348194
1,-0.01765591
1,0.00005440
1,-0.00497237
1,-0.01280755
1,-0.00981171
1,0.00780310
1,-0.01118359
1,-0.00315662
1,-0.01704195
1,-0.02109816
1,0.07261875
1,0.02881700
1,-0.03360527
1,0.03114917
1,0.09606251
1,0.02509046
1,-0.00578561
1,-0.01609136
1,0.00809518
1,-0.02236974
1,0.01829838
1,-0.01385771
1,0.02056105
1,0.01942751
1,-0.02128575
1,-0.07802572
1,-0.00499388
1,0.03360027
1,-0.00566905
1,0.04787821
1,-0.01086870
1,-0.01402590
1,0.09255811
1,0.00228866
1,0.00989512
1,-0.01162011
1,0.04062001
1,-0.04956108
1,-0.01202043
1,0.01503255
1,-0.02819383
1,0.00658048
1,0.07456751
1,0.00641733
1,0.00420862
1,0.04466620
1,0.09931919
1,0.02785882
1,-0.00763421
1,0.04277208
1,-0.02135574
1,-0.00237768
1,0.00038823
1,0.02369529
1,0.06887478
1,0.02135948
1,0.01637512
1,0.01458377
1,-0.00859583
1,0.00982968
1,0.03681976
1,0.01750910
1,0.00620674
1,-0.00171415
1,0.00538259
1,0.07101158
1,0.00097461
1,-0.00995835
1,0.05109847
1,0.04372952
1,0.01148509
1,-0.00384804
1,0.03597870
1,-0.04367347
1,0.06700876
1,-0.00332073
1,0.01457756
1,0.03766022
1,-0.01765929
1,0.05239421
1,0.01475639
1,0.06567479
1,-0.01374184
1,-0.01324595
1,0.04444623
1,-0.01058287
1,-0.01190879
1,-0.01807251
1,0.07480188
1,0.09712049
1,-0.02280439
1,0.07533710
1,-0.00534134
1,0.04244689
1,-0.00355997
1,0.00881817
1,0.01746533
1,0.02534372
1,-0.03108764
1,-0.01727046
1,-0.00296210
1,0.03677207
1,-0.00899944
1,-0.06545909
1,-0.05204395
1,-0.01073658
1,0.03135000
1,-0.02162948
1,-0.02058605
1,0.04457686
1,0.04408869
1,-0.00781719
1,0.02220240
1,0.02751007
1,-0.00441251
1,0.09575644
1,-0.01486397
1,-0.00044678
1,0.02499095
1,0.07366090
1,0.01219774
1,-0.02543845
1,-0.00366562
1,0.06220619
1,-0.00576032
1,-0.01742705
1,0.01276618
1,0.00745082
1,0.02457079
1,-0.02508540
1,-0.02494105
1,-0.04293786
1,0.00866939
1,-0.02183934
1,-0.04184234
1,0.00089647
1,-0.04434991
1,-0.02471185
1,-0.00297739
1,-0.01411268
1,0.00739371
1,0.03443255
1,0.01054324
1,0.04019267
1,0.01712749
1,-0.02498031
1,-0.01474437
1,-0.00622277
1,-0.00357014
1,-0.01035053
1,-0.03868891
1,0.12073638
1,0.11962461
1,0.07531238
1,-0.01428814
1,0.07975185
1,0.00168034
1,0.03225420
1,0.08201540
1,0.05368191
1,0.16765882
1,0.00789380
1,-0.01143524
1,0.01032902
1,0.00811714
1,0.03670841
1,0.15591677
1,0.00972615
1,-0.04541862
1,-0.00241501
1,0.01542653
1,0.02349011
1,-0.02344477
1,0.05786382
1,0.01623906
1,-0.02008978
2,-0.00384342
2,-0.03302756
2,-0.04383733
2,-0.01876481
2,-0.02719179
2,0.03620218
2,-0.05717393
2,0.03102316
2,-0.05726902
2,-0.00730283
2,-0.02501594
2,0.03249629
2,0.00515265
2,-0.04674040
2,-0.06995302
2,-0.00653887
2,-0.01891941
2,-0.07486767
2,-0.00786020
2,-0.06327011
2,-0.03600358
2,-0.01228243
2,-0.04011239
2,-0.02483274
2,-0.04769586
2,0.02195309
2,-0.08953083
2,-0.02506311
2,-0.02183542
2,-0.05464864
2,-0.03272802
2,-0.02981549
2,-0.00278502
2,-0.05631746
2,-0.01632738
2,-0.01957872
2,-0.04102379
2,-0.01838226
2,0.02412290
2,-0.01641570
2,-0.02833437
2,-0.05531928
2,-0.00881879
2,-0.04790535
2,-0.03647917
2,-0.04214666
2,-0.03865875
2,-0.03469828
2,-0.00810691
2,-0.04841058
2,-0.05693437
2,-0.03787598
2,-0.02304233
2,0.00001892
2,0.02238104
2,-0.05791138
2,-0.02551156
2,-0.03319024
2,0.00061659
2,-0.04642271
2,-0.02805520
2,-0.00403249
2,0.01474633
2,-0.04351621
2,0.01430398
2,-0.02210217
2,-0.05426823
2,-0.02084345
2,-0.00990645
2,-0.07820766
2,-0.02976747
2,0.02926748
2,0.01332610
2,-0.02327143
