window,alpha
0,0.03378922
0,0.07446051
0,0.06610734
0,0.03374062
0,-0.01768774
0,0.11712035
0,0.05659086
0,0.07751149
0,0.03715872
0,0.05752753
0,-0.00096904
0,0.02062999
0,0.01397426
0,0.07008220
0,0.00636277
0,0.01181837
0,0.06181155
0,0.06825160
0,0.00021478
0,0.11219541
0,0.06008336
0,0.07166411
0,0.11295400
0,0.02520262
0,0.08633012
0,0.02098592
0,0.07263164
0,0.00998763
0,0.00105210
0,-0.00228102
0,0.03483566
0,0.03938322
0,-0.00714466
0,0.00047376
0,0.05244401
0,0.03713940
0,0.06039966
0,-0.00295392
0,0.12459739
0,0.07000298
0,0.10944162
0,-0.01922696
0,0.02527781
0,0.04312577
0,0.04891455
0,0.06090018
0,0.05307354
0,0.06669416
0,-0.00679368
0,0.00624871
0,0.10930920
0,0.03099779
0,0.02881302
0,0.01910051
0,0.07771418
0,0.05213147
0,-0.01704695
0,0.06134569
0,0.01134301
0,0.04890719
0,0.03980812
0,-0.00776675
0,0.00165653
0,0.02804116
0,0.06783881
0,0.10900745
0,0.01387974
0,0.03533796
0,0.00478482
0,0.00433875
0,-0.01798061
0,0.04214028
0,0.06773975
0,0.08106716
0,0.03343695
0,-0.00895047
0,0.05370287
0,0.12436584
0,0.02427702
0,0.11937576
0,0.08149596
0,0.05767104
0,-0.01112997
0,0.01004265
0,0.00104661
0,0.10434780
0,0.01217073
0,-0.00711888
0,-0.03494033
0,0.05400291
0,-0.01151415
0,-0.00518088
0,0.00728405
0,0.05575860
0,0.12595154
0,0.04069350
0,0.01848870
0,0.03584616
0,0.03013927
0,0.06709493
0,0.11461880
0,0.03135848
0,0.08166386
0,0.07741851
0,0.04640860
0,-0.01883752
0,0.00754801
0,0.01067205
0,0.04976433
0,-0.00666459
0,0.12117297
0,-0.01532672
0,0.07916515
0,0.04895508
0,0.09079055
0,0.13689230
0,0.08457530
0,0.06318420
0,0.05071291
0,-0.02890323
0,0.00928934
0,0.05282705
0,0.06971186
0,0.03532464
0,0.03762431
0,0.02922951
0,0.05012138
0,0.03076494
0,0.07850478
0,-0.01734465
0,-0.00102163
0,-0.01509653
0,0.01749349
0,0.06482327
0,-0.02128545
0,-0.01916309
0,0.01756433
0,0.05002305
0,-0.01912176
0,0.01173034
0,0.02866095
0,0.02342710
0,0.03120740
0,-0.00566922
0,0.04544850
0,0.04869104
0,0.00813183
0,-0.01119962
0,0.02731706
0,0.08009202
0,0.03626741
0,-0.03204000
0,0.02608502
0,0.06032429
0,-0.04526441
0,0.03872109
0,0.01585457
0,0.11579644
0,0.04238428
0,0.05011037
0,-0.05539089
0,0.00721673
0,-0.02486000
0,-0.02740879
0,-0.00984668
0,0.03473781
0,0.05447139
0,0.00193970
0,0.03109495
0,0.02044519
0,-0.03178845
0,0.03198655
0,0.04961381
0,0.05159280
0,-0.01444737
0,0.00475664
0,0.10257826
0,0.10595050
0,-0.02074405
0,-0.04044449
0,0.04521368
0,-0.03029536
0,-0.00047632
0,0.00325895
0,0.01119672
0,0.04865693
0,0.08460853
0,0.05848524
0,0.00608741
0,-0.00551825
0,0.05786644
0,-0.02350575
0,0.07292467
0,-0.01165689
0,-0.01912323
0,0.01327660
0,0.03277813
0,0.02787214
0,0.00546161
0,-0.01804284
0,0.00449913
0,0.09115559
0,0.02688991
0,0.00137215
0,-0.00532068
0,-0.00097789
0,-0.00749947
0,0.04571355
0,-0.00032427
0,0.03446048
0,0.03541967
0,0.02988829
0,0.10429995
0,0.04928478
0,0.02178176
0,0.05069163
0,0.10715824
0,0.02222273
0,-0.00589324
0,0.10007458
0,0.03294939
0,0.04624873
0,0.07582529
0,-0.00841338
0,-0.00426365
0,0.00883514
1,-0.01272692
1,-0.00541944
1,-0.00915622
1,0.02636488
1,0.05039990
1,0.00173334
1,0.00129011
1,0.14000864
1,-0.00852976
1,-0.01996678
1,0.03368739
1,0.04170755
1,0.00034392
1,0.02422281
1,-0.01906025
1,0.00246500
1,0.02767093
1,-0.01068583
1,-0.01360818
1,0.01631580
1,-0.02096213
1,0.05295663
1,-0.05664398
1,0.00110055
1,0.06593189
1,0.01001892
1,0.05268382
1,-0.03743483
1,0.11973450
1,-0.00010468
1,-0.02265929
1,0.04117154
1,0.07660765
1,-0.01165299
1,-0.00719002
1,-0.01905597
1,0.06148185
1,-0.02903376
1,-0.02020380
1,-0.06435228
1,-0.02519816
1,-0.00308841
1,0.02910657
1,0.03530459
1,0.07489017
1,0.10012243
1,-0.00385849
1,0.01902100
1,0.08841866
1,-0.01371002
1,0.03996433
1,-0.05710539
1,0.08700428
1,0.02012918
1,0.08348788
1,0.02169302
1,0.07612099
1,0.00700404
1,0.05603419
1,0.02797456
1,0.02390538
1,-0.01722970
1,0.00094356
1,-0.00465335
1,-0.01218165
1,-0.00902748
1,0.00844729
1,-0.01093352
1,-0.00184990
1,-0.01671520
1,0.02827697
1,0.07316368
1,0.02993857
1,-0.03373501
1,0.03198021
1,0.09727532
1,0.02703627
1,-0.00546190
1,-0.01490586
1,0.00978441
1,-0.02177831
1,0.01874027
1,-0.01334282
1,0.02166989
1,0.02091206
1,-0.07741088
1,-0.00487516
1,0.03538552
1,-0.00565549
1,0.04972880
1,-0.01041584
1,-0.01281777
1,0.09383038
1,0.00274854
1,0.01111384
1,-0.01104289
1,0.04187510
1,-0.04846681
1,-0.01143927
1,0.01651781
1,-0.02767991
1,0.00806533
1,0.07553955
1,0.00738579
1,0.00457958
1,0.04630643
1,0.09967875
1,0.02872345
1,-0.00717124
1,0.04404888
1,-0.02080771
1,-0.00163916
1,0.00094430
1,0.08606743
1,0.02432527
1,0.07040648
1,0.02287721
1,0.01582275
1,0.01576436
1,-0.00712223
1,0.01051614
1,0.03837557
1,0.01833132
1,0.00683211
1,-0.00073145
1,0.00549710
1,0.07298485
1,0.00143030
1,-0.00947111
1,0.05213471
1,0.04580170
1,0.01169170
1,-0.00295393
1,0.03651198
1,-0.04348157
1,0.06820501
1,-0.00240647
1,0.01510033
1,0.03886039
1,-0.01713632
1,0.05362089
1,0.06672068
1,-0.01276653
1,0.04407601
1,-0.00957412
1,-0.01168646
1,-0.01802462
1,0.07748339
1,0.09991779
1,-0.02231740
1,0.07603986
1,-0.00509645
1,-0.00353405
1,0.00980653
1,0.01826776
1,0.02643793
1,-0.03033620
1,-0.01727274
1,-0.00174375
1,0.03800282
1,-0.00836728
1,-0.06457973
1,-0.05266057
1,-0.01029357
1,0.03369459
1,-0.02119924
1,-0.02012830
1,0.04443040
1,-0.00638603
1,0.02245557
1,0.02868546
1,-0.00375480
1,0.09683784
1,-0.01421681
1,0.00060753
1,0.02531949
1,0.07523452
1,0.01249471
1,-0.02404007
1,-0.00311187
1,0.06307298
1,-0.00517155
1,-0.01717524
1,0.01308710
1,0.00761600
1,0.02574133
1,-0.02445641
1,-0.02518346
1,-0.04243143
1,0.00870190
1,-0.02118495
1,-0.04105532
1,0.00113678
1,-0.04424123
1,-0.02458942
1,-0.00240215
1,-0.01390486
1,0.00905440
1,0.03524619
1,0.01121932
1,0.04050840
1,0.01819307
1,-0.02444342
1,-0.01433596
1,-0.00514794
1,-0.00353106
1,-0.00996225
1,-0.03795151
1,0.12275094
1,0.12043606
1,0.07683392
1,-0.01473208
1,0.08140424
1,0.00352648
1,0.03326258
1,0.08309709
1,0.05508875
1,0.16966347
1,-0.01117514
1,0.01164288
1,0.00879902
1,0.03844574
1,0.15745355
1,0.05793208
1,-0.04636123
1,-0.00057344
1,0.06488711
1,0.01582432
1,0.02346376
1,-0.02215346
1,0.01646076
1,-0.02014799
2,-0.00443850
2,-0.03539849
2,-0.05261855
2,-0.01877387
2,-0.03456723
2,0.04216183
2,-0.06101337
2,0.03175801
2,-0.05848073
2,-0.00635439
2,-0.02751774
2,0.03514610
2,0.00643492
2,-0.05258970
2,-0.07941726
2,-0.00759328
2,-0.02262643
2,-0.08352814
2,-0.01191877
2,-0.07200458
2,-0.04107275
2,-0.01897163
2,-0.04696491
2,-0.02557251
2,-0.05585521
2,-0.00105972
2,0.02169648
2,-0.09309098
2,-0.02725801
2,-0.02940892
2,-0.06026344
2,-0.04335202
2,-0.03605762
2,-0.03108349
2,-0.00605455
2,-0.06221090
2,-0.01735881
2,-0.02294082
2,-0.04011542
2,-0.02118845
2,0.02121128
2,-0.01589123
2,-0.06389197
2,-0.01212574
2,-0.05468789
2,-0.04010370
2,-0.04912854
2,-0.04529245
2,-0.03220004
2,-0.00599545
2,-0.06458717
2,-0.04346025
2,-0.02340117
2,-0.00634575
2,0.01787170
2,-0.06462824
2,-0.05618054
2,-0.02768072
2,-0.03454339
2,-0.00017130
2,-0.04923910
2,-0.02975308
2,-0.00071529
2,0.01804819
2,-0.04643667
2,0.01497516
2,-0.02546327
2,-0.05949527
2,-0.02052271
2,-0.01097540
2,-0.08924557
2,-0.03173313
2,0.03250858
2,-0.02573006
2,-0.02768443
2,-0.03382300
2,-0.06192418
2,-0.05301801
2,-0.02891715
2,-0.03540249
2,-0.05016926
2,-0.02887932
2,-0.02518068
2,0.01104521
2,-0.03891905
2,-0.00201269
2,-0.02074906
2,-0.02448155
2,-0.04403843
2,-0.05234887
2,-0.01620710
2,-0.00186144
2,-0.02521017
2,-0.01330815
2,0.02688157
2,-0.01911488
2,-0.02628507
2,-0.02074318
2,-0.02525454
2,-0.05546485
2,-0.01278634
2,-0.03891942
2,-0.07296891
2,-0.06539618
2,0.01154508
2,-0.02440445
2,-0.05143343
2,-0.02444242
2,-0.02415367
2,0.03568837
2,-0.03479214
2,-0.05398144
2,0.00471142
2,-0.01662262
2,-0.00399175
2,-0.04310692
2,-0.06041504
2,-0.03046340
2,0.00325574
2,-0.06521636
2,0.04659494
2,-0.03614764
2,-0.02950974
2,-0.04391955
2,-0.02802060
2,0.06630364
2,-0.05813104
2,-0.11077826
2,0.01975525
2,-0.03027246
2,-0.00063713
2,-0.01191168
2,-0.02148357
2,-0.03102598
2,-0.04586616
2,-0.02668493
2,-0.00767027
2,-0.03118753
2,-0.03523989
2,-0.07824148
2,0.00263324
2,-0.01540850
2,-0.04227087
2,-0.03613192
2,-0.01070228
2,-0.02497463
2,-0.06205807
2,0.03516354
2,-0.01894474
2,-0.03031349
2,-0.06190883
2,-0.05594530
2,-0.02375651
2,-0.03134132
2,-0.03222254
2,-0.00464103
2,-0.00203140
2,-0.04945717
2,-0.00678627
2,-0.03326354
2,-0.03928153
2,-0.02142348
2,-0.04581202
2,0.02268841
2,-0.01568330
2,-0.02395977
2,-0.02702948
2,-0.02321710
2,-0.02965737
2,-0.02973006
2,0.06918909
2,-0.00882959
2,-0.01415744
2,-0.02965724
2,-0.01420051
2,-0.03835294
2,0.00651950
2,-0.01118639
2,-0.01135330
2,-0.05198679
2,-0.05046682
2,-0.00280292
2,-0.02939747
2,-0.03340956
2,0.05782452
2,0.00714477
2,-0.00131752
2,0.02583588
2,-0.01788901
2,-0.07159851
2,-0.06131337
2,-0.02586989
2,-0.06340130
2,0.02809882
2,-0.00055366
2,-0.03200188
2,-0.01781413
2,-0.06159982
2,0.02255186
2,0.01121795
2,-0.01936381
2,-0.01429080
2,0.03256061
2,-0.02047705
2,-0.01368707
2,-0.03393057
2,-0.03300818
2,-0.00138448
2,-0.03376259
2,-0.01792228
2,-0.07541622
2,-0.00143044
2,-0.06919342
2,-0.03717157
2,-0.03574015
2,-0.04869266
2,0.00089567
2,-0.05770969
2,0.00181052
2,-0.03833168
2,-0.04073260
2,-0.01791141
2,-0.06698641
2,-0.03425120
2,-0.04964877
2,-0.02077450
2,-0.04059447
2,0.01452045
2,-0.05743190
2,-0.05291383
2,-0.08886988
2,-0.03623444
2,-0.01488511
2,0.02815767
2,-0.03951934
3,0.03778272
3,-0.00382762
3,0.01487579
3,-0.02678222
3,-0.05783604
3,0.02610536
3,-0.03988110
3,-0.03538624
3,-0.01430742
3,-0.02775995
3,-0.01715320
3,-0.03801972
3,-0.04804666
3,-0.01061044
3,-0.03116406
3,-0.07617402
3,0.00289431
3,-0.05687348
3,-0.03296065
3,0.04685615
3,0.02986792
3,-0.03392095
3,-0.03965189
3,-0.04142018
3,-0.03746919
3,-0.01847733
3,-0.04287671
3,-0.00445771
3,-0.01352775
3,-0.01571415
3,-0.04526937
3,-0.03068428
3,-0.04104926
3,0.00549115
3,0.02889797
3,-0.07716868
3,-0.07766129
3,-0.01780866
3,-0.00481581
3,-0.05265299
3,-0.03637886
3,-0.02814987
3,-0.03606620
3,-0.02370859
3,-0.05839660
3,0.08863190
3,-0.01090072
3,-0.03685541
3,-0.04855522
3,-0.00433730
3,-0.02964774
3,-0.01473076
3,0.03330560
3,-0.07003456
3,-0.01765130
3,0.01631136
3,0.00053716
3,-0.04104040
3,-0.00513565
3,0.01484060
3,-0.03810430
3,-0.03715593
3,-0.02804656
3,-0.02971153
