window,alpha
0,0.03445120
0,0.07578402
0,0.06708587
0,0.03492074
0,-0.01754226
0,0.11750544
0,0.05764866
0,0.07927794
0,0.03859333
0,0.07016587
0,-0.00043961
0,0.02118019
0,0.07105240
0,0.00715358
0,0.01230418
0,0.06305844
0,0.06968061
0,0.00066940
0,0.11484615
0,0.06167088
0,0.07335866
0,0.11485739
0,0.02591188
0,0.08826026
0,0.02220382
0,0.07379327
0,0.01039099
0,0.00183806
0,-0.00211250
0,0.03534330
0,0.04100090
0,-0.00700005
0,0.00110795
0,0.05352746
0,0.03734914
0,0.06141793
0,-0.00343940
0,0.12609614
0,0.05151058
0,0.07227889
0,0.11172501
0,-0.01873118
0,0.02583463
0,0.01937426
0,0.04361231
0,0.04997052
0,0.06279672
0,0.05439470
0,0.06792175
0,-0.00531135
0,0.00739241
0,0.11086699
0,0.03237664
0,0.03044287
0,0.07816288
0,0.05322352
0,0.06180224
0,0.04930314
0,0.04071039
0,-0.00732349
0,0.00212067
0,0.02855245
0,0.06951334
0,0.11041885
0,0.01508911
0,0.00597894
0,0.03647446
0,0.00518400
0,0.00476956
0,-0.01797699
0,0.04313347
0,0.06940558
0,0.03397613
0,-0.00796000
0,0.05450105
0,0.12678291
0,0.02536461
0,0.12186360
0,0.08396185
0,0.05869530
0,-0.01106978
0,0.01078725
0,0.00145495
0,0.10602712
0,0.01276822
0,-0.00675810
0,-0.03416646
0,0.05498613
0,-0.01049401
0,-0.00478000
0,0.05731779
0,-0.00378213
0,0.12763636
0,0.03312049
0,0.04182628
0,0.01876796
0,0.03642545
0,0.03152533
0,0.06853744
0,0.02562783
0,0.11609324
0,0.08168957
0,0.07893222
0,0.04803209
0,-0.01797286
0,0.00820171
0,0.01144467
0,0.05143875
0,-0.00647777
0,-0.01466769
0,0.08161008
0,0.04988341
0,0.09320731
0,0.13868237
0,0.08625317
0,0.06355944
0,0.05228819
0,-0.01188074
0,-0.02932810
0,0.05380126
0,0.07079846
0,0.03631914
0,0.03913728
0,0.03041860
0,0.05090486
0,0.03201824
0,0.07985760
0,-0.01818011
0,-0.00042509
0,-0.01448320
0,0.01849724
0,0.06633539
0,-0.02131452
