spec,seed,pooled_sharpe,n_neg_windows,worst_window_sharpe,windows
E2,42,0.112,2,-3.19,-1.30 +0.30 -3.19 +1.53 +1.09 +2.72 +nan +nan +nan +nan +nan +nan
E8,42,0.056,2,-3.25,-1.28 +0.34 -3.25 +1.54 +0.01 +2.82 +nan +nan +nan +nan +nan +nan
PRANDOM,42,0.096,2,-3.12,-1.25 +1.19 -3.12 +1.32 +0.90 +2.48 +nan +nan +nan +nan +nan +nan
PNOISY,42,-0.396,4,-3.33,-1.26 +1.25 -3.33 -1.67 -1.01 +2.64 +nan +nan +nan +nan +nan +nan
E2,43,-0.105,3,-3.13,-1.32 +0.77 -3.13 -1.25 +1.04 +2.56 +nan +nan +nan +nan +nan +nan
E8,43,-0.017,3,-3.31,-1.32 -0.80 -3.31 +1.74 +1.23 +2.57 +nan +nan +nan +nan +nan +nan
PRANDOM,43,-0.545,5,-3.25,-1.30 -0.82 -3.25 -1.61 -0.70 +2.62 +nan +nan +nan +nan +nan +nan
PNOISY,43,-0.546,5,-3.47,-1.30 -0.81 -3.47 -1.63 -0.74 +2.74 +nan +nan +nan +nan +nan +nan
E2,44,-0.012,3,-3.22,-1.28 -0.67 -3.22 +1.51 +0.98 +2.69 +nan +nan +nan +nan +nan +nan
E8,44,-0.345,4,-3.19,-1.27 -0.61 -3.19 -1.81 +0.90 +2.80 +nan +nan +nan +nan +nan +nan
PRANDOM,44,-0.395,4,-3.19,-1.24 -0.95 -3.19 +1.17 -1.23 +2.57 +nan +nan +nan +nan +nan +nan
PNOISY,44,-0.358,4,-3.41,-1.26 -0.98 -3.41 +1.24 -1.18 +2.71 +nan +nan +nan +nan +nan +nan
