market,spec,benchmark,rms_deep_pct,rms_bench_pct,diff_pp,ci_lo,ci_hi,p_diff_le0,p_diff_ge0,n_windows
PK,E2,Market,5.0644,5.2258,-0.1565,-0.5549,0.1535,0.7761,0.2239,6
PK,E2,q-factor,4.3478,5.9362,-1.5776,-3.9704,1.5076,0.8524,0.1476,3
PK,E2,LASSO,5.0644,4.3762,0.6834,0.0009,1.5919,0.024,0.976,6
PK,E2,PCA(5),5.0644,5.3792,-0.3063,-1.1808,0.3585,0.7361,0.2639,6
PK,E2,Linear SDF (SY),5.0644,6.6658,-1.5672,-2.4597,-0.4172,0.9999,0.0001,6
PK,E2,Linear SDF (all),5.0644,4.9525,0.1284,-0.7452,0.9887,0.3893,0.6107,6
PK,E3,Market,4.8275,5.2258,-0.3924,-0.7885,0.0446,0.9512,0.0488,6
PK,E3,q-factor,4.4433,5.9362,-1.4841,-3.6273,1.5361,0.8548,0.1452,3
PK,E3,LASSO,4.8275,4.3762,0.4475,0.0828,0.9011,0.0,1.0,6
PK,E3,PCA(5),4.8275,5.3792,-0.5422,-1.2264,0.0289,0.9619,0.0381,6
PK,E3,Linear SDF (SY),4.8275,6.6658,-1.8031,-3.1681,-0.3496,0.999,0.001,6
PK,E3,Linear SDF (all),4.8275,4.9525,-0.1075,-0.7569,0.4328,0.6104,0.3896,6
PK,E4A,Market,4.5059,5.2258,-0.713,-1.6786,0.0381,0.9566,0.0434,6
PK,E4A,q-factor,4.3881,5.9362,-1.5404,-3.6213,1.4075,0.8543,0.1457,3
PK,E4A,LASSO,4.5059,4.3762,0.1269,-0.1884,0.4999,0.242,0.758,6
PK,E4A,PCA(5),4.5059,5.3792,-0.8628,-1.6932,0.0201,0.9733,0.0267,6
PK,E4A,Linear SDF (SY),4.5059,6.6658,-2.1237,-3.953,-0.412,0.9989,0.0011,6
PK,E4A,Linear SDF (all),4.5059,4.9525,-0.4281,-1.0701,0.2323,0.892,0.108,6
PK,E4B,Market,4.7358,5.2258,-0.4831,-1.0432,0.0408,0.9506,0.0494,6
PK,E4B,q-factor,4.4525,5.9362,-1.4743,-3.6243,1.5925,0.853,0.147,3
PK,E4B,LASSO,4.7358,4.3762,0.3568,0.0988,0.6918,0.0,1.0,6
PK,E4B,PCA(5),4.7358,5.3792,-0.6329,-1.2964,0.0257,0.9666,0.0334,6
PK,E4B,Linear SDF (SY),4.7358,6.6658,-1.8938,-3.4082,-0.3161,0.9985,0.0015,6
PK,E4B,Linear SDF (all),4.7358,4.9525,-0.1982,-0.8177,0.3819,0.7068,0.2932,6
PK,E5A,Market,4.8294,5.2258,-0.3896,-1.0591,0.2907,0.8512,0.1488,6
PK,E5A,q-factor,4.406,5.9362,-1.5213,-3.6729,1.5076,0.8436,0.1564,3
PK,E5A,LASSO,4.8294,4.3762,0.4503,0.2143,0.7207,0.0,1.0,6
PK,E5A,PCA(5),4.8294,5.3792,-0.5394,-1.348,0.2705,0.8874,0.1126,6
PK,E5A,Linear SDF (SY),4.8294,6.6658,-1.8003,-3.4202,-0.2082,0.9967,0.0033,6
PK,E5A,Linear SDF (all),4.8294,4.9525,-0.1047,-0.7868,0.4118,0.5957,0.4043,6
PK,E5B,Market,4.8055,5.2258,-0.4133,-1.0908,0.2348,0.8779,0.1221,6
PK,E5B,q-factor,4.4045,5.9362,-1.5223,-3.6853,1.5361,0.8521,0.1479,3
PK,E5B,LASSO,4.8055,4.3762,0.4266,0.2015,0.6845,0.0,1.0,6
PK,E5B,PCA(5),4.8055,5.3792,-0.5631,-1.308,0.226,0.9084,0.0916,6
PK,E5B,Linear SDF (SY),4.8055,6.6658,-1.824,-3.459,-0.2405,0.9978,0.0022,6
PK,E5B,Linear SDF (all),4.8055,4.9525,-0.1284,-0.7842,0.3939,0.6401,0.3599,6
PK,E8,Market,4.6831,5.2258,-0.5408,-1.1068,0.0197,0.9661,0.0339,6
PK,E8,q-factor,4.3269,5.9362,-1.6089,-3.8519,1.3766,0.8535,0.1465,3
PK,E8,LASSO,4.6831,4.3762,0.2991,0.0104,0.672,0.0149,0.9851,6
PK,E8,PCA(5),4.6831,5.3792,-0.6906,-1.4054,0.0125,0.9714,0.0286,6
PK,E8,Linear SDF (SY),4.6831,6.6658,-1.9515,-3.4356,-0.4478,0.9998,0.0002,6
PK,E8,Linear SDF (all),4.6831,4.9525,-0.2559,-0.8287,0.2293,0.799,0.201,6
PK,E8B,Market,4.6768,5.2258,-0.5468,-1.2403,0.0879,0.9408,0.0592,6
PK,E8B,q-factor,4.4076,5.9362,-1.5288,-3.6171,1.4051,0.8514,0.1486,3
PK,E8B,LASSO,4.6768,4.3762,0.2931,0.0959,0.6265,0.0,1.0,6
PK,E8B,PCA(5),4.6768,5.3792,-0.6966,-1.4413,0.0623,0.9457,0.0543,6
PK,E8B,Linear SDF (SY),4.6768,6.6658,-1.9575,-3.5831,-0.3641,0.9986,0.0014,6
PK,E8B,Linear SDF (all),4.6768,4.9525,-0.2619,-0.859,0.28,0.8186,0.1814,6
