window,alpha
0,0.03309963
0,0.07325613
0,0.06498069
0,0.03236732
0,-0.01800640
0,0.11617623
0,0.05549248
0,0.07577278
0,0.03579276
0,0.05699800
0,0.06805468
0,-0.00155218
0,0.02002822
0,0.01194293
0,0.06902635
0,0.00557388
0,0.01138333
0,0.06045326
0,0.06663097
0,-0.00029548
0,0.10957841
0,0.05827231
0,0.06971011
0,0.11138842
0,0.02445447
0,0.08420915
0,0.01964900
0,0.07147096
0,0.00942027
0,0.00020985
0,-0.00247667
0,0.03412506
0,0.03779190
0,-0.00736561
0,-0.00024231
0,0.05129591
0,0.03698729
0,0.05912660
0,-0.00236363
0,0.12300215
0,0.04993279
0,0.06793872
0,0.10737465
0,-0.01973006
0,0.02467769
0,0.01834295
0,0.04264395
0,0.04765818
0,0.05895523
0,0.05175583
0,0.06532090
0,-0.00847669
0,0.00512927
0,0.10772414
0,0.02959935
0,0.02697026
0,0.01786711
0,0.07712453
0,0.05126855
0,-0.01730075
0,0.06073653
0,0.01129095
0,0.04848365
0,0.03875411
0,-0.00825547
0,0.00119660
0,0.02738384
0,0.06615417
0,0.10746643
0,0.01258699
0,0.00500226
0,0.03417658
0,0.00429445
0,0.00399082
0,-0.01779451
0,0.04086131
0,0.06605295
0,0.07978694
0,0.03273616
0,-0.01007324
0,0.05289301
0,0.12181937
0,0.02309137
0,0.11676243
0,0.07891882
0,0.05668244
0,-0.01130084
0,0.00924627
0,0.00052375
0,0.10268795
0,0.01154596
0,-0.00744433
0,-0.03590596
0,0.05300196
0,-0.01251969
0,-0.00573256
0,0.00623696
0,0.05448972
0,-0.00344390
0,0.12417824
0,0.03103845
0,0.03954405
0,0.01824349
0,0.03511347
0,0.02862178
0,0.06550220
0,0.02541940
0,0.11260145
0,0.03091725
0,0.08146968
0,0.07591353
0,0.04492718
0,-0.01976025
0,0.00726813
0,0.00981636
0,0.04793510
0,-0.00691541
0,0.11951791
0,-0.01602893
0,0.07663766
0,0.04792759
0,0.08831289
0,0.13505800
0,0.08268907
0,0.06271552
0,0.04894261
0,-0.01286080
0,-0.02857744
0,0.00864969
0,0.05167459
0,0.06885340
0,0.03419549
0,0.03618757
0,0.02799091
0,0.04919500
0,0.02935194
0,0.07706320
0,-0.01649735
0,-0.00167779
0,-0.01589802
0,0.01642942
0,0.06308889
0,-0.02126646
0,-0.01959920
0,0.01631923
0,0.04915361
0,-0.01966501
0,0.01170232
0,0.02789001
0,0.02199651
0,0.03055350
0,-0.00597264
0,0.04379519
0,0.04778040
0,0.00812497
0,-0.01219631
0,0.02646117
0,0.07810017
0,0.03615465
0,-0.03237391
0,0.02488337
0,0.05963690
0,-0.04558063
0,0.03755156
0,0.01529104
0,0.11397491
0,0.04126756
0,0.04865722
0,-0.05535774
0,0.00627055
0,-0.02482809
0,-0.02840574
0,-0.01004898
0,0.03299542
0,0.05271090
0,0.00188087
0,0.02928022
0,0.01926268
0,-0.03189072
0,0.03153192
0,0.04913722
0,0.05025477
0,-0.01496576
0,0.00475701
0,0.10101464
0,0.10508198
0,-0.02087900
0,-0.04025011
0,0.04462094
0,-0.03013712
0,-0.00062646
0,0.00240360
0,0.01064352
0,0.04776245
0,0.08373963
0,0.05682692
0,0.00581440
0,-0.00676857
0,0.05622930
0,-0.02413741
0,0.07192001
0,-0.01235741
0,-0.01962048
0,0.01285913
0,0.03128834
0,0.02646316
0,0.00578317
0,-0.01802088
0,0.00304921
0,0.08951835
0,0.02571630
0,0.00076942
0,-0.00578597
0,-0.00198058
0,-0.00804613
0,0.04208153
0,0.04438978
0,-0.00034774
0,0.03341057
0,0.03545197
0,0.03020986
0,0.10306264
0,0.04851401
0,0.02091035
0,0.03271071
0,0.04934439
0,0.10572940
0,0.02128548
0,-0.00553715
0,0.09834914
0,0.03141855
0,0.19612126
0,0.04486857
0,0.07515448
0,-0.00934432
0,-0.00526547
0,0.00832826
1,-0.01283025
1,-0.00549447
1,-0.00982617
1,0.02535741
1,0.04883137
1,0.05466052
1,-0.00903544
1,0.00032332
1,0.00084462
1,0.13737054
1,-0.00893114
1,-0.02030989
1,0.03342194
1,0.04104190
1,0.00045248
1,0.02330953
1,-0.01937670
1,0.00237906
1,0.02621458
1,-0.01158402
1,-0.01390194
1,0.01533720
1,-0.02116405
1,0.05199771
1,-0.05708193
1,0.00109110
1,0.06488597
1,0.00939740
1,0.05180134
1,-0.03802745
1,0.11722761
1,-0.00085700
1,-0.02339330
1,0.04120609
1,0.07569082
1,-0.01208447
1,-0.00712233
1,-0.01962492
1,0.06114949
1,-0.03026565
1,-0.01977131
1,-0.06534452
1,-0.02543315
1,-0.00344064
1,0.02743540
1,0.03361043
1,0.07417782
1,0.09926412
1,-0.00513296
1,0.01696022
1,0.08640448
1,-0.01448776
1,0.03951525
1,-0.05779598
1,0.08502948
1,0.01932506
1,0.08240203
1,0.02089888
1,0.07523580
1,0.00666515
1,0.05589719
1,0.02691889
1,0.02357048
1,-0.01757920
1,0.00020580
1,-0.00490936
1,-0.01269865
1,-0.00965887
1,0.00790322
1,-0.01113658
1,-0.00292304
1,-0.01697216
1,0.02755007
1,-0.02111828
1,0.07270598
1,0.02902183
1,-0.03361106
1,0.03129428
1,0.09623718
1,0.02539948
1,-0.00573375
1,-0.01589580
1,0.00837681
1,-0.02225795
1,0.01839375
1,-0.01375204
1,0.02075884
1,0.01966757
1,-0.02125540
1,-0.07787445
1,-0.00496131
1,0.03389758
1,-0.00565678
1,0.04821227
1,-0.01078179
1,-0.01380015
1,0.09273324
1,0.00236798
1,0.01009655
1,-0.01151866
1,0.04081659
1,-0.04935194
1,-0.01190541
1,0.01529343
1,-0.02809701
1,0.00683992
1,0.07473253
1,0.00661393
1,0.00425731
1,0.04492673
1,0.09938433
1,0.02801283
1,-0.00754957
1,0.04297994
1,-0.02124676
1,-0.00225479
1,0.00049493
1,0.08435921
1,0.02377746
1,0.06911310
1,0.02161751
1,0.01629090
1,0.01478150
1,-0.00834611
1,0.00994369
1,0.03706766
1,0.01765437
1,0.00630636
1,-0.00153508
1,0.00540624
1,0.07132813
1,0.00105774
1,-0.00988067
1,0.05124417
1,0.04409237
1,0.01151907
1,-0.00370285
1,0.03608617
1,-0.04362169
1,0.06721146
1,-0.00315140
1,0.01466002
1,0.03786431
1,-0.01756305
1,0.05260660
1,0.01489147
1,0.06585246
1,-0.01356452
1,-0.01327154
1,0.04436012
1,-0.01039319
1,-0.01188116
1,-0.01805868
1,0.07523652
1,0.09762629
1,-0.02270825
1,0.07542243
1,-0.00530562
1,0.04285071
1,-0.00355258
1,0.00900957
1,0.01758826
1,0.02551472
1,-0.03095504
1,-0.01727324
1,-0.00275133
1,0.03698964
1,-0.00889750
1,-0.06528669
1,-0.05213152
1,-0.01064492
1,0.03175204
1,-0.02154580
1,-0.02050613
1,0.04474578
1,0.03408631
1,0.04413154
1,-0.00756441
1,0.02223772
1,0.02769292
1,-0.00429444
1,0.09594857
1,-0.01474651
1,-0.00026533
1,0.02503755
1,0.07391592
1,0.01224883
1,-0.02519873
1,-0.00358512
1,0.06234235
1,-0.00565095
1,-0.01737385
1,0.01283901
1,0.00748352
1,0.02476421
1,-0.02496838
1,-0.02497268
1,-0.04282852
1,0.00866904
1,-0.02172038
1,-0.04171034
1,0.00093327
1,-0.04429997
1,-0.02469362
1,-0.00288061
1,-0.01407269
1,0.00768311
1,0.03455335
1,0.01065573
1,0.04022083
1,0.01732267
1,-0.02487984
1,-0.01467100
1,-0.00602331
1,-0.00356196
1,-0.01028444
1,-0.03854727
1,0.12105016
1,0.11973364
1,0.07555361
1,-0.01436424
1,0.08003434
1,0.00198504
1,0.03241840
1,0.08218890
1,0.05391164
1,0.16795816
1,0.00805765
1,-0.01139554
1,0.01059064
1,0.00823158
1,0.03698685
1,0.15615059
