window,alpha
0,0.03483182
0,0.07653978
0,0.06776696
0,0.03578677
0,-0.01722090
0,0.11836162
0,0.05831084
0,0.08040389
0,0.03940361
0,0.05834210
0,0.07065721
0,0.00002022
0,0.02160956
0,0.01729821
0,0.07201921
0,0.00771146
0,0.01258434
0,0.06384474
0,0.07070851
0,0.00102554
0,0.11632320
0,0.06286538
0,0.07462904
0,0.11553603
0,0.02637537
0,0.08955577
0,0.02295753
0,0.07462453
0,0.01097599
0,0.00243797
0,-0.00191962
0,0.03596687
0,0.04196891
0,-0.00677874
0,0.00166970
0,0.05410309
0,0.03733524
0,0.06229286
0,-0.00381730
0,0.12713973
0,0.05211945
0,0.07344589
0,0.11280354
0,-0.01837954
0,0.02638109
0,0.01983241
0,0.04379516
0,0.05084880
0,0.06401300
0,0.05522536
0,0.06878776
0,-0.00424331
0,0.00804900
0,0.11173144
0,0.03326467
0,0.03157984
0,0.02104414
0,0.07862745
0,0.05392357
0,-0.01668223
0,0.06222190
0,0.01148479
0,0.04953280
0,0.04137339
0,-0.00702280
0,0.00239187
0,0.02899423
0,0.07034271
0,0.11135406
0,0.01586175
0,0.00629846
0,0.03708499
0,0.00556644
0,0.00481137
0,-0.01820664
0,0.04413762
0,0.07058199
0,0.08328309
0,0.03450098
0,-0.00712053
0,0.05503919
0,0.12825742
0,0.02606388
0,0.12352559
0,0.08553620
0,0.05922640
0,-0.01071109
0,0.01130092
0,0.00185106
0,0.10685661
0,0.01317433
0,-0.00660422
0,-0.03346281
0,0.05554491
0,-0.00981159
0,-0.00434661
0,0.00891637
0,0.05804026
0,-0.00392283
0,0.12874506
0,0.03384326
0,0.04243834
0,0.01892711
0,0.03694662
0,0.03245111
0,0.06951191
0,0.02585934
0,0.11753934
0,0.03189942
0,0.08186863
0,0.07972414
0,0.04889844
0,-0.01742661
0,0.00821505
0,0.01200173
0,0.05260174
0,-0.00621079
0,0.12368274
0,-0.01422675
0,0.08304311
0,0.05057469
0,0.09468829
0,0.13967253
0,0.08749851
0,0.06385381
0,0.05344787
0,-0.01140353
0,-0.02941888
0,0.01038657
0,0.05458105
0,0.07151806
0,0.03709985
0,0.04002605
0,0.03129691
0,0.05150547
0,0.03290130
0,0.08071630
0,-0.01845716
0,-0.00007264
0,-0.01385231
0,0.01914495
0,0.06744195
0,-0.02131776
0,-0.01836310
0,0.01949283
0,0.05143850
0,-0.01814724
0,0.01182474
0,0.02986929
0,0.02569517
0,0.03240702
0,-0.00511107
0,0.04791299
0,0.05013629
0,0.00808701
0,-0.00960617
0,0.02879610
0,0.08328770
0,0.03641886
0,-0.03152504
0,0.02798214
0,0.06139436
0,-0.04474969
0,0.04047136
0,0.01678944
0,0.11863901
0,0.04423830
0,0.05243706
0,-0.05541097
0,0.00872240
0,-0.02487324
0,-0.02585657
0,-0.00957666
0,0.03746145
0,0.05724164
0,0.00199304
0,0.03395945
0,0.02228325
0,-0.03161782
0,0.03274550
0,0.05003706
0,0.05375490
0,-0.01367213
0,0.00472588
0,0.10498606
0,0.10706849
0,-0.02076553
0,-0.04075358
0,0.04622632
