window,alpha
0,0.03527629
0,0.07740524
0,0.06841936
0,0.03657718
0,-0.01710610
0,0.11862513
0,0.05903373
0,0.08155552
0,0.04032305
0,0.05870619
0,0.07138836
0,0.00035729
0,0.02201604
0,0.01857172
0,0.07269873
0,0.00824493
0,0.01290793
0,0.06466076
0,0.07165704
0,0.00132080
0,0.11806998
0,0.06391936
0,0.07572698
0,0.11681897
0,0.02686307
0,0.09081548
0,0.02375926
0,0.07539205
0,0.01125045
0,0.00296857
0,-0.00178866
0,0.03630489
0,0.04302172
0,-0.00668749
0,0.00209428
0,0.05480669
0,0.03749092
0,0.06296408
0,-0.00412899
0,0.12813859
0,0.05259864
0,0.07498240
0,0.11427313
0,-0.01806641
0,0.02676145
0,0.02011257
0,0.04410916
0,0.05154085
0,0.06526684
0,0.05609295
0,0.06960730
0,-0.00325801
0,0.00881722
0,0.11275723
0,0.03414378
0,0.03263791
0,0.02149529
0,0.07895780
0,0.05461529
0,-0.01654041
0,0.06252398
0,0.01150163
0,0.04978759
0,0.04198124
0,-0.00672255
0,0.00267477
0,0.02933531
0,0.07142887
0,0.11226238
0,0.01663557
0,0.00660566
0,0.03781909
0,0.00584008
0,0.00511806
0,-0.01823269
0,0.04481726
0,0.07166061
0,0.08435802
0,0.03487037
0,-0.00645349
0,0.05557274
0,0.12984206
0,0.02678334
0,0.12518485
0,0.08716158
0,0.05988841
0,-0.01065117
0,0.01178861
0,0.00212800
0,0.10794744
0,0.01358342
0,-0.00635193
0,-0.03296220
0,0.05619549
0,-0.00914845
0,-0.00408119
0,0.00955963
0,0.05899192
0,-0.00402981
0,0.12990686
0,0.03450981
0,0.04316317
0,0.01911091
0,0.03736152
0,0.03336659
0,0.07047749
0,0.02594482
0,0.11851799
0,0.03208841
0,0.08191459
0,0.08073352
0,0.04993058
0,-0.01687700
0,0.00862929
0,0.01251677
0,0.05371962
0,-0.00606415
0,0.12466744
0,-0.01380068
0,0.08463421
0,0.05118871
0,0.09627145
0,0.14086054
0,0.08863077
0,0.06412732
0,0.05448449
0,-0.01113041
0,-0.02969329
0,0.01085157
0,0.05523646
0,0.07219440
0,0.03776705
0,0.04097119
0,0.03205583
0,0.05204998
0,0.03374806
0,0.08161660
0,-0.01895550
0,0.00031848
0,-0.01346418
0,0.01979039
0,0.06844049
0,-0.02133753
0,-0.01797114
0,0.02021008
0,0.05180474
0,-0.01775038
0,0.01187225
0,0.03032971
0,0.02654044
0,0.03286492
0,-0.00486345
0,0.04883301
0,0.05069400
0,0.00801193
0,-0.00901673
0,0.02952856
0,0.08458550
0,0.03649633
0,-0.03128357
0,0.02873514
0,0.06171636
0,-0.04459831
0,0.04112358
0,0.01715005
0,0.11980662
0,0.04503227
0,0.05335344
0,-0.05545458
0,0.00928824
0,-0.02484451
0,-0.02528419
0,-0.00948123
0,0.03844846
0,0.05826662
0,0.00204548
0,0.03510615
0,0.02298174
0,-0.03159582
0,0.03305580
0,0.05027145
0,0.05456177
0,-0.01339207
0,0.00471517
0,0.10593894
0,0.10725430
0,-0.02074115
0,-0.04086498
0,0.04673342
0,-0.03055389
0,-0.00021635
0,0.00531391
0,0.01238138
0,0.05049267
0,0.08638719
0,0.06174390
0,0.00689034
0,-0.00285065
0,0.06154663
0,-0.02214918
0,0.07526902
0,-0.01011167
0,-0.01785944
0,0.01422876
0,0.03601968
0,0.03069033
0,0.00489208
0,-0.01817332
0,0.00771014
0,0.09491143
0,0.02948034
0,0.00271786
0,-0.00417368
0,0.00125903
0,-0.00610659
0,0.04622234
0,0.04856785
0,-0.00026472
0,0.03687220
0,0.03537175
0,0.02923674
0,0.10698552
0,0.05099814
0,0.02374153
0,0.03810836
0,0.05369141
0,0.10995290
0,0.02430111
0,-0.00671087
0,0.10374837
0,0.03644061
0,0.20012915
0,0.04930517
0,0.07717779
0,-0.00650957
0,-0.00193458
0,0.00987263
1,-0.01274359
1,-0.00542301
1,-0.00923128
1,0.02626549
1,0.05021934
1,0.05461125
1,-0.00872767
1,0.00163501
1,0.00123993
1,0.13975872
1,-0.00856332
1,-0.01998816
1,0.03366300
1,0.04163991
1,0.00035918
1,0.02408633
1,-0.01909261
1,0.00245711
1,0.02751480
1,-0.01076278
1,-0.01363719
1,0.01621346
1,-0.02098107
1,0.05285967
1,-0.05669188
1,0.00108927
1,0.06582080
1,0.00996284
1,0.05257905
1,-0.03748021
1,0.11953819
1,-0.00018634
1,-0.02270958
1,0.04116612
1,0.07652953
1,-0.01169626
1,-0.00717183
1,-0.01910653
1,0.06143846
1,-0.02914621
1,-0.02015630
1,-0.06442150
1,-0.02522976
1,-0.00312414
1,0.02890507
1,0.03512741
1,0.07481066
1,0.10004469
1,-0.00397347
1,0.01887654
1,0.08824577
1,-0.01379183
1,0.03989486
1,-0.05715686
1,0.08684043
1,0.02007602
1,0.08340011
1,0.02160708
1,0.07601591
1,0.00697121
1,0.05601829
1,0.02790177
1,0.02386305
1,-0.01726690
1,0.00087217
1,-0.00466665
1,-0.01224166
1,-0.00907408
1,0.00838250
1,-0.01095314
1,-0.00194664
1,-0.01674970
1,0.02815752
1,-0.02132750
1,0.07308623
1,0.02983798
1,-0.03372325
1,0.03190176
1,0.09715772
1,0.02689352
1,-0.00547734
1,-0.01500721
1,0.00963689
1,-0.02181870
1,0.01871392
1,-0.01336927
1,0.02157937
1,0.02075942
1,-0.02114493
1,-0.07742091
1,-0.00488259
1,0.03523730
1,-0.00567960
1,0.04955124
1,-0.01044930
1,-0.01288967
1,0.09368497
1,0.00270270
1,0.01101295
1,-0.01110387
1,0.04176581
1,-0.04854928
1,-0.01147282
1,0.01638089
