window,alpha
0,0.03537420
0,0.07760105
0,0.06856134
0,0.03675165
0,-0.01708861
0,0.11871726
0,0.05917417
0,0.08184934
0,0.04055846
0,0.05875684
0,0.07155380
0,0.00043548
0,0.02205955
0,0.01888782
0,0.07286149
0,0.00835431
0,0.01298708
0,0.06485565
0,0.07188984
0,0.00137841
0,0.11846925
0,0.06416517
0,0.07599842
0,0.11706450
0,0.02696390
0,0.09115088
0,0.02394567
0,0.07560157
0,0.01131519
0,0.00307853
0,-0.00178026
0,0.03639536
0,0.04327488
0,-0.00666291
0,0.00219116
0,0.05496990
0,0.03751435
0,0.06313995
0,-0.00421055
0,0.12837222
0,0.05271256
0,0.07529055
0,0.11462482
0,-0.01798390
0,0.02685483
0,0.02020093
0,0.04418249
0,0.05172116
0,0.06556182
0,0.05630226
0,0.06979557
0,-0.00306698
0,0.00896444
0,0.11298504
0,0.03435600
0,0.03288763
0,0.02160492
0,0.07903690
0,0.05480105
0,-0.01651826
0,0.06256719
0,0.01151754
0,0.04987607
0,0.04211476
0,-0.00665216
0,0.00275743
0,0.02942413
0,0.07169691
0,0.11251014
0,0.01683233
0,0.00667932
0,0.03799078
0,0.00589730
0,0.00514580
0,-0.01823036
0,0.04497638
0,0.07194864
0,0.08465870
0,0.03495046
0,-0.00633196
0,0.05571711
0,0.13026232
0,0.02695033
0,0.12554856
0,0.08753740
0,0.06007136
0,-0.01063530
0,0.01191396
0,0.00220107
0,0.10821754
0,0.01367532
0,-0.00630673
0,-0.03285829
0,0.05635758
0,-0.00898877
0,-0.00401664
0,0.00969257
0,0.05926555
0,-0.00405178
0,0.13015147
0,0.03465337
0,0.04334542
0,0.01914728
0,0.03740603
0,0.03357852
0,0.07068557
0,0.02595248
0,0.11875664
0,0.03210640
0,0.08190588
0,0.08096056
0,0.05019478
0,-0.01675123
0,0.00873323
0,0.01262598
0,0.05397336
0,-0.00604544
0,0.12490764
0,-0.01370985
0,0.08502430
0,0.05134562
0,0.09664937
0,0.14113200
0,0.08886591
0,0.06416354
0,0.05473431
0,-0.01106451
0,-0.02975247
0,0.01095244
0,0.05537988
0,0.07239819
0,0.03791550
0,0.04122445
0,0.03226998
0,0.05213886
0,0.03392871
0,0.08181787
0,-0.01908769
0,0.00040383
0,-0.01335515
0,0.01994163
0,0.06866983
