spec,seed,sharpe,ev,rms_alpha_pct
E2,42,-0.0972,0.2525,5.1463
E2,43,0.1427,0.2543,5.0109
E2,44,-0.5404,0.2628,4.7693
E3,42,0.6546,0.2508,4.8481
E3,43,0.5656,0.1995,4.6830
E3,44,0.7179,0.2456,4.7949
E4A,42,0.4479,0.2474,4.7173
E4A,43,0.8783,0.2474,4.5175
E4A,44,0.3270,0.2520,4.5316
E4B,42,0.0535,0.2553,4.7311
E4B,43,-0.0129,0.2076,4.7402
E4B,44,0.8185,0.2509,4.6098
E5A,42,-0.3539,0.2564,4.8425
E5A,43,-0.9083,0.2613,4.8697
E5A,44,-0.5858,0.2629,4.8751
E5B,42,-0.0775,0.2596,4.8441
E5B,43,0.1044,0.2409,4.8441
E5B,44,-0.4797,0.2603,4.8539
E8,42,0.0250,0.2639,4.6941
E8,43,-0.5408,0.2557,5.0723
E8,44,-0.6008,0.2596,5.0173
E8B,42,0.4429,0.2579,4.9168
E8B,43,0.5763,0.2337,4.8266
E8B,44,0.4604,0.2567,4.8807
loadings_max|mean|,42,1.4440,0.5076,
loadings_max|mean|,43,0.0569,0.0336,
loadings_max|mean|,44,0.0974,0.0580,
