spec,seed,sharpe,ev,rms_alpha_pct
E2,42,0.1117,0.2580,4.7552
E2,43,-0.1048,0.2506,4.7855
E2,44,-0.0122,0.2604,4.7921
E3,42,0.7052,0.2081,4.7139
E3,43,0.8865,0.1982,4.7047
E3,44,0.6276,0.2635,4.6765
E4A,42,0.6371,0.2627,4.6703
E4A,43,-0.5168,0.2394,4.7425
E4A,44,0.3216,0.2357,4.6894
E4B,42,0.3809,0.2428,4.7195
E4B,43,-0.1254,0.2500,4.7267
E4B,44,0.1379,0.2064,4.7259
E5A,42,-0.3129,0.2601,4.8471
E5A,43,-0.9000,0.2613,4.8692
E5A,44,-0.6330,0.2600,4.8780
E5B,42,0.4270,0.2060,4.8001
E5B,43,0.2957,0.1983,4.8297
E5B,44,1.2977,0.2642,4.7915
E8,42,0.0560,0.2571,4.7145
E8,43,-0.0169,0.2625,4.7495
E8,44,-0.3453,0.2582,4.7261
E8B,42,0.2360,0.2101,4.6997
E8B,43,0.4519,0.1841,4.6982
E8B,44,0.5329,0.2561,4.6763
loadings_max|mean|,42,7.8050,0.5956,
loadings_max|mean|,43,6.7215,0.5123,
loadings_max|mean|,44,1.8038,0.1726,
