window,alpha
0,0.10319180
0,0.06009199
0,-0.00447891
0,0.00526878
0,0.00889663
0,-0.02488968
0,0.06010287
0,0.06100089
0,-0.02278166
0,-0.09717148
0,0.03397122
0,0.01541714
0,0.02504938
0,0.00414491
0,-0.01583002
0,0.02769795
0,0.00873173
0,-0.04135290
0,0.13726856
0,0.08621032
0,-0.00848250
0,0.00517023
0,0.00424151
0,0.05982515
0,0.10911268
0,0.14209183
0,-0.00564104
0,0.11704817
0,-0.01670495
0,0.06799255
0,0.08870239
0,0.07402994
0,0.03880398
0,0.14247423
0,0.02520931
0,0.15298162
0,-0.02233162
0,-0.01891668
0,0.04055936
0,0.06511892
0,0.12341722
0,0.15664020
0,-0.02396377
0,0.03790605
0,0.08680382
0,-0.03411624
0,0.03367206
0,0.04446542
0,0.06726650
0,0.02341664
0,0.00485298
0,-0.01026738
0,0.06419834
0,0.04892416
0,0.07125571
0,0.01724853
0,0.34264717
0,0.02612587
0,0.05874820
0,0.06048710
0,0.03421940
0,0.07591817
0,0.05606617
0,-0.02064192
0,0.07011139
0,0.11984982
0,0.03163650
0,-0.07089453
0,-0.01430558
0,0.07168772
0,0.01481232
0,0.07023552
0,0.05336997
0,-0.00649227
0,-0.00829117
0,-0.06588349
0,-0.03875792
0,-0.03243261
0,-0.04647842
0,0.01873040
0,0.13741885
0,0.18805535
0,0.02897756
0,-0.04091094
0,0.20471591
0,0.08533857
0,0.03067516
0,-0.01172849
0,-0.00385792
0,0.13494328
0,0.12879264
0,0.04039730
0,0.07373171
0,0.08958732
0,0.25481007
0,0.03512207
0,0.00011426
0,-0.01521267
0,-0.02030133
0,-0.04738504
0,0.17560284
0,0.09060802
0,0.02962572
0,0.09652057
0,0.04417342
0,0.09134050
0,-0.02739192
0,0.21872969
0,-0.01776829
0,0.05933695
0,-0.01059947
0,0.02627236
0,0.03099906
0,0.01087135
0,-0.01005968
0,0.02891249
0,0.01110162
0,-0.00760648
0,-0.02226416
0,0.00406826
0,-0.01851705
0,-0.00810668
0,0.01976615
0,0.06031972
0,0.02025239
0,0.04074046
0,0.05532472
0,0.07628264
0,0.19013567
0,0.18806694
0,-0.02326563
0,0.01664310
0,-0.01139539
0,0.00056203
0,0.00081056
0,-0.01913660
0,0.02436916
0,-0.01917079
0,0.00007883
0,-0.02277826
0,-0.00116457
0,-0.02152256
0,-0.02513105
0,0.04591975
0,0.05438144
0,0.00822155
0,0.03530608
0,0.03153376
0,0.01971053
0,-0.01612343
1,0.06417838
1,-0.01067288
1,0.00033619
1,0.05025911
1,0.01284737
1,0.00448537
1,0.10471463
1,0.06612829
1,0.11242780
1,-0.01967281
1,0.09928009
1,0.00068939
1,0.06406731
1,0.00915272
1,0.05964747
1,-0.01355504
1,0.02104980
1,0.02817371
1,-0.02083939
1,0.07424715
1,0.07196955
1,0.02538401
1,-0.00464622
1,-0.05521795
1,0.00782926
1,-0.00422859
1,0.00797663
1,-0.03841051
1,-0.03382232
1,0.02386253
1,-0.00303770
1,0.03193850
1,-0.03718936
1,0.02233691
1,0.02403416
1,-0.01752494
1,0.04224391
1,-0.00151336
1,0.02694016
1,0.03885906
1,-0.02484076
1,0.03707986
1,-0.04586089
1,-0.01098404
1,0.00807341
1,-0.01709768
1,-0.04790972
1,0.07583833
1,-0.03067117
1,-0.00203756
1,0.00869833
1,0.02506658
1,0.04264964
1,-0.00325105
1,0.05462220
1,0.00106672
1,-0.00141592
1,0.03408023
1,0.07069749
1,0.02729166
1,0.09460661
1,-0.02339530
1,0.03289100
1,0.02305804
1,-0.05865761
1,0.00763618
1,0.01902005
1,-0.00288885
1,0.01024631
1,0.01761520
1,0.01552398
1,-0.03166663
1,0.02920849
1,-0.02301505
1,-0.01620967
1,-0.05681189
1,-0.04893668
1,0.02953430
1,-0.07856701
1,0.04541594
1,-0.02535310
1,-0.01962573
1,0.08211976
1,0.04228420
1,-0.07472952
1,0.04021385
1,-0.03803499
1,-0.01995713
1,-0.00038728
1,0.06033070
1,-0.04335381
1,0.06725311
1,-0.01899204
1,-0.01538033
1,0.06867471
1,0.00003481
1,0.00702158
1,-0.05590373
1,0.01446149
1,-0.06354693
1,0.02654471
1,-0.02860668
1,0.05917991
1,-0.02820716
1,-0.04797394
1,0.06705309
1,0.02070489
1,0.02515765
1,-0.00723072
1,-0.02573405
1,0.02309767
1,-0.00584984
1,-0.00190505
1,0.02591659
