model,window,alpha
AE(1),1,0.01933856
AE(1),1,0.03791726
AE(1),1,-0.01009336
AE(1),1,-0.01511317
AE(1),1,-0.01646842
AE(1),1,-0.01358940
AE(1),1,-0.04268283
AE(1),1,0.04040760
AE(1),1,0.03914324
AE(1),1,-0.03507584
AE(1),1,-0.04071592
AE(1),1,0.00759182
AE(1),1,0.06366463
AE(1),1,0.01878151
AE(1),1,0.00457173
AE(1),1,-0.01075203
AE(1),1,-0.02565471
AE(1),1,0.00875826
AE(1),1,0.02864577
AE(1),1,0.06292312
AE(1),1,-0.02807201
AE(1),1,-0.07854703
AE(1),1,-0.05896272
AE(1),1,-0.01884248
AE(1),1,0.03299133
AE(1),1,0.05657344
AE(1),1,0.08206027
AE(1),1,0.01338598
AE(1),1,0.02237351
AE(1),1,0.04110117
AE(1),1,-0.02383188
AE(1),1,0.12414415
AE(1),1,-0.01516040
AE(1),1,-0.02619760
AE(1),1,0.02629106
AE(1),1,0.09790715
AE(1),1,0.05210541
AE(1),1,0.05658052
AE(1),1,0.01981171
AE(1),1,0.08744069
AE(1),1,-0.02405631
AE(1),1,0.03970335
AE(1),1,0.10679281
AE(1),1,0.02997839
AE(1),1,-0.02481239
AE(1),1,-0.05160451
AE(1),1,0.05656855
AE(1),1,0.08761066
AE(1),1,0.13465326
AE(1),1,0.02503271
AE(1),1,0.06221255
AE(1),1,0.02205074
AE(1),1,0.04706572
AE(1),1,0.04376113
AE(1),1,0.01222913
AE(1),1,0.02470554
AE(1),1,0.00518037
AE(1),1,0.09638150
AE(1),1,-0.02207320
AE(1),1,0.09209226
AE(1),1,0.05327273
AE(1),1,0.20023800
AE(1),1,0.03169852
AE(1),1,-0.04567209
AE(1),1,-0.03636526
AE(1),1,0.00366925
AE(1),1,0.07537195
AE(1),1,0.03363214
AE(1),1,0.08903140
AE(1),1,0.06338446
AE(1),1,-0.01709070
AE(1),1,0.10536000
AE(1),1,0.11395999
AE(1),1,0.04737741
AE(1),1,-0.03637850
AE(1),1,-0.02298973
AE(1),1,0.03238544
AE(1),1,-0.04429821
AE(1),1,0.02176837
AE(1),1,0.06172292
AE(1),1,-0.02011248
AE(1),1,0.00336085
AE(1),1,-0.01368489
AE(1),1,-0.04176079
AE(1),1,0.09722789
AE(1),1,-0.02127217
AE(1),1,0.02114951
AE(1),1,-0.00561392
AE(1),1,0.01810004
AE(1),1,0.06678489
AE(1),1,-0.00030550
AE(1),1,-0.00902898
AE(1),1,-0.02674112
AE(1),1,0.02573886
AE(1),1,-0.02747348
AE(1),1,0.03839626
AE(1),1,0.02303055
AE(1),1,0.01363331
AE(1),1,0.04363118
AE(1),1,-0.03788632
AE(1),1,-0.01053868
AE(1),1,0.14362674
AE(1),1,-0.00467220
AE(1),1,0.02080664
AE(1),1,0.01809206
AE(1),1,0.09120952
AE(1),1,0.05614693
AE(1),1,-0.03908675
AE(1),1,0.00432267
AE(1),1,0.03436049
AE(1),1,0.04094407
AE(1),1,0.01208518
AE(1),1,0.16058744
AE(1),1,0.09866042
AE(1),1,-0.05714339
AE(1),1,0.03252162
AE(1),1,0.00002206
AE(1),1,-0.07274895
AE(1),1,0.02103445
AE(1),1,0.05762544
AE(1),1,0.08459497
AE(1),1,0.08162083
AE(1),1,0.00995657
AE(1),1,-0.02552876
AE(1),1,-0.06348563
AE(1),1,-0.03516555
AE(1),1,0.03300243
AE(1),1,-0.00315292
AE(1),1,0.01542407
AE(1),1,-0.02922931
AE(1),1,0.00853985
AE(1),1,0.03425462
AE(1),1,0.02082495
AE(1),1,-0.03300987
AE(1),1,-0.03179250
AE(1),1,-0.02532831
AE(1),1,-0.08949255
AE(1),1,-0.09366827
AE(1),1,-0.06266540
AE(1),1,-0.05824560
AE(1),1,-0.07182393
AE(1),1,-0.02381372
AE(1),1,0.04740487
AE(1),1,0.08822911
AE(1),1,0.13714002
AE(1),1,0.10610189
AE(1),1,0.01891568
AE(1),1,0.07004024
AE(1),1,0.08263492
AE(1),1,-0.02720982
AE(1),1,0.12108874
AE(1),1,0.03069809
AE(1),1,0.03777605
AE(1),1,0.00571163
AE(1),1,0.02892265
AE(1),1,-0.04886848
AE(1),1,-0.01203831
AE(1),1,0.07570828
AE(1),1,0.02388024
AE(1),1,0.01131510
AE(1),1,0.01290011
AE(1),1,0.20599427
AE(1),1,0.05333439
AE(1),1,0.01699101
AE(1),1,0.03628198
AE(1),1,-0.03746015
AE(1),1,0.04731029
AE(1),1,-0.01002127
AE(1),1,0.13711178
AE(1),1,0.02181800
AE(1),1,0.06159528
AE(1),1,-0.02269449
AE(1),1,0.06548443
AE(1),1,-0.00790855
AE(1),1,-0.02598046
AE(1),1,0.08623582
AE(1),1,0.32220417
AE(1),1,0.06789040
AE(1),1,-0.00369421
AE(1),1,0.04838825
AE(1),1,0.03536411
AE(1),1,0.00311075
AE(1),1,0.03993409
AE(1),1,-0.04983264
AE(1),1,0.12216979
AE(1),1,0.10968193
AE(1),1,-0.03210347
AE(1),1,-0.03433373
AE(1),1,0.12047711
AE(1),1,-0.06100140
AE(1),1,-0.02766389
AE(1),1,-0.00171284
AE(1),1,0.06970004
AE(1),1,0.05745016
AE(1),1,0.00878066
AE(1),1,-0.00458269
AE(1),1,0.04508745
AE(1),1,0.03673817
AE(1),1,0.06771935
AE(1),1,-0.04909909
AE(1),1,-0.02933697
AE(1),1,0.15165297
AE(1),1,-0.03116018
AE(1),1,0.02966162
AE(1),1,0.15067107
AE(1),1,-0.02400608
AE(1),1,-0.00419754
AE(1),1,0.12053795
AE(1),1,0.16672228
AE(1),1,-0.02589333
AE(1),1,0.00944490
AE(1),1,-0.04266793
AE(1),1,0.00622198
AE(1),1,-0.02939330
AE(1),1,0.01672033
AE(1),1,0.00093557
AE(1),1,-0.01433329
AE(1),1,0.24517592
AE(1),1,-0.03273480
AE(1),1,-0.03284287
AE(1),1,0.06688535
AE(1),1,0.04653429
AE(1),1,-0.00849530
AE(1),1,-0.01245862
AE(1),1,0.03387814
AE(1),1,-0.06747148
AE(1),1,0.18160139
AE(1),1,0.00194173
AE(1),1,-0.00207739
AE(1),1,-0.04211373
AE(1),1,0.00849935
AE(1),1,-0.01813019
AE(1),1,0.01824244
AE(1),1,0.00659796
AE(1),1,0.06926888
AE(1),1,0.00483042
AE(1),1,0.02870265
AE(1),1,0.06380852
AE(1),1,0.15539989
AE(1),1,0.07887341
AE(1),1,-0.02513318
AE(1),1,0.02091009
AE(1),1,0.00079196
AE(1),1,0.00729662
AE(1),1,0.01889322
AE(1),1,0.20258054
AE(1),1,-0.05734798
AE(1),1,0.01116062
AE(1),1,0.00894545
AE(1),1,-0.02104409
AE(1),1,0.12512418
AE(1),1,0.10124585
AE(1),1,-0.03813593
AE(1),1,0.01001198
AE(1),1,-0.01337290
AE(1),1,-0.01406796
AE(1),1,-0.00834733
AE(1),1,-0.02767379
AE(1),1,0.05680371
AE(1),1,-0.00200014
AE(1),1,-0.02529236
AE(1),1,-0.02709202
AE(1),1,0.04220120
AE(1),1,0.03349356
AE(1),1,0.05189672
AE(1),1,-0.01295912
AE(1),1,0.00922572
AE(1),1,-0.02340337
AE(1),1,-0.00958153
AE(1),1,-0.03443263
AE(1),1,-0.03051501
AE(1),1,0.04283426
AE(1),1,0.04624447
AE(1),1,-0.02915371
AE(1),1,-0.00715363
AE(1),1,-0.02796550
AE(1),1,0.01884815
AE(1),1,-0.05716853
AE(1),1,-0.00834361
AE(1),1,0.08101222
AE(1),1,0.10211786
AE(1),1,0.02417720
AE(1),1,0.02193745
AE(1),1,0.04167738
AE(1),1,-0.02252240
AE(1),1,0.11535377
AE(1),1,0.01324590
AE(1),1,0.01965533
AE(1),1,0.02733284
AE(1),1,-0.02271137
AE(1),1,-0.04603322
AE(1),1,-0.04431293
AE(1),1,-0.01311935
AE(1),1,0.06926430
AE(1),1,-0.02688003
AE(1),2,0.03961690
AE(1),2,0.06797264
AE(1),2,-0.01090370
AE(1),2,0.00035543
AE(1),2,-0.02779708
AE(1),2,0.05220451
AE(1),2,0.01299997
AE(1),2,0.00445009
AE(1),2,0.11170809
AE(1),2,0.07087846
AE(1),2,0.11929051
AE(1),2,-0.02086784
AE(1),2,0.10543248
AE(1),2,0.00375478
AE(1),2,-0.00025658
AE(1),2,0.06805203
AE(1),2,0.00943715
AE(1),2,-0.03361072
AE(1),2,0.01082433
AE(1),2,-0.03019749
AE(1),2,0.06341188
AE(1),2,-0.07708697
AE(1),2,-0.01719559
AE(1),2,-0.01499972
AE(1),2,-0.02213044
AE(1),2,0.02187732
AE(1),2,0.17023742
AE(1),2,0.06467644
AE(1),2,-0.00469347
AE(1),2,0.22795229
AE(1),2,0.02921171
AE(1),2,-0.05710037
AE(1),2,-0.05300574
AE(1),2,-0.02179872
AE(1),2,0.03337711
AE(1),2,0.07854014
AE(1),2,0.00685415
AE(1),2,0.07585388
AE(1),2,0.02946997
AE(1),2,-0.00521593
AE(1),2,0.08698344
AE(1),2,0.05160853
AE(1),2,-0.05895307
AE(1),2,0.08329368
AE(1),2,-0.05175245
AE(1),2,0.00723593
AE(1),2,-0.00565042
AE(1),2,-0.01062927
AE(1),2,0.00620569
AE(1),2,0.05438538
AE(1),2,0.00823549
AE(1),2,0.00937608
AE(1),2,0.00628447
AE(1),2,-0.04176027
AE(1),2,-0.03653450
AE(1),2,-0.03323305
AE(1),2,0.04588215
AE(1),2,-0.03850353
AE(1),2,0.00521021
AE(1),2,0.06205286
AE(1),2,0.03453329
AE(1),2,0.02726809
AE(1),2,-0.01776342
AE(1),2,-0.03256661
AE(1),2,-0.02283230
AE(1),2,0.02460385
AE(1),2,-0.00274723
AE(1),2,0.03393509
AE(1),2,-0.04083376
AE(1),2,0.02467223
AE(1),2,-0.02781644
AE(1),2,0.13401268
AE(1),2,-0.02451063
AE(1),2,0.02948622
AE(1),2,0.02454740
AE(1),2,-0.01902154
AE(1),2,0.04474854
AE(1),2,-0.01321749
AE(1),2,0.02829526
AE(1),2,0.04050581
AE(1),2,-0.02654817
AE(1),2,-0.02794172
AE(1),2,0.00355480
AE(1),2,-0.02055685
AE(1),2,0.00945148
AE(1),2,0.03990129
AE(1),2,-0.04534972
AE(1),2,0.02611375
AE(1),2,0.05524916
AE(1),2,-0.04958224
AE(1),2,-0.01115001
AE(1),2,-0.01006659
AE(1),2,-0.00043989
AE(1),2,-0.02882165
AE(1),2,0.00808272
AE(1),2,-0.03377484
AE(1),2,0.03013296
AE(1),2,-0.05141306
AE(1),2,0.00083780
AE(1),2,0.07997067
AE(1),2,-0.03198957
AE(1),2,-0.00292240
AE(1),2,0.00921258
AE(1),2,0.05467449
AE(1),2,-0.00899481
AE(1),2,0.02634688
AE(1),2,0.00637714
AE(1),2,0.04450639
AE(1),2,0.05668079
AE(1),2,-0.00429746
AE(1),2,0.01276973
AE(1),2,0.05779662
AE(1),2,-0.02577176
AE(1),2,-0.03708344
AE(1),2,0.00044143
AE(1),2,-0.00229482
AE(1),2,0.00687149
AE(1),2,0.03526498
AE(1),2,-0.04951316
AE(1),2,0.06539650
AE(1),2,0.02953268
AE(1),2,0.00191719
AE(1),2,0.07755627
AE(1),2,0.10009288
AE(1),2,0.00093664
AE(1),2,0.00373475
AE(1),2,-0.02410826
AE(1),2,-0.10158457
AE(1),2,-0.00666786
AE(1),2,0.03457867
AE(1),2,0.01095348
AE(1),2,-0.01488051
AE(1),2,0.03004456
AE(1),2,-0.03188497
AE(1),2,0.02414437
AE(1),2,-0.01631342
AE(1),2,-0.06354499
AE(1),2,0.00129655
AE(1),2,0.00729821
AE(1),2,-0.04475688
AE(1),2,0.06933458
AE(1),2,0.01917736
AE(1),2,-0.00395984
AE(1),2,0.06248894
AE(1),2,0.01048025
AE(1),2,0.01851827
AE(1),2,-0.03887613
AE(1),2,0.05099059
AE(1),2,-0.01326335
AE(1),2,0.01561608
AE(1),2,0.06718755
AE(1),2,-0.03389157
AE(1),2,0.10461509
AE(1),2,0.10468979
AE(1),2,0.03090168
AE(1),2,-0.02464214
AE(1),2,0.16013608
AE(1),2,-0.01740361
AE(1),2,-0.06041076
AE(1),2,-0.02374266
AE(1),2,-0.05265335
AE(1),2,-0.01152791
AE(1),2,0.00832460
AE(1),2,0.10154947
AE(1),2,0.03211332
AE(1),2,-0.08237808
AE(1),2,-0.07651116
AE(1),2,0.04806783
AE(1),2,-0.07451113
AE(1),2,0.12290611
AE(1),2,-0.01526700
AE(1),2,-0.02423515
AE(1),2,-0.02739032
AE(1),2,-0.02130428
AE(1),2,0.08679018
AE(1),2,-0.05551648
AE(1),2,0.04399861
AE(1),2,0.01142545
AE(1),2,-0.08064695
AE(1),2,0.04262546
AE(1),2,-0.04029069
AE(1),2,-0.01920219
AE(1),2,-0.00632387
AE(1),2,0.03558895
AE(1),2,-0.05603907
AE(1),2,-0.01610028
AE(1),2,0.13072187
AE(1),2,0.06220039
AE(1),2,-0.00075831
AE(1),2,0.06316664
AE(1),2,-0.04670002
AE(1),2,0.12056556
AE(1),2,0.07138718
AE(1),2,-0.04378248
AE(1),2,-0.02041247
AE(1),2,-0.00960522
AE(1),2,-0.01820447
AE(1),2,0.05540546
AE(1),2,0.09825850
AE(1),2,-0.01711131
AE(1),2,0.05908228
AE(1),2,-0.00033404
AE(1),2,-0.00117920
AE(1),2,-0.00037218
AE(1),2,0.01146385
AE(1),2,0.03311872
AE(1),2,0.00265471
AE(1),2,0.03242230
AE(1),2,-0.05655038
AE(1),2,-0.00004780
AE(1),2,0.01993966
AE(1),2,0.01589205
AE(1),2,-0.04471066
AE(1),2,0.02403583
AE(1),2,0.03210161
AE(1),2,0.03807857
AE(1),2,-0.05463050
AE(1),2,-0.05926470
AE(1),2,0.01433504
AE(1),2,-0.01990186
AE(1),2,-0.05978661
AE(1),2,0.02765889
AE(1),2,0.11457305
AE(1),2,-0.01045866
AE(1),2,0.01818827
AE(1),2,-0.03026407
AE(1),2,0.04898080
AE(1),2,0.06194449
AE(1),2,0.04602089
AE(1),2,-0.03111834
AE(1),2,-0.04958072
AE(1),2,-0.01026294
AE(1),2,0.07251886
AE(1),2,0.02165288
AE(1),2,0.02566822
AE(1),2,0.08756460
AE(1),2,0.02176637
AE(1),2,-0.00757878
AE(1),2,-0.02770466
AE(1),2,0.02405816
AE(1),2,0.00414622
AE(1),2,0.03554365
AE(1),2,-0.00722280
AE(1),2,0.02707987
AE(1),2,0.12501948
AE(1),2,-0.01205876
AE(1),2,-0.00307201
AE(1),2,-0.00534937
AE(1),2,0.03383464
AE(1),2,0.18400760
AE(1),2,0.02739434
AE(1),2,0.00248815
AE(1),2,0.06062685
AE(1),2,-0.00864970
AE(1),2,0.00508351
AE(1),2,0.04472491
AE(1),2,0.02304953
AE(1),2,0.02802577
AE(1),2,0.06273058
AE(1),2,0.03004994
AE(1),2,0.00508903
AE(1),2,-0.03718572
AE(1),2,-0.01197272
AE(1),2,0.00842507
AE(1),2,0.10775965
AE(1),2,-0.00907934
AE(1),2,-0.00225282
AE(1),2,-0.08891435
AE(1),2,0.05287049
AE(1),2,0.05737416
AE(1),2,-0.00688002
AE(1),2,0.04953237
AE(1),2,0.04350422
AE(1),2,0.07746360
AE(1),2,0.04725653
AE(1),2,-0.00936835
AE(1),2,0.00142738
AE(1),2,0.04480264
AE(1),2,0.01168590
AE(1),2,-0.04918964
AE(1),2,0.03258573
AE(1),2,0.06989847
AE(1),2,-0.05742954
AE(1),2,0.14753125
AE(1),2,0.07212566
AE(1),2,-0.03315928
AE(1),2,-0.10569687
AE(1),2,-0.01328768
AE(1),2,-0.05076442
AE(1),2,-0.01352556
AE(1),2,-0.02103722
AE(1),2,-0.02384438
AE(1),2,0.00321203
AE(1),2,0.03123734
AE(1),2,0.05212080
AE(1),2,0.01368198
AE(1),2,-0.01163058
AE(1),2,0.02945640
AE(1),2,-0.01364058
AE(1),2,-0.05181052
AE(1),2,-0.00093648
AE(1),2,0.09580610
AE(1),2,0.01684394
AE(1),2,-0.00866282
AE(1),2,-0.02599392
AE(1),2,0.00445270
AE(1),2,0.03075765
AE(1),2,0.05918683
AE(1),2,0.01196987
AE(1),2,0.01188780
AE(1),2,-0.10596800
AE(1),2,0.03400306
AE(1),2,0.03526904
AE(1),2,0.00661971
AE(1),2,0.00620930
AE(1),2,0.00335545
AE(1),2,0.03951271
AE(1),2,0.08003952
AE(1),2,0.01078569
AE(1),2,-0.04672808
AE(1),2,0.08540333
AE(1),2,0.12842420
AE(1),2,-0.00746643
AE(1),2,0.00184295
AE(1),2,-0.04419478
AE(1),2,0.01408928
AE(1),2,0.01034895
AE(1),2,-0.00951341
AE(1),2,-0.03885288
AE(1),2,-0.00623316
AE(1),2,-0.02327093
AE(1),2,-0.00857634
AE(1),2,-0.00571030
AE(1),2,0.03855265
AE(1),2,-0.03825545
AE(1),2,0.01987527
AE(1),2,0.00078332
AE(1),2,0.08595713
AE(1),2,-0.03273728
AE(1),2,-0.05888630
AE(1),2,-0.01502982
AE(1),3,0.00521650
AE(1),3,0.01699976
AE(1),3,0.14364222
AE(1),3,0.02442729
AE(1),3,0.00597033
AE(1),3,0.04945887
AE(1),3,0.04113653
AE(1),3,0.06715943
AE(1),3,-0.00825619
AE(1),3,0.01790302
AE(1),3,0.08352522
AE(1),3,-0.02593463
AE(1),3,0.05035016
AE(1),3,0.00855882
AE(1),3,0.05683108
AE(1),3,0.00100114
AE(1),3,0.00851194
AE(1),3,0.03337559
AE(1),3,-0.00031415
AE(1),3,0.03875491
AE(1),3,0.01450410
AE(1),3,-0.01502892
AE(1),3,-0.01971004
AE(1),3,0.04196658
AE(1),3,-0.00558267
AE(1),3,0.06623027
AE(1),3,-0.01211911
AE(1),3,-0.11590782
AE(1),3,0.05878202
AE(1),3,0.06985235
AE(1),3,0.03204554
AE(1),3,-0.01914275
AE(1),3,-0.00515250
AE(1),3,0.01778508
AE(1),3,0.02317319
AE(1),3,0.04103182
AE(1),3,-0.00609275
AE(1),3,0.04887251
AE(1),3,0.02401791
AE(1),3,0.01913552
AE(1),3,0.04622072
AE(1),3,-0.03678043
AE(1),3,-0.01522621
AE(1),3,-0.03304227
AE(1),3,0.01671170
AE(1),3,-0.05502289
AE(1),3,0.06818979
AE(1),3,0.08784661
AE(1),3,0.14106734
AE(1),3,0.01208062
AE(1),3,0.02594304
AE(1),3,0.05752629
AE(1),3,0.06164780
AE(1),3,0.10226965
AE(1),3,-0.04640284
AE(1),3,-0.03140897
AE(1),3,-0.01551524
AE(1),3,0.08294711
AE(1),3,0.01042971
AE(1),3,0.02723990
AE(1),3,-0.03863972
AE(1),3,-0.01784190
AE(1),3,0.18943963
AE(1),3,-0.03980913
AE(1),3,-0.02571384
AE(1),3,-0.01564148
AE(1),3,0.02845562
AE(1),3,0.06515682
AE(1),3,0.04992485
AE(1),3,0.05761181
AE(1),3,0.05690504
AE(1),3,0.03043274
AE(1),3,0.08870226
AE(1),3,0.01238905
AE(1),3,0.00141984
AE(1),3,0.04422792
AE(1),3,-0.00840767
AE(1),3,0.01721112
AE(1),3,0.05586957
AE(1),3,0.05372478
AE(1),3,0.00706777
AE(1),3,0.02472099
AE(1),3,0.06090273
AE(1),3,0.00701901
AE(1),3,0.20540799
AE(1),3,-0.00359687
AE(1),3,0.01706631
AE(1),3,0.05738868
AE(1),3,-0.00043272
AE(1),3,-0.03267407
AE(1),3,0.00355938
AE(1),3,-0.09854938
AE(1),3,-0.01905259
AE(1),3,0.12560950
AE(1),3,0.01808993
AE(1),3,0.00242197
AE(1),3,-0.00404836
AE(1),3,0.05128302
AE(1),3,0.11701874
AE(1),3,0.00860680
AE(1),3,0.07661712
AE(1),3,-0.03283233
AE(1),3,0.03490633
AE(1),3,0.10723501
AE(1),3,0.05136361
AE(1),3,-0.02652273
AE(1),3,0.04467838
AE(1),3,0.01555759
AE(1),3,0.05962276
AE(1),3,-0.01460527
AE(1),3,0.03372816
AE(1),3,0.01341128
AE(1),3,-0.06821500
AE(1),3,-0.01928664
AE(1),3,-0.01288810
AE(1),3,0.11224675
AE(1),3,0.03710958
AE(1),3,0.00730577
AE(1),3,0.08310906
AE(1),3,0.05918704
AE(1),3,0.02439927
AE(1),3,-0.00215296
AE(1),3,0.11170483
AE(1),3,0.00588078
AE(1),3,0.06298679
AE(1),3,0.00160257
AE(1),3,0.00379933
AE(1),3,0.03751519
AE(1),3,0.00765812
AE(1),3,0.02653675
AE(1),3,0.03493530
AE(1),3,-0.01385240
AE(1),3,0.00163882
AE(1),3,0.02016757
AE(1),3,0.01879821
AE(1),3,0.11826168
AE(1),3,-0.04136866
AE(1),3,-0.05059072
AE(1),3,-0.05206194
AE(1),3,0.03359630
AE(1),3,0.04700099
AE(1),3,0.04110144
AE(1),3,-0.00812754
AE(1),3,0.09033864
AE(1),3,-0.05065538
AE(1),3,0.04002669
AE(1),3,0.15749759
AE(1),3,0.05255672
AE(1),3,0.03334568
AE(1),3,0.10922648
AE(1),3,0.03850278
AE(1),3,0.00159639
AE(1),3,-0.01817661
