model,oos_return
AE(1),0.31850282
AE(1),-0.09505949
AE(1),0.53485712
AE(1),0.01096891
AE(1),0.25213207
AE(1),0.32732432
AE(1),0.30031880
AE(1),-0.07901447
AE(1),-0.04548380
AE(1),-0.27686749
AE(1),-0.09382830
AE(1),-0.18978217
AE(1),0.01064792
AE(1),-0.02886071
AE(1),-0.09075698
AE(1),0.07868182
AE(1),0.27239429
AE(1),-0.02145440
AE(1),0.13218947
AE(1),-0.23232222
AE(1),0.31344957
AE(1),0.15880174
AE(1),0.08159444
AE(1),-0.03429874
AE(1),0.22930263
AE(1),0.43862431
AE(1),0.05379635
AE(1),0.73036811
AE(1),0.74446767
AE(1),0.24595232
AE(1),-0.44447084
AE(1),0.00000000
AE(1),0.00000000
AE(1),0.00000000
AE(1),0.00000000
AE(1),0.00000000
AE(1),0.83964983
AE(1),0.43588973
AE(1),0.00000000
AE(1),0.00000000
AE(1),0.00000000
AE(1),0.00000000
AE(1),0.37819990
AE(1),0.34875762
AE(1),-0.25046488
AE(1),0.18767786
AE(1),-0.17737007
AE(1),-0.12594064
AE(1),-0.14870358
AE(1),-0.56231463
AE(1),-0.28299460
AE(1),-0.31013928
AE(1),0.02302007
AE(1),-0.10919372
AE(1),-0.26523620
AE(1),-0.33214846
AE(1),-0.04822241
AE(1),-0.20031869
AE(1),-0.16602298
AE(1),0.00310182
AE(1),0.20253502
AE(1),0.02398562
AE(1),-0.08658832
AE(1),-0.02410811
AE(1),-0.22161054
AE(1),-0.03379313
AE(1),0.13440292
AE(1),-0.10392617
AE(1),-0.08918963
AE(1),0.16655188
AE(1),-0.04696202
AE(1),0.00000000
AE(3),0.06234238
AE(3),-0.08831154
AE(3),1.27795582
AE(3),0.52885578
AE(3),-0.67822899
AE(3),-0.12998401
AE(3),0.51995936
AE(3),-0.02171370
AE(3),0.20243428
AE(3),-0.49948284
AE(3),-0.16259901
AE(3),0.35256472
AE(3),-0.01766089
AE(3),-0.05522656
AE(3),0.15524531
AE(3),-0.01991828
AE(3),-0.10019891
AE(3),-0.06413729
AE(3),0.13095649
AE(3),-0.15043147
AE(3),-0.17710576
AE(3),-0.05692774
AE(3),0.04935806
AE(3),0.07582958
AE(3),0.12246371
AE(3),0.00751704
AE(3),-0.08995270
AE(3),0.21027479
AE(3),0.11160722
AE(3),0.12947324
AE(3),-0.23429679
AE(3),0.00000000
AE(3),0.00000000
AE(3),0.00000000
AE(3),0.00000000
AE(3),0.00000000
AE(3),0.42722005
AE(3),0.38071470
AE(3),0.00000000
AE(3),0.00000000
AE(3),0.00000000
AE(3),0.00000000
AE(3),0.35230630
AE(3),0.29583477
AE(3),-0.25328528
AE(3),-0.03056082
AE(3),-0.27712087
AE(3),-0.08635544
AE(3),-0.01422934
AE(3),-0.10085805
AE(3),-0.07088455
AE(3),0.06596309
AE(3),-0.27337730
AE(3),0.02564634
AE(3),-0.12700694
AE(3),-0.10955507
AE(3),-0.15632526
AE(3),0.15384598
AE(3),-0.05252220
AE(3),-0.02091060
AE(3),0.13986127
AE(3),0.04593392
AE(3),0.02540326
AE(3),0.05948753
AE(3),-0.11323592
AE(3),-0.02567365
AE(3),-0.14038170
AE(3),-0.01674339
AE(3),0.11792184
AE(3),0.06429658
AE(3),0.03302028
AE(3),0.00000000
AE(5),1.00674565
AE(5),0.18238373
AE(5),1.15578891
AE(5),0.47571471
AE(5),-0.49835699
AE(5),0.20373608
AE(5),0.36144801
AE(5),-0.20354733
AE(5),0.36117613
AE(5),-0.67330117
AE(5),-0.24578277
AE(5),0.11837080
AE(5),0.22183204
AE(5),-0.03341262
AE(5),0.13172484
AE(5),0.00320975
AE(5),-0.34427864
AE(5),0.09329529
AE(5),0.38892781
AE(5),-0.14642026
AE(5),-0.08297867
AE(5),0.06109210
AE(5),0.10375198
AE(5),0.02993271
AE(5),0.28559426
AE(5),0.27711184
AE(5),-0.09316765
AE(5),0.16486168
AE(5),-0.07064266
AE(5),-0.31267987
AE(5),-0.34724625
AE(5),0.00000000
AE(5),0.00000000
AE(5),0.00000000
AE(5),0.00000000
AE(5),0.00000000
AE(5),0.27231598
AE(5),0.27705932
AE(5),0.00000000
AE(5),0.00000000
AE(5),0.00000000
AE(5),0.00000000
AE(5),0.23968423
AE(5),0.20214507
AE(5),-0.21507862
AE(5),0.01760722
AE(5),-0.23404352
AE(5),-0.11113071
AE(5),0.00078688
AE(5),-0.05338528
AE(5),-0.01682976
AE(5),0.10408246
AE(5),-0.21740621
AE(5),0.03544852
AE(5),-0.06270347
AE(5),-0.02352029
AE(5),-0.17877073
AE(5),0.12186372
AE(5),0.00797815
AE(5),-0.04545010
AE(5),0.11800757
AE(5),0.18995352
AE(5),0.09354189
AE(5),0.09175773
AE(5),-0.14745835
AE(5),0.02537110
AE(5),-0.12116295
AE(5),0.02474242
AE(5),0.11171249
AE(5),-0.00756318
AE(5),0.02069053
AE(5),0.00000000
