model,window,alpha
Market,1,0.03599733
Market,1,0.03241547
Market,1,-0.00755245
Market,1,-0.01684646
Market,1,-0.01473382
Market,1,-0.01176972
Market,1,-0.03709212
Market,1,0.03501960
Market,1,0.04216785
Market,1,-0.02780266
Market,1,-0.05479423
Market,1,0.01274914
Market,1,0.06582193
Market,1,0.02273791
Market,1,0.00910639
Market,1,-0.00549949
Market,1,-0.02629761
Market,1,0.00794269
Market,1,0.03211988
Market,1,0.06716158
Market,1,-0.02626216
Market,1,-0.07422199
Market,1,-0.06276891
Market,1,-0.01603825
Market,1,0.03349646
Market,1,0.07728736
Market,1,0.09213146
Market,1,0.02890289
Market,1,0.02052777
Market,1,0.05656893
Market,1,-0.02524921
Market,1,0.11599782
Market,1,-0.01272556
Market,1,-0.02010876
Market,1,0.03442225
Market,1,0.13460599
Market,1,0.04902705
Market,1,0.05999165
Market,1,0.01470841
Market,1,0.05985687
Market,1,-0.02616327
Market,1,0.06790619
Market,1,0.05002685
Market,1,0.00680827
Market,1,-0.02472987
Market,1,-0.04999299
Market,1,0.05411085
Market,1,0.07406747
Market,1,0.15623288
Market,1,0.02263443
Market,1,0.06766285
Market,1,0.02514364
Market,1,0.06414757
Market,1,0.05008701
Market,1,0.01765968
Market,1,0.02574230
Market,1,0.01312723
Market,1,0.10742130
Market,1,-0.02606906
Market,1,0.04514538
Market,1,0.00267754
Market,1,0.17738951
Market,1,0.02770943
Market,1,-0.04487757
Market,1,-0.03395046
Market,1,-0.00187479
Market,1,0.07051644
Market,1,0.03254097
Market,1,0.08392016
Market,1,0.07152533
Market,1,-0.01063877
Market,1,0.13816267
Market,1,0.13442740
Market,1,0.04995972
Market,1,-0.02925676
Market,1,-0.00822653
Market,1,0.03620716
Market,1,-0.03852521
Market,1,0.02974638
Market,1,0.04094656
Market,1,-0.01199456
Market,1,0.00058677
Market,1,-0.00389586
Market,1,-0.03879687
Market,1,0.09430623
Market,1,-0.02706597
Market,1,0.01604969
Market,1,0.00475265
Market,1,0.01183744
Market,1,0.07224371
Market,1,0.00906201
Market,1,-0.01265789
Market,1,-0.02546188
Market,1,0.03266057
Market,1,-0.02465081
Market,1,0.02837618
Market,1,0.02638085
Market,1,0.01838510
Market,1,0.04557715
Market,1,-0.03217598
Market,1,0.00017659
Market,1,0.19355714
Market,1,-0.00382233
Market,1,0.02168957
Market,1,0.03098516
Market,1,0.10508648
Market,1,0.05436073
Market,1,-0.03168591
Market,1,0.01581403
Market,1,0.05178445
Market,1,0.03349610
Market,1,0.02313307
Market,1,0.15969785
Market,1,0.11310120
Market,1,-0.04266448
Market,1,0.01593463
Market,1,0.00424460
Market,1,-0.05334124
Market,1,0.00787062
Market,1,0.05613736
Market,1,0.09135924
Market,1,0.08269214
Market,1,0.01033874
Market,1,-0.01903809
Market,1,-0.05058826
Market,1,-0.02574189
Market,1,0.03340512
Market,1,-0.00579285
Market,1,0.01726275
Market,1,-0.03448992
Market,1,0.01611813
Market,1,0.02799998
Market,1,0.02810490
Market,1,-0.01896951
Market,1,-0.02615761
Market,1,-0.01746525
Market,1,-0.08262338
Market,1,-0.06591526
Market,1,-0.05473597
Market,1,-0.05506656
Market,1,-0.07429609
Market,1,-0.01554811
Market,1,0.06781545
Market,1,0.10530150
Market,1,0.16059214
Market,1,0.12255645
Market,1,0.02067337
Market,1,0.08201391
Market,1,0.08789558
Market,1,-0.01952331
Market,1,0.12157818
Market,1,0.04540770
Market,1,0.03698844
Market,1,0.01824715
Market,1,0.01638651
Market,1,-0.03978666
