model,window,alpha
IPCA(1),1,0.01232341
IPCA(1),1,0.03593544
IPCA(1),1,-0.01046801
IPCA(1),1,-0.01659191
IPCA(1),1,-0.01808607
IPCA(1),1,-0.01504855
IPCA(1),1,-0.04382323
IPCA(1),1,0.03899284
IPCA(1),1,0.03778042
IPCA(1),1,-0.03605849
IPCA(1),1,-0.04350353
IPCA(1),1,0.00573714
IPCA(1),1,0.05765590
IPCA(1),1,0.01910792
IPCA(1),1,0.00370708
IPCA(1),1,-0.01156801
IPCA(1),1,-0.02598415
IPCA(1),1,0.00739094
IPCA(1),1,0.02730932
IPCA(1),1,0.06090495
IPCA(1),1,-0.03047651
IPCA(1),1,-0.07908315
IPCA(1),1,-0.06041507
IPCA(1),1,-0.02038035
IPCA(1),1,0.02882427
IPCA(1),1,0.05277676
IPCA(1),1,0.07703575
IPCA(1),1,0.00989165
IPCA(1),1,0.02123801
IPCA(1),1,0.03850980
IPCA(1),1,-0.02509712
IPCA(1),1,0.12188229
IPCA(1),1,-0.01612955
IPCA(1),1,-0.02784105
IPCA(1),1,0.02386104
IPCA(1),1,0.08085620
IPCA(1),1,0.05023125
IPCA(1),1,0.05261564
IPCA(1),1,0.01959293
IPCA(1),1,0.08373728
IPCA(1),1,-0.02544999
IPCA(1),1,0.03364931
IPCA(1),1,0.10184016
IPCA(1),1,0.02971228
IPCA(1),1,-0.02535188
IPCA(1),1,-0.05158596
IPCA(1),1,0.05555640
IPCA(1),1,0.08721663
IPCA(1),1,0.12391425
IPCA(1),1,0.02517705
IPCA(1),1,0.06025353
IPCA(1),1,0.02115430
IPCA(1),1,0.04256640
IPCA(1),1,0.04200053
IPCA(1),1,0.01158902
IPCA(1),1,0.02133858
IPCA(1),1,0.00344395
IPCA(1),1,0.09466296
IPCA(1),1,-0.02525911
IPCA(1),1,0.08871665
IPCA(1),1,0.04981033
IPCA(1),1,0.19763860
IPCA(1),1,0.03098250
IPCA(1),1,-0.04685995
IPCA(1),1,-0.03757411
IPCA(1),1,0.00093933
IPCA(1),1,0.07544450
IPCA(1),1,0.03146460
IPCA(1),1,0.08649326
IPCA(1),1,0.05654478
IPCA(1),1,-0.01974071
IPCA(1),1,0.09235421
IPCA(1),1,0.09811522
IPCA(1),1,0.04711026
IPCA(1),1,-0.03727183
IPCA(1),1,-0.02849064
IPCA(1),1,0.02821968
IPCA(1),1,-0.04418502
IPCA(1),1,0.02026365
IPCA(1),1,0.05976735
IPCA(1),1,-0.02320790
IPCA(1),1,0.00309012
IPCA(1),1,-0.01728008
IPCA(1),1,-0.04206610
IPCA(1),1,0.09533921
IPCA(1),1,-0.02353212
IPCA(1),1,0.01994426
IPCA(1),1,-0.00625880
IPCA(1),1,0.01658011
IPCA(1),1,0.06703954
IPCA(1),1,-0.00168095
IPCA(1),1,-0.00971210
IPCA(1),1,-0.02826116
IPCA(1),1,0.02320210
IPCA(1),1,-0.02867109
IPCA(1),1,0.03672345
IPCA(1),1,0.02051324
IPCA(1),1,0.01016035
IPCA(1),1,0.04181636
IPCA(1),1,-0.03777254
IPCA(1),1,-0.01279989
IPCA(1),1,0.12505528
IPCA(1),1,-0.00568642
IPCA(1),1,0.02032769
IPCA(1),1,0.01511287
IPCA(1),1,0.09227749
IPCA(1),1,0.05557904
IPCA(1),1,-0.03996767
IPCA(1),1,0.00192639
IPCA(1),1,0.03340127
IPCA(1),1,0.03807178
IPCA(1),1,0.00855945
IPCA(1),1,0.15922783
IPCA(1),1,0.09878646
IPCA(1),1,-0.05956803
IPCA(1),1,0.02723008
IPCA(1),1,-0.00090132
IPCA(1),1,-0.07445200
IPCA(1),1,0.02150644
IPCA(1),1,0.05687657
IPCA(1),1,0.07902443
IPCA(1),1,0.07891386
IPCA(1),1,0.00840072
IPCA(1),1,-0.02630574
IPCA(1),1,-0.06228559
IPCA(1),1,-0.03615713
IPCA(1),1,0.03055385
IPCA(1),1,-0.00450120
IPCA(1),1,0.01441936
IPCA(1),1,-0.03032558
IPCA(1),1,0.00708055
IPCA(1),1,0.03168432
IPCA(1),1,0.01889752
IPCA(1),1,-0.03553117
IPCA(1),1,-0.03336345
IPCA(1),1,-0.02615733
IPCA(1),1,-0.09117751
IPCA(1),1,-0.09864161
IPCA(1),1,-0.06487759
IPCA(1),1,-0.05875563
IPCA(1),1,-0.07349806
IPCA(1),1,-0.02679400
IPCA(1),1,0.04553473
IPCA(1),1,0.08549163
IPCA(1),1,0.13538377
IPCA(1),1,0.09850841
IPCA(1),1,0.01829171
IPCA(1),1,0.06871302
IPCA(1),1,0.07757620
IPCA(1),1,-0.02538829
IPCA(1),1,0.11486710
IPCA(1),1,0.02647228
IPCA(1),1,0.03629018
IPCA(1),1,0.00487070
IPCA(1),1,0.02720749
IPCA(1),1,-0.05139166
IPCA(1),1,-0.01258315
IPCA(1),1,0.07254086
IPCA(1),1,0.02294736
IPCA(1),1,0.01060032
IPCA(1),1,0.00937154
IPCA(1),1,0.20399194
IPCA(1),1,0.04838819
IPCA(1),1,0.01585873
IPCA(1),1,0.03410065
IPCA(1),1,-0.03934696
IPCA(1),1,0.04491448
IPCA(1),1,-0.01048842
IPCA(1),1,0.12701394
IPCA(1),1,0.02064505
IPCA(1),1,0.05781062
IPCA(1),1,-0.02211477
IPCA(1),1,0.06295813
IPCA(1),1,-0.01005197
IPCA(1),1,-0.02730611
IPCA(1),1,0.08431671
IPCA(1),1,0.30226991
IPCA(1),1,0.06469557
IPCA(1),1,-0.00455488
IPCA(1),1,0.04534994
IPCA(1),1,0.03460578
IPCA(1),1,0.00261680
IPCA(1),1,0.03408802
IPCA(1),1,-0.05030935
IPCA(1),1,0.11036938
IPCA(1),1,0.09237037
IPCA(1),1,-0.03330457
IPCA(1),1,-0.03518838
IPCA(1),1,0.11099161
IPCA(1),1,-0.06156935
IPCA(1),1,-0.02846920
IPCA(1),1,-0.00232523
IPCA(1),1,0.06053283
IPCA(1),1,0.05495123
IPCA(1),1,0.00485303
IPCA(1),1,-0.00704380
IPCA(1),1,0.04098798
IPCA(1),1,0.03620198
IPCA(1),1,0.06604820
IPCA(1),1,-0.05038579
IPCA(1),1,-0.03047923
IPCA(1),1,0.14648944
IPCA(1),1,-0.03210815
IPCA(1),1,0.02801550
IPCA(1),1,0.14025336
IPCA(1),1,-0.02494137
IPCA(1),1,-0.00686368
IPCA(1),1,0.11176562
IPCA(1),1,0.16135879
IPCA(1),1,-0.02696669
IPCA(1),1,0.00803822
IPCA(1),1,-0.04462826
IPCA(1),1,0.00581145
IPCA(1),1,-0.03104167
IPCA(1),1,0.01583679
IPCA(1),1,0.00030110
IPCA(1),1,-0.01581563
IPCA(1),1,0.24123888
IPCA(1),1,-0.03443800
IPCA(1),1,-0.03349517
IPCA(1),1,0.06425561
IPCA(1),1,0.04349675
IPCA(1),1,-0.00925490
IPCA(1),1,-0.01287424
IPCA(1),1,0.03097849
IPCA(1),1,-0.06716484
IPCA(1),1,0.16775940
IPCA(1),1,0.00398592
IPCA(1),1,-0.00440133
IPCA(1),1,-0.04381264
IPCA(1),1,0.00530915
IPCA(1),1,-0.01897317
IPCA(1),1,0.01611761
IPCA(1),1,0.00656220
IPCA(1),1,0.06709980
IPCA(1),1,0.00311808
IPCA(1),1,0.02600327
IPCA(1),1,0.06227914
IPCA(1),1,0.15488384
IPCA(1),1,0.07482361
IPCA(1),1,-0.02625953
IPCA(1),1,0.01708700
IPCA(1),1,-0.00169269
IPCA(1),1,0.00615910
IPCA(1),1,0.01741357
IPCA(1),1,0.19552578
IPCA(1),1,-0.05879477
IPCA(1),1,0.00817650
IPCA(1),1,0.00365256
IPCA(1),1,-0.02094848
IPCA(1),1,0.12047215
IPCA(1),1,0.09210548
IPCA(1),1,-0.03926670
IPCA(1),1,0.00950325
IPCA(1),1,-0.01453452
IPCA(1),1,-0.01435172
IPCA(1),1,-0.00893562
IPCA(1),1,-0.02886257
IPCA(1),1,0.05379271
IPCA(1),1,-0.00225230
IPCA(1),1,-0.02556170
IPCA(1),1,-0.02974851
IPCA(1),1,0.03530225
IPCA(1),1,0.03202291
IPCA(1),1,0.05000433
IPCA(1),1,-0.01400208
IPCA(1),1,0.00840418
IPCA(1),1,-0.02371038
IPCA(1),1,-0.01019121
IPCA(1),1,-0.03305175
IPCA(1),1,-0.03110333
IPCA(1),1,0.04097556
IPCA(1),1,0.04457604
IPCA(1),1,-0.02896056
IPCA(1),1,-0.00762071
IPCA(1),1,-0.02835411
IPCA(1),1,0.01753316
IPCA(1),1,-0.05821144
IPCA(1),1,-0.00916228
IPCA(1),1,0.08038268
IPCA(1),1,0.08867653
IPCA(1),1,0.02280577
IPCA(1),1,0.02072669
IPCA(1),1,0.04126998
IPCA(1),1,-0.02505212
IPCA(1),1,0.09901889
IPCA(1),1,0.01177325
IPCA(1),1,0.01846656
IPCA(1),1,0.01852623
IPCA(1),1,-0.02193447
IPCA(1),1,-0.04840512
IPCA(1),1,-0.04567263
