model,oos_return
IPCA(1),0.34069615
IPCA(1),-0.10201572
IPCA(1),0.58977122
IPCA(1),0.01319540
IPCA(1),0.26953725
IPCA(1),0.35313421
IPCA(1),0.30849499
IPCA(1),-0.08101005
IPCA(1),-0.04676835
IPCA(1),-0.28993661
IPCA(1),-0.09664443
IPCA(1),-0.19557807
IPCA(1),0.01350922
IPCA(1),-0.03040197
IPCA(1),-0.09013958
IPCA(1),0.08217421
IPCA(1),0.27275745
IPCA(1),-0.02589293
IPCA(1),0.13607957
IPCA(1),-0.23809592
IPCA(1),0.31318013
IPCA(1),0.16061284
IPCA(1),0.08172797
IPCA(1),-0.02816991
IPCA(1),0.23925861
IPCA(1),0.43791316
IPCA(1),0.05482392
IPCA(1),0.73331611
IPCA(1),0.74552320
IPCA(1),0.25465535
IPCA(1),-0.44594732
IPCA(1),0.00000000
IPCA(1),0.00000000
IPCA(1),0.00000000
IPCA(1),0.00000000
IPCA(1),0.00000000
IPCA(1),0.84237289
IPCA(1),0.43988541
IPCA(1),0.00000000
IPCA(1),0.00000000
IPCA(1),0.00000000
IPCA(1),0.00000000
IPCA(1),0.38370925
IPCA(1),0.34891702
IPCA(1),-0.25357809
IPCA(1),0.19667382
IPCA(1),-0.16872065
IPCA(1),-0.12447481
IPCA(1),-0.14335698
IPCA(1),-0.58019164
IPCA(1),-0.27740300
IPCA(1),-0.31855028
IPCA(1),0.03278264
IPCA(1),-0.11125701
IPCA(1),-0.27118463
IPCA(1),-0.34940604
IPCA(1),-0.05934032
IPCA(1),-0.20700230
IPCA(1),-0.17113387
IPCA(1),0.00525064
IPCA(1),0.20700553
IPCA(1),0.02654560
IPCA(1),-0.09098448
IPCA(1),-0.02328077
IPCA(1),-0.22511347
IPCA(1),-0.03386002
IPCA(1),0.13762784
IPCA(1),-0.10335417
IPCA(1),-0.09294716
IPCA(1),0.16850047
IPCA(1),-0.04876293
IPCA(1),0.00000000
IPCA(3),0.62141931
IPCA(3),0.20755342
IPCA(3),0.11593895
IPCA(3),0.02045256
IPCA(3),-0.62642524
IPCA(3),0.15636421
IPCA(3),0.11147605
IPCA(3),0.26346655
IPCA(3),0.30297985
IPCA(3),-0.26476138
IPCA(3),-0.16146371
IPCA(3),-0.08069928
IPCA(3),0.08050927
IPCA(3),0.23918010
IPCA(3),-0.10349247
IPCA(3),0.15705804
IPCA(3),0.31944893
IPCA(3),-0.24992113
IPCA(3),0.09433965
IPCA(3),-0.26963757
IPCA(3),0.48451481
IPCA(3),0.24336955
IPCA(3),0.41235082
IPCA(3),-0.18809618
IPCA(3),0.40410219
IPCA(3),0.81446263
IPCA(3),0.13246526
IPCA(3),0.68186769
IPCA(3),0.86177409
IPCA(3),-0.11963225
IPCA(3),-0.94566779
IPCA(3),0.00000000
IPCA(3),0.00000000
IPCA(3),0.00000000
IPCA(3),0.00000000
IPCA(3),0.00000000
IPCA(3),1.04608296
IPCA(3),0.38573192
IPCA(3),0.00000000
IPCA(3),0.00000000
IPCA(3),0.00000000
IPCA(3),0.00000000
IPCA(3),0.54441093
IPCA(3),0.36465997
IPCA(3),-0.38998408
IPCA(3),0.22101337
IPCA(3),-0.02160238
IPCA(3),-0.05525998
IPCA(3),-0.00013202
IPCA(3),-0.75896695
IPCA(3),-0.27110978
IPCA(3),-0.36251862
IPCA(3),0.07730964
IPCA(3),-0.17785925
IPCA(3),-0.32429015
IPCA(3),-0.24259096
IPCA(3),-0.40725459
IPCA(3),-0.11906805
IPCA(3),-0.24809255
IPCA(3),0.14376663
IPCA(3),0.23631903
IPCA(3),0.10896473
IPCA(3),-0.06433115
IPCA(3),0.00257095
IPCA(3),-0.34955642
IPCA(3),-0.05358184
IPCA(3),0.28567111
IPCA(3),-0.11973335
IPCA(3),-0.14698332
IPCA(3),0.21680257
IPCA(3),-0.07346205
IPCA(3),0.00000000
IPCA(5),0.69254594
IPCA(5),-0.21002262
IPCA(5),0.93423073
IPCA(5),-0.31277268
IPCA(5),0.05288849
IPCA(5),0.57618056
IPCA(5),-0.43557599
IPCA(5),0.27506251
IPCA(5),0.23621453
IPCA(5),0.14648869
IPCA(5),-0.29119069
IPCA(5),-0.16334554
IPCA(5),0.20127912
IPCA(5),-0.05006691
IPCA(5),-0.09550376
IPCA(5),0.24492048
IPCA(5),0.36243335
IPCA(5),0.16257576
IPCA(5),0.41777399
IPCA(5),-0.18894864
IPCA(5),0.00384682
IPCA(5),0.39497883
IPCA(5),-0.05569613
IPCA(5),0.36430779
IPCA(5),-0.14232166
IPCA(5),0.61328873
IPCA(5),0.16487005
IPCA(5),0.20226072
IPCA(5),0.34227174
IPCA(5),-0.13501237
IPCA(5),-0.97090717
IPCA(5),0.00000000
IPCA(5),0.00000000
IPCA(5),0.00000000
IPCA(5),0.00000000
IPCA(5),0.00000000
IPCA(5),0.50682810
IPCA(5),1.20417924
IPCA(5),0.00000000
IPCA(5),0.00000000
IPCA(5),0.00000000
IPCA(5),0.00000000
IPCA(5),0.07574934
IPCA(5),0.03582667
IPCA(5),-0.11553807
IPCA(5),0.72658589
IPCA(5),0.04186595
IPCA(5),0.06607508
IPCA(5),-0.09687987
IPCA(5),-0.73127317
IPCA(5),0.06740372
IPCA(5),-0.37835006
IPCA(5),0.22950032
IPCA(5),0.05043670
IPCA(5),-0.34880177
IPCA(5),-0.27119497
IPCA(5),-0.33671110
IPCA(5),0.00644482
IPCA(5),0.03260289
IPCA(5),0.11292146
IPCA(5),0.32884313
IPCA(5),-0.01399377
IPCA(5),-0.12635904
IPCA(5),0.06380336
IPCA(5),-0.36195571
IPCA(5),-0.29610988
IPCA(5),0.40621705
IPCA(5),-0.13014588
IPCA(5),-0.20997187
IPCA(5),0.11920547
IPCA(5),-0.01650898
IPCA(5),0.00000000
