model,oos_return
Market,0.558655
Market,-0.238137
Market,0.396609
Market,-0.030242
Market,0.419055
Market,0.292855
Market,0.126570
Market,0.035499
Market,0.003747
Market,-0.086143
Market,-0.061393
Market,-0.143404
Market,0.051732
Market,0.139607
Market,-0.106706
Market,0.206704
Market,0.651178
Market,0.101822
Market,0.156433
Market,-0.109991
Market,0.491177
Market,0.171635
Market,0.085619
Market,-0.069908
Market,0.277608
Market,0.558278
Market,0.176195
Market,0.902962
Market,1.007882
Market,0.371937
Market,-0.365669
Market,0.251753
Market,-0.210515
Market,-0.196784
Market,0.068880
Market,0.572440
Market,1.125636
Market,0.515178
Market,0.269027
Market,-0.157856
Market,0.234679
Market,-0.343366
Market,0.552529
Market,0.434710
Market,-0.167947
Market,0.161100
Market,-0.196872
Market,-0.073296
Market,-0.156433
Market,-0.710154
Market,-0.359573
Market,-0.424841
Market,0.103196
Market,-0.145072
Market,-0.201013
Market,-0.339029
Market,0.197003
Market,-0.273751
Market,-0.314145
Market,0.134326
Market,0.281010
Market,0.139219
Market,-0.108113
Market,0.026045
Market,-0.271017
Market,0.211098
Market,0.616510
Market,-0.121787
Market,-0.109241
Market,0.372042
Market,-0.166531
Market,0.036702
FF5,-4.151335
FF5,1.110914
FF5,-0.286742
FF5,0.502726
FF5,-1.115144
FF5,0.897476
FF5,0.449489
FF5,0.223680
FF5,-0.193982
FF5,-0.140175
FF5,-0.010559
FF5,-0.411996
FF5,0.024455
FF5,-0.052445
FF5,0.045800
FF5,0.470192
FF5,0.082688
FF5,0.424904
FF5,0.113585
FF5,-0.148050
FF5,0.350564
FF5,0.133379
FF5,0.002499
FF5,0.110480
FF5,0.257626
FF5,0.849740
FF5,0.097629
FF5,0.453855
FF5,1.090944
FF5,0.642983
FF5,-0.145214
FF5,0.276970
FF5,-0.249884
FF5,-0.076862
FF5,0.418469
FF5,0.716023
FF5,0.914042
FF5,1.153337
FF5,-0.124734
FF5,-0.479642
FF5,0.581334
FF5,-0.357856
FF5,0.751949
FF5,0.868902
FF5,0.261288
FF5,0.292582
FF5,-0.256438
FF5,-0.097105
FF5,0.072560
FF5,0.218328
FF5,-0.072560
FF5,-0.465521
FF5,0.199420
FF5,-0.220593
FF5,-0.411369
FF5,0.267837
FF5,0.678936
FF5,0.180112
FF5,-0.131041
FF5,0.627660
FF5,0.136294
FF5,0.834406
FF5,0.236087
FF5,0.018772
FF5,0.000540
FF5,-0.295949
FF5,1.158990
FF5,0.290105
FF5,0.125780
FF5,0.197923
FF5,-0.342285
FF5,0.372862
q-factor,0.253826
q-factor,0.542688
q-factor,1.179430
q-factor,0.553908
q-factor,-0.061562
q-factor,0.810128
q-factor,0.075552
q-factor,-0.375971
q-factor,-0.169915
q-factor,-0.562010
q-factor,-0.079483
q-factor,-0.382562
q-factor,0.002991
q-factor,-0.063984
q-factor,0.058763
q-factor,0.453803
q-factor,0.031315
q-factor,0.435351
q-factor,0.090734
q-factor,-0.165487
q-factor,0.303298
q-factor,0.097352
q-factor,-0.035169
q-factor,0.134150
q-factor,0.254978
q-factor,0.710018
q-factor,0.100506
q-factor,0.417850
q-factor,0.887767
q-factor,0.555254
q-factor,-0.090784
q-factor,0.195696
q-factor,-0.185892
q-factor,-0.043076
q-factor,0.301465
q-factor,0.640597
q-factor,0.820352
q-factor,1.047555
q-factor,-0.167409
q-factor,-0.414639
q-factor,0.495052
q-factor,-0.382886
q-factor,0.732083
q-factor,0.868731
q-factor,0.224586
q-factor,0.199210
q-factor,-0.359715
q-factor,-0.109856
q-factor,0.101053
q-factor,0.104310
q-factor,-0.265167
q-factor,-0.347234
q-factor,-0.033183
q-factor,-0.109358
q-factor,-0.414486
q-factor,0.207428
q-factor,0.567081
q-factor,0.262133
q-factor,-0.249336
q-factor,0.449407
q-factor,0.146478
q-factor,0.627782
q-factor,0.270905
q-factor,0.409886
q-factor,-0.075634
q-factor,-0.084520
q-factor,0.924996
q-factor,0.235168
q-factor,0.164630
q-factor,0.200829
q-factor,-0.216765
q-factor,0.277654
PCA(5),0.609057
PCA(5),-0.060930
PCA(5),0.962210
PCA(5),-0.040156
PCA(5),0.299536
PCA(5),0.244075
PCA(5),0.369221
PCA(5),-0.036590
PCA(5),-0.144268
PCA(5),-0.273140
PCA(5),-0.085639
PCA(5),-0.167155
PCA(5),-0.058660
PCA(5),-0.037617
PCA(5),-0.061667
PCA(5),0.050938
PCA(5),0.185071
PCA(5),0.113576
PCA(5),0.064218
PCA(5),-0.174763
PCA(5),0.232883
PCA(5),0.120485
PCA(5),0.012126
PCA(5),-0.074074
PCA(5),0.165589
PCA(5),0.316158
PCA(5),0.007500
PCA(5),0.675089
PCA(5),0.582537
PCA(5),0.155815
PCA(5),-0.389685
PCA(5),0.000000
PCA(5),0.000000
PCA(5),0.000000
PCA(5),0.000000
PCA(5),0.000000
PCA(5),0.827247
PCA(5),0.515959
PCA(5),0.000000
PCA(5),0.000000
PCA(5),0.000000
PCA(5),0.000000
PCA(5),0.476638
PCA(5),0.453151
PCA(5),-0.156874
PCA(5),0.166884
PCA(5),-0.238908
PCA(5),-0.133293
PCA(5),-0.176539
PCA(5),-0.536390
PCA(5),-0.257499
PCA(5),-0.264978
PCA(5),-0.008563
PCA(5),-0.070621
PCA(5),-0.279984
PCA(5),-0.323739
PCA(5),-0.085880
PCA(5),-0.108918
PCA(5),-0.247473
PCA(5),0.012274
PCA(5),0.214333
PCA(5),0.088602
PCA(5),-0.114730
PCA(5),0.022187
PCA(5),-0.201571
PCA(5),-0.000740
PCA(5),0.037309
PCA(5),-0.088647
PCA(5),-0.076002
PCA(5),0.087873
PCA(5),-0.071534
PCA(5),0.000000
LASSO,0.128323
LASSO,-0.041734
LASSO,0.223799
LASSO,-0.000762
LASSO,0.119875
LASSO,0.143409
LASSO,0.116415
LASSO,-0.030905
LASSO,-0.022699
LASSO,-0.104845
LASSO,-0.035854
LASSO,-0.080990
LASSO,0.002518
LASSO,-0.006638
LASSO,-0.036309
LASSO,0.032657
LASSO,0.105846
LASSO,-0.006777
LASSO,0.042604
LASSO,-0.081689
LASSO,0.118639
LASSO,0.056012
LASSO,0.026976
