model,oos_return
e2lag,0.074132
e2lag,0.003506
e2lag,0.172796
e2lag,0.040681
e2lag,0.067519
e2lag,0.073561
e2lag,0.037191
e2lag,-0.037255
e2lag,0.021028
e2lag,-0.052722
e2lag,-0.014754
e2lag,-0.054648
e2lag,-0.001496
e2lag,-0.014959
e2lag,-0.032066
e2lag,0.020896
e2lag,0.092669
e2lag,0.001059
e2lag,0.047866
e2lag,-0.085183
e2lag,0.116262
e2lag,0.052446
e2lag,0.021327
e2lag,-0.022775
e2lag,0.084646
e2lag,0.167642
e2lag,0.025281
e2lag,0.276287
e2lag,0.279154
e2lag,0.101131
e2lag,-0.152245
e2lag,0.000000
e2lag,0.000000
e2lag,0.000000
e2lag,0.000000
e2lag,0.000000
e2lag,0.258456
e2lag,0.149200
e2lag,0.000000
e2lag,0.000000
e2lag,0.000000
e2lag,0.000000
e2lag,0.111636
e2lag,0.114385
e2lag,-0.071295
e2lag,0.062998
e2lag,-0.064680
e2lag,-0.047405
e2lag,-0.048417
e2lag,-0.117166
e2lag,-0.066753
e2lag,-0.083536
e2lag,0.008191
e2lag,-0.030271
e2lag,-0.065904
e2lag,-0.080637
e2lag,-0.009882
e2lag,-0.055275
e2lag,-0.050833
e2lag,0.005884
e2lag,0.058432
e2lag,0.004632
e2lag,-0.028056
e2lag,-0.004500
e2lag,-0.065740
e2lag,-0.030368
e2lag,0.070019
e2lag,-0.042914
e2lag,-0.040207
e2lag,0.017292
e2lag,-0.007333
e2lag,0.000000
