window,alpha
0,0.10258553
0,0.05996629
0,-0.00450188
0,0.00515391
0,0.00877886
0,-0.02498589
0,0.06000377
0,0.06086580
0,-0.02286160
0,-0.09726720
0,0.03383192
0,0.01544459
0,0.02495340
0,0.00407366
0,-0.01586271
0,0.02758525
0,0.00853680
0,-0.04145200
0,0.13685293
0,0.08593833
0,-0.00856640
0,0.00508649
0,0.00409077
0,0.05960361
0,0.10878447
0,0.14179660
0,-0.00576001
0,0.11651235
0,-0.01674150
0,0.06791867
0,0.08867660
0,0.07377046
0,0.03862891
0,0.14224494
0,0.02494991
0,0.15261759
0,-0.02244172
0,-0.01901965
0,0.04032442
0,0.06492772
0,0.12325311
0,0.15607767
0,-0.02405055
0,0.03776774
0,0.08664837
0,-0.03413323
0,0.03357687
0,0.04432910
0,0.06726176
0,0.02329843
0,0.00477796
0,-0.01036486
0,0.06406101
0,0.04870733
0,0.07109131
0,0.01709435
0,0.34110650
0,0.02607701
0,0.05853958
0,0.06046046
0,0.03401174
0,0.07566004
0,0.05575553
0,-0.02086402
0,0.07003850
0,0.11960392
0,0.03151850
0,-0.07082156
0,-0.01440430
0,0.07149235
0,0.01471239
0,0.07005973
0,0.05318628
0,-0.00663760
0,-0.00836958
0,-0.06600855
0,-0.03915595
0,-0.03261102
0,-0.04652388
0,0.01848186
0,0.13718666
0,0.18782584
0,0.02893667
0,-0.04082194
0,0.20417602
0,0.08499572
0,0.03056264
0,-0.01195147
0,-0.00388415
0,0.13460647
0,0.12833430
0,0.04028619
0,0.07353919
0,0.08937221
0,0.25392821
0,0.03505718
0,0.00000989
0,-0.01531585
0,-0.02036901
0,-0.04743470
0,0.17479558
0,0.09042341
0,0.02944251
0,0.09614138
0,0.04413633
0,0.09120553
0,-0.02748781
0,0.21826117
0,-0.01784671
0,0.05921001
0,-0.01066974
0,0.02603796
0,0.03087474
0,0.01085644
0,-0.01019386
0,0.02886345
0,0.01103141
0,-0.00775152
0,-0.02231284
0,0.00400636
0,-0.01866149
0,-0.00815801
0,0.01972975
0,0.06011458
0,0.02015962
0,0.04059991
0,0.05508616
0,0.07583244
0,0.18974744
0,0.18728620
0,-0.02334615
0,0.01661224
0,-0.01140970
0,0.00050402
0,0.00080359
0,-0.01914736
0,0.02430625
0,-0.01917733
0,0.00004209
0,-0.02281153
0,-0.00118680
0,-0.02154589
0,-0.02526242
0,0.04578803
0,0.05431994
0,0.00804343
0,0.03519749
0,0.03143981
0,0.01956193
0,-0.01616645
1,0.06257814
1,-0.01064215
1,-0.00056071
1,0.04889230
1,0.01190381
1,0.00415791
1,0.10373309
1,0.06506561
1,0.11130960
1,-0.01991542
1,0.09733561
1,-0.00027055
1,0.06219586
1,0.00777640
1,0.05866776
1,-0.01421579
1,0.02024419
1,0.02861252
1,-0.02172416
1,0.07176186
1,0.07099631
1,0.02571592
1,-0.00584812
1,-0.05387929
1,0.00685513
1,-0.00527739
1,0.00727562
1,-0.03879740
1,-0.03449016
1,0.02303159
1,-0.00293635
1,0.03113053
1,-0.03872418
1,0.02240881
1,0.02251055
1,-0.01833568
1,0.04127591
1,-0.00181355
1,0.02649406
1,0.03765994
1,-0.02554288
1,0.03640826
1,-0.04588269
1,-0.01028351
1,0.00776863
1,-0.01618636
1,-0.04887925
1,0.07422792
1,-0.03071160
1,-0.00382559
1,0.00894688
1,0.02345326
1,0.04226979
1,-0.00449007
1,0.05348070
1,0.00042115
1,-0.00167484
1,0.03215108
1,0.06905048
1,0.02699309
1,0.09306147
1,-0.02406016
1,0.03218471
1,0.02222667
1,-0.05991544
1,0.00655344
