window,alpha
0,0.08941942
0,0.05608718
0,-0.00541263
0,0.00184700
0,0.00551195
0,-0.02720568
0,0.05678949
0,0.05747167
0,-0.02446623
0,-0.09881446
0,0.02978440
0,0.01582182
0,0.02220029
0,0.00202797
0,-0.01698051
0,0.02479863
0,0.00331534
0,-0.04379350
0,0.12799518
0,0.07905760
0,-0.01096082
0,0.00234624
0,-0.00007429
0,0.05459165
0,0.10053513
0,0.13322629
0,-0.00821030
0,0.10471791
0,-0.01776507
0,0.06569272
0,0.08791292
0,0.06621580
0,0.03425168
0,0.13581286
0,0.01825082
0,0.14474021
0,-0.02518123
0,-0.02119099
0,0.03494050
0,0.05999475
0,0.11729717
0,0.14175427
0,-0.02564114
0,0.03526424
0,0.08264092
0,-0.03486399
0,0.03142387
0,0.04056269
0,0.06687658
0,0.01989818
0,0.00306162
0,-0.01276613
0,0.06025425
0,0.04291876
0,0.06679303
0,0.01282727
0,0.30822185
0,0.02517577
0,0.05215003
0,0.05909098
0,0.02955977
0,0.07025564
0,0.04899926
0,-0.02542842
0,0.06808313
0,0.11342281
0,0.02834931
0,-0.06877013
0,-0.01676184
0,0.06562018
0,0.01207450
0,0.06435338
0,0.04834102
0,-0.01003430
0,-0.01036093
0,-0.06904624
0,-0.04745187
0,-0.03669067
0,-0.04778479
0,0.01255557
0,0.12933232
0,0.18026967
0,0.02722662
0,-0.03782013
0,0.19096212
0,0.07669821
0,0.02720134
0,-0.01726745
0,-0.00512236
0,0.12708078
0,0.11747646
0,0.03691473
0,0.06792178
0,0.08338160
0,0.23489557
0,0.03272331
0,-0.00352863
0,-0.01762556
0,-0.02216113
0,-0.04891168
0,0.15824276
0,0.08490027
0,0.02438170
0,0.08883158
0,0.04284653
0,0.08750328
0,-0.03023542
0,0.20776522
0,-0.01954214
0,0.05495704
0,-0.01247984
0,0.02139737
0,0.02758834
0,0.00991590
0,-0.01304398
0,0.02666199
0,0.00947624
0,-0.01123370
0,-0.02351106
0,0.00218082
0,-0.02186821
0,-0.00968956
0,0.01888733
0,0.05496864
0,0.01798822
0,0.03757386
0,0.04852861
0,0.06559625
0,0.17962809
0,0.16984095
0,-0.02537174
0,0.01536429
0,-0.01184862
0,-0.00026348
0,0.00019337
0,-0.02000221
0,0.02204830
0,-0.01979552
0,-0.00137333
0,-0.02392146
0,-0.00218344
0,-0.02234085
0,-0.02879860
0,0.04245702
0,0.05250838
0,0.00337467
0,0.03177461
0,0.02954942
0,0.01502800
0,-0.01739954
1,0.06165185
1,-0.01070750
1,-0.00137665
1,0.04684333
1,0.01089799
1,0.00363716
1,0.10278025
1,0.06472792
1,0.10925907
1,-0.01996749
1,0.09546285
1,-0.00139257
1,0.06141108
1,0.00660999
1,0.05760660
1,-0.01501918
1,0.01900205
1,0.02852517
1,-0.02226455
1,0.06949380
1,0.06974544
1,0.02727819
1,-0.00646590
1,-0.05284645
1,0.00594624
1,-0.00645007
1,0.00659712
1,-0.03880705
1,-0.03515411
1,0.02208375
1,-0.00254984
1,0.03081076
1,-0.04013201
1,0.02222613
1,0.02092526
1,-0.01888616
1,0.04042168
1,-0.00327178
1,0.02578210
1,0.03660149
1,-0.02594634
1,0.03620259
1,-0.04534568
1,-0.00955909
1,0.00750455
1,-0.01539181
1,-0.04993765
1,0.07241239
1,-0.03003651
1,-0.00520082
1,0.00908931
1,0.02193239
1,0.04108325
1,-0.00601780
1,0.05256611
1,-0.00042793
1,-0.00222474
1,0.02986987
1,0.06613205
1,0.02649240
1,0.09242650
1,-0.02465877
1,0.03183686
1,0.02102414
1,-0.06080012
1,0.00570474
1,0.01729888
1,-0.00628630
1,0.00828075
1,0.01656592
1,0.01363866
1,-0.03365290
1,0.02861919
1,-0.02408009
1,-0.01697478
1,-0.05646170
1,-0.05000532
1,0.02633139
1,-0.07764934
1,0.04204026
1,-0.02676619
1,-0.02108299
1,0.07671349
1,0.03872025
1,-0.07579037
1,0.03743887
1,-0.03969111
1,-0.02013593
1,-0.00165758
1,0.05730215
1,-0.04485175
1,0.06640906
1,-0.01927566
1,-0.01990846
1,0.06614817
1,-0.00102529
1,0.00494873
1,-0.05558281
1,0.01141995
1,-0.06406023
1,0.02486152
1,-0.02864504
1,0.05748446
1,-0.03021435
1,-0.04799026
1,0.06445315
1,0.01936179
1,0.02215117
1,-0.00822385
1,-0.02553409
1,0.02178870
1,-0.00513103
1,-0.00410673
1,0.02354391
1,0.00051397
1,0.05511206
1,-0.00803387
1,0.01964125
1,0.02456262
1,0.00363835
