window,alpha
0,0.09492148
0,0.05781413
0,-0.00506035
0,0.00321779
0,0.00687817
0,-0.02623659
0,0.05816468
0,0.05885085
0,-0.02377077
0,-0.09806208
0,0.03149568
0,0.01567122
0,0.02327148
0,0.00283701
0,-0.01643658
0,0.02598508
0,0.00553931
0,-0.04281095
0,0.13192146
0,0.08175378
0,-0.01001481
0,0.00346592
0,0.00159837
0,0.05671630
0,0.10406864
0,0.13690211
0,-0.00715317
0,0.10964259
0,-0.01729518
0,0.06672869
0,0.08829734
0,0.06946339
0,0.03609104
0,0.13827807
0,0.02117820
0,0.14820234
0,-0.02398060
0,-0.02029133
0,0.03725716
0,0.06203661
0,0.12003556
0,0.14785427
0,-0.02498170
0,0.03632214
0,0.08430388
0,-0.03449831
0,0.03231309
0,0.04209235
0,0.06704504
0,0.02133221
0,0.00380698
0,-0.01177053
0,0.06188482
0,0.04522912
0,0.06858441
0,0.01481609
0,0.32225221
0,0.02558280
0,0.05490315
0,0.05969975
0,0.03143952
0,0.07247663
0,0.05182170
0,-0.02348530
0,0.06891861
0,0.11598862
0,0.02975559
0,-0.06961010
0,-0.01571421
0,0.06809097
0,0.01316959
0,0.06682827
0,0.05026212
0,-0.00864343
0,-0.00956177
0,-0.06777982
0,-0.04393536
0,-0.03493209
0,-0.04727837
0,0.01515251
0,0.13265656
0,0.18317175
0,0.02794049
0,-0.03906941
0,0.19654155
0,0.08035765
0,0.02853839
0,-0.01515214
0,-0.00461565
0,0.13035254
0,0.12204499
0,0.03822662
0,0.07017016
0,0.08594467
0,0.24281327
0,0.03368183
0,-0.00199399
0,-0.01667563
0,-0.02141739
0,-0.04833967
0,0.16531555
0,0.08722911
0,0.02656770
0,0.09198847
0,0.04338710
0,0.08907509
0,-0.02903258
0,0.21229948
0,-0.01883589
0,0.05676639
0,-0.01168273
0,0.02333785
0,0.02890809
0,0.01033115
0,-0.01184694
0,0.02754362
0,0.01011231
0,-0.00979976
0,-0.02299047
0,0.00292732
0,-0.02053690
0,-0.00904014
0,0.01917171
0,0.05718327
0,0.01891225
0,0.03890696
0,0.05137584
0,0.06991757
0,0.18397053
0,0.17714459
0,-0.02449898
0,0.01582003
0,-0.01166463
0,0.00013137
0,0.00042706
0,-0.01967438
0,0.02296340
0,-0.01955064
0,-0.00077885
0,-0.02345347
0,-0.00175919
0,-0.02199610
0,-0.02740675
0,0.04381446
0,0.05327784
0,0.00545208
0,0.03319985
0,0.03039708
0,0.01689523
0,-0.01686472
1,0.06167088
1,-0.01072597
1,-0.00128489
1,0.04722143
1,0.01097614
1,0.00396607
1,0.10318977
1,0.06482596
1,0.10965732
1,-0.01993003
1,0.09572738
1,-0.00154367
1,0.06174543
1,0.00676845
1,0.05788620
1,-0.01476083
1,0.01918907
1,0.02851124
1,-0.02239280
1,0.06975048
1,0.06999923
1,0.02731461
1,-0.00632674
1,-0.05279945
1,0.00608487
1,-0.00628479
1,0.00661202
1,-0.03874629
1,-0.03499022
1,0.02238960
1,-0.00255124
1,0.03093141
1,-0.03997415
1,0.02238431
1,0.02119781
1,-0.01873633
1,0.04064334
1,-0.00314094
1,0.02599704
1,0.03655089
1,-0.02597196
1,0.03609195
1,-0.04516287
1,-0.00982820
1,0.00769950
1,-0.01536885
1,-0.04990438
1,0.07279327
1,-0.03021275
1,-0.00510285
1,0.00908642
1,0.02207328
1,0.04133375
1,-0.00585149
1,0.05296528
1,-0.00027369
1,-0.00242878
1,0.03018987
1,0.06611382
1,0.02667087
1,0.09245483
1,-0.02505044
1,0.03208207
1,0.02118556
1,-0.06090799
1,0.00585533
1,0.01760582
1,-0.00614109
1,0.00838806
1,0.01674992
1,0.01370199
1,-0.03366251
1,0.02902853
1,-0.02393553
1,-0.01706448
1,-0.05661315
1,-0.05006764
1,0.02640606
1,-0.07794447
1,0.04245435
1,-0.02673271
1,-0.02120995
1,0.07651191
1,0.03933344
1,-0.07585795
1,0.03773244
1,-0.03962662
1,-0.02011039
1,-0.00145453
1,0.05767917
1,-0.04487203
1,0.06631539
1,-0.01949119
1,-0.01959786
1,0.06620818
1,-0.00083263
1,0.00509086
1,-0.05573240
1,0.01167497
1,-0.06414892
1,0.02498418
1,-0.02869664
1,0.05750747
1,-0.03017813
1,-0.04814542
1,0.06460749
1,0.01945154
1,0.02229380
1,-0.00824949
1,-0.02560695
1,0.02189814
1,-0.00490857
1,-0.00408892
1,0.02376198
1,0.00066064
1,0.05518191
1,-0.00796772
1,0.01983920
1,0.02474564
1,0.00372657
1,-0.01581497
1,0.08948389
1,-0.09559400
1,0.05315441
1,0.04466800
1,0.07049670
1,-0.00001708
1,0.06464870
1,-0.03111695
1,-0.04691801
1,-0.01359873
1,-0.02370613
1,0.00251531
1,0.02717569
1,0.04725559
1,-0.01204388
1,0.08630420
1,0.01349128
1,0.03253630
1,0.00871494
1,0.00881499
1,0.02851443
1,0.00415872
1,0.07415552
1,-0.04416736
1,0.11968788
1,0.00888015
1,-0.03738239
1,-0.00623078
1,-0.00867878
1,-0.03213428
1,-0.01562277
2,0.01321254
2,0.12567328
2,0.01914782
2,0.04394042
2,0.03336589
2,0.05690470
2,-0.01043991
2,0.01503349
2,0.07837854
2,0.04374627
2,0.04501856
2,-0.00005379
2,0.00618520
2,0.01023607
2,0.03309576
2,0.05537910
2,0.01286820
2,0.03200813
2,0.04007238
2,0.01926846
2,0.01182367
2,-0.01520847
2,-0.05518449
2,0.02322415
2,0.09372988
2,-0.04619903
2,0.02223312
2,0.05623419
2,0.04514268
2,0.05024507
2,0.04958912
2,0.03332856
2,-0.01171525
2,0.01193337
2,0.04896096
2,0.04617651
2,0.00269588
2,0.01860235
2,0.05048949
2,-0.09944269
2,-0.02043383
2,0.10920745
2,0.04094487
2,0.10586134
2,0.06774658
2,0.02774600
2,0.09677232
2,0.04172556
2,-0.02847225
2,0.05089816
2,0.02453187
2,-0.06691597
2,-0.01488936
2,0.00309058
2,0.07760305
2,0.01802961
2,0.04946646
2,-0.00174764
2,0.00430418
2,-0.01431884
2,0.10478543
2,0.04069633
2,-0.01030907
2,-0.04962635
2,0.03683605
2,0.02406018
2,0.03281079
2,-0.00337912
2,0.11980505
2,-0.01129778
2,0.07191271
2,0.01633315
2,-0.01392390
2,0.02235340
2,-0.01568829
2,0.01033590
2,-0.00518406
2,0.00884297
2,0.02466464
2,-0.01620588
2,0.01340361
2,-0.04358729
2,-0.02506844
2,0.03428555
2,-0.02421655
2,-0.02975707
2,0.01620449
2,-0.00328110
2,0.02481174
2,-0.02849851
2,-0.03648727
2,-0.03197625
2,0.02549155
2,0.14147435
2,0.00950737
2,-0.02779467
2,0.00746481
2,-0.00121951
2,0.09177267
2,0.01474829
2,0.03178031
2,0.07933091
2,-0.05710270
2,0.00268507
2,-0.00644079
2,-0.04553883
2,-0.00569728
2,0.06079352
2,0.00415385
2,0.00854426
2,0.06145719
2,-0.01487944
2,0.01043817
2,0.01708703
2,0.07450578
2,0.08235279
2,-0.00901035
2,0.03413941
2,-0.00178998
2,-0.01010804
2,0.05918545
2,-0.02356890
2,0.03123444
2,0.02650525
2,0.01849822
2,0.02372989
2,-0.01063409
2,0.03838373
2,-0.01618927
2,0.01836978
2,0.02366610
2,0.01702326
2,0.03811056
2,0.07286663
2,0.01347474
2,0.05317096
2,0.09355026
2,0.02745664
2,0.03819494
2,0.04481685
2,0.05388662
2,0.05460479
