char,mean_w,std_w,t_stat,mean_abs_w,n_months
size,-0.04146,0.08136,-4.012,0.05988,62
st_rev,0.02574,0.10167,1.993,0.07039,62
turnover,0.04905,0.12275,3.146,0.09628,62
vol,0.02255,0.09664,1.838,0.06884,62
bm,0.05990,0.20714,2.277,0.17147,62
mom,-0.08967,0.10445,-6.760,0.09798,62
roe,-0.11293,0.37556,-2.368,0.29841,62
ag,0.04659,0.30117,1.218,0.20446,62
ac,0.08514,0.37122,1.806,0.27893,62
noa,0.03570,0.20048,1.402,0.13776,62
nsi,0.03898,0.12753,2.407,0.09009,62
gp,-0.08100,0.37210,-1.714,0.29004,62
cei,0.03344,0.28047,0.939,0.19627,62
ita,0.03229,0.23764,1.070,0.16094,62
ig,0.09796,0.34607,2.229,0.28063,62
dist,0.07011,0.25325,2.180,0.20396,62
oscore,0.06764,0.16208,3.286,0.12797,62
cbop,0.10920,0.25547,3.366,0.19720,62
dy,0.08522,0.25645,2.617,0.21304,62
