char,mean_w,std_w,t_stat,mean_abs_w,n_months
size,-0.10292,0.10102,-8.023,0.10292,62
st_rev,-0.05065,0.11642,-3.425,0.08516,62
turnover,0.11058,0.16381,5.315,0.13630,62
vol,0.10811,0.11393,7.471,0.11015,62
bm,0.02623,0.21826,0.946,0.16711,62
mom,-0.07842,0.16465,-3.750,0.10523,62
roe,-0.17175,0.32803,-4.123,0.27761,62
ag,0.12758,0.21364,4.702,0.13980,62
ac,0.18020,0.24730,5.738,0.19223,62
noa,0.04303,0.11015,3.076,0.08970,62
nsi,0.12158,0.14662,6.529,0.12343,62
gp,-0.04002,0.31938,-0.987,0.25007,62
cei,0.11430,0.19790,4.548,0.13733,62
ita,0.15947,0.19455,6.454,0.16470,62
ig,0.07166,0.35469,1.591,0.28376,62
dist,0.07104,0.28828,1.940,0.23470,62
oscore,0.11854,0.13859,6.735,0.12329,62
cbop,0.05882,0.19960,2.320,0.15223,62
dy,0.02668,0.26924,0.780,0.19547,62
